gene1	gene	score
GANC	UBC	1
GAA	GYG1	1
GAA	GYG2	1
GYS1	PPP1CC	1
GYS1	GYG1	1
GYS1	GYS2	1
GYS1	PPP1CA	1
GYS1	GBE1	1
GYS1	PPP1R3C	1
GYS1	GYG2	1
GYS1	EPM2A	1
GYS1	UBC	1
GYS2	PPP1CA	1
GYS2	GBE1	1
GYS2	PPP1R3C	1
GYS2	GYG2	1
GYS2	EPM2A	1
GYS2	UBC	1
GYS2	GYS1	1
GYS2	GYG1	1
GBE1	GYG2	1
GBE1	UBC	1
GBE1	GYS1	1
GBE1	GYG1	1
GBE1	GYS2	1
UGDH	UBC	1
PYGL	UBC	1
PYGL	PHKG2	1
PYGL	PHKA2	1
PYGL	CALM1	1
PYGL	PHKB	1
PYGL	GYG2	1
PYGB	PHKA1	1
PYGB	CALM1	1
PYGB	PHKG1	1
PYGB	PHKB	1
PYGB	UBC	1
PYGM	PHKA1	1
PYGM	GYG1	1
PYGM	CALM1	1
PYGM	PHKG1	1
PYGM	PHKB	1
PYGM	UBC	1
TREH	UBC	1
TREH	PRKACA	1
TREH	PRKACG	1
TREH	PRKACB	1
TREH	PRKX	1
TREH	YWHAE	1
TREH	DCPS	1
ITPA	UBC	1
GYS1	NHLRC1	0.665
GYS1	GSK3B	0.456
AMY1A	MUC5B	0.389
GANC	ERGIC3	0.385
GYS2	NHLRC1	0.384
PYGM	PPP1CA	0.373
GYS1	NEB	0.37
PYGM	PPP1R3A	0.37
GYS1	MAPT	0.368
GYS1	CAMK2A	0.366
PYGM	TRIM63	0.363
PYGB	ACTN1	0.358
GYS1	LRRK2	0.356
AMY1A	MUC7	0.308
AMY1A	AKAP1	0.308
AMY2B	AKAP8	0.307
AMY2A	AKAP8	0.306
AMY1A	AKAP8	0.303
GANC	MTOR	0.248
PYGM	S100A1	0.247
PYGM	ACTB	0.218
PYGM	CALML3	0.213
PYGM	RPS6KA1	0.211
PYGM	AGO3	0.21
PYGM	AGO4	0.21
PYGM	AKAP8	0.21
PYGM	AGO2	0.208
AMY1A	STBD1	0.19
GYS1	CDK2	0.185
GYS2	CDK2	0.185
GANC	CALML6	0.182
GAA	NCF1	0.182
GANC	CALML5	0.181
GANC	CALML3	0.181
AMY2A	STBD1	0.181
AMY2B	STBD1	0.181
GANC	CALM1	0.18
AMY2A	GYG1	0.18
AMY2B	GYG1	0.18
PYGL	PRKAR1B	0.18
PYGB	PRKAR1B	0.18
PYGM	PRKAR1B	0.18
AMY1A	GYG1	0.179
AMY2A	CPS1	0.179
AMY2A	CTSZ	0.179
AMY2A	FTH1	0.179
AMY2B	CPS1	0.179
AMY2B	CTSZ	0.179
AMY2B	FTH1	0.179
AMY2B	CTSB	0.179
PYGL	PRKAR1A	0.179
PYGL	PRKAR2A	0.179
PYGL	PRKAR2B	0.179
PYGB	PRKAR2A	0.179
PYGB	PRKAR2B	0.179
PYGB	PRKAR1A	0.179
PYGM	PRKAR2A	0.179
PYGM	PRKAR2B	0.179
PYGM	PRKAR1A	0.179
GYS1	AMY2B	0.178
GYS1	AMY2A	0.178
GYS2	AMY2A	0.178
GYS2	AMY2B	0.178
AMY1A	CTSB	0.178
AMY1A	CPS1	0.178
AMY1A	CTSZ	0.178
AMY1A	FTH1	0.178
AMY1A	CAT	0.178
AMY2A	CTSB	0.178
AMY2A	GYS1	0.178
AMY2A	GYS2	0.178
AMY2A	CAT	0.178
AMY2B	GYS2	0.178
AMY2B	CAT	0.178
AMY2B	GYS1	0.178
GYS1	AMY1A	0.177
GYS2	AMY1A	0.177
AMY1A	GYS1	0.177
AMY1A	PPIB	0.177
AMY1A	GYS2	0.177
AMY2A	PYGL	0.177
AMY2A	PYGB	0.177
AMY2A	PYGM	0.177
AMY2A	PPIB	0.177
AMY2B	PPIB	0.177
AMY2B	PYGL	0.177
AMY2B	PYGB	0.177
AMY2B	PYGM	0.177
PYGL	AMY2B	0.177
PYGL	AMY2A	0.177
PYGB	AMY2B	0.177
PYGB	AMY2A	0.177
PYGM	AMY2B	0.177
PYGM	AMY2A	0.177
AMY1A	PYGL	0.176
AMY1A	PYGB	0.176
AMY1A	PYGM	0.176
AMY2A	PPP1CC	0.176
AMY2A	PPP1CA	0.176
AMY2B	PPP1CC	0.176
AMY2B	PPP1CA	0.176
PYGL	AMY1A	0.176
PYGB	AMY1A	0.176
PYGM	AMY1A	0.176
AMY1A	PPP1CC	0.175
AMY1A	PPP1CA	0.175
GYS1	PASK	0.174
PYGL	PASK	0.173
PYGB	PASK	0.173
PYGM	PASK	0.173
GBE1	PRKAR1A	0.172
GBE1	PRKAR2A	0.172
GBE1	PRKAR1B	0.172
GBE1	PRKAR2B	0.172
PYGB	ATP6V1A	0.171
PYGM	ATP6V1A	0.171
GYS2	HSPA1B	0.169
GYS2	HSPA6	0.169
GYS2	HSPA1L	0.169
GYS2	HSPA2	0.169
PYGM	TOP1	0.169
GYS1	HSPA6	0.168
GYS1	HSPA1L	0.168
GYS1	HSPA2	0.168
GYS1	HSPA1B	0.168
GYS1	HSPA8	0.168
GYS2	HSPA8	0.168
GYS2	ABCG1	0.168
PYGM	KATNA1	0.168
GYS1	ABCG1	0.167
PYGM	EIF2S1	0.167
GYS2	KAT5	0.165
PYGB	SOST	0.165
TREH	HSPA1A	0.165
TREH	HSPA1B	0.165
TREH	HSPA6	0.165
TREH	HSPA1L	0.165
TREH	HSPA2	0.165
GYS1	KAT5	0.164
PYGL	KAT5	0.164
PYGB	KAT5	0.164
PYGM	KAT5	0.164
TREH	HSPA8	0.164
GYS1	CSNK1A1	0.162
GYS1	CSNK1E	0.162
GYS2	CSNK1A1	0.162
GYS2	CSNK1D	0.162
GYS2	CSNK1E	0.162
PYGL	PRKACA	0.162
PYGL	PRKACG	0.162
PYGL	PRKACB	0.162
PYGL	SENP3	0.162
PYGB	PRKACA	0.162
PYGB	PRKACG	0.162
PYGB	PRKACB	0.162
PYGB	SENP3	0.162
PYGM	PRKACA	0.162
PYGM	PRKACG	0.162
PYGM	PRKACB	0.162
GAA	UBC	0.161
GYS1	CSNK1D	0.161
GYS2	PPP1CB	0.161
GYS2	PPP1CC	0.161
GANC	CCT6B	0.16
GANC	CCT6A	0.16
GYS1	PPP1CB	0.16
GYS2	SUMO4	0.16
PYGL	NEDD8	0.16
PYGB	SKI	0.16
TREH	HSP90AA1	0.16
TREH	HSP90AB1	0.16
GYS1	SUMO3	0.159
GYS1	SUMO2	0.159
GYS1	SUMO1	0.159
GYS1	SUMO4	0.159
GYS2	SUMO3	0.159
GYS2	SUMO2	0.159
GYS2	SUMO1	0.159
UGDH	CIAO1	0.159
TREH	CDK2	0.159
ITPA	HSP90AB1	0.159
GYS1	PPP1R7	0.158
