gene	node_type
ACOX3	gene
ACOX1	gene
ECHS1	gene
AMACR	gene
HADH	gene
WBSCR22	PPI
FKBP6	PPI
MYC	PPI
HOXD4	PPI
HOXC4	PPI
UBC	PPI
SLC2A4	PPI
HOXB4	PPI
TAF1	PPI
HNF4A	PPI
PEX5	PPI
RBM5	PPI
MAX	PPI
SKP1	PPI
RBM10	PPI
HOXA4	PPI
HIBCH	PPI
TMEM150A	PPI
MICU2	PPI
SMURF2	PPI
VTA1	PPI
SLC39A9	PPI
CAMK4	PPI
HIST2H2AC	PPI
TYSND1	PPI
NAA35	PPI
MBNL2	PPI
HIST2H2AA3	PPI
PNCK	PPI
C4ORF22	PPI
HIST3H2A	PPI
DTX2	PPI
LONP2	PPI
DTX1	PPI
PDSS2	PPI
CAMK1D	PPI
HIST2H2AB	PPI
PEX5L	PPI
CDK20	PPI
ACBD7	PPI
PNMA1	PPI
NPRL2	PPI
CACTIN	PPI
CCT6B	PPI
TOPBP1	PPI
HSPH1	PPI
STAM	PPI
HIST1H2AC	PPI
PPWD1	PPI
SEH1L	PPI
DNAJA3	PPI
HIST1H2AH	PPI
CAMK1G	PPI
HIST1H2AA	PPI
HSD17B10	PPI
HIST1H2AJ	PPI
H2AFJ	PPI
NOC4L	PPI
CRNKL1	PPI
GABARAPL1	PPI
DHX35	PPI
EXOC1	PPI
HMGXB4	PPI
MAD2L2	PPI
FEM1B	PPI
DDX19B	PPI
DTX4	PPI
MRPS17	PPI
EIF4E1B	PPI
DDX3X	PPI
XPO1	PPI
PSMD3	PPI
PRPF3	PPI
FOXS1	PPI
NEMF	PPI
EIF4E2	PPI
ECI2	PPI
STAM2	PPI
ALDH1A2	PPI
GFPT2	PPI
HSPA4L	PPI
ALDH1A1	PPI
OTC	PPI
RAF1	PPI
GAPDH	PPI
HIST1H2AB	PPI
ALDH2	PPI
RPLP2	PPI
RPLP0	PPI
EIF4E	PPI
GALT	PPI
HSP90AB1	PPI
GSTA1	PPI
ENO2	PPI
HIST1H2AG	PPI
H2AFB1	PPI
H2AFB2	PPI
HSPA1A	PPI
HSPA1B	PPI
HSPD1	PPI
HSPA8	PPI
PSKH1	PPI
CDK4	PPI
EEF2	PPI
ENO3	PPI
ATP6V1B1	PPI
H2AFX	PPI
HSPA6	PPI
PRKACA	PPI
EN2	PPI
HIST1H2AD	PPI
ATP6V1B2	PPI
SCP2	PPI
UBA1	PPI
PRKACG	PPI
PRKACB	PPI
FBLN1	PPI
AHCY	PPI
PSMB4	PPI
ALDH1B1	PPI
HSPA4	PPI
RPL4	PPI
HSPA9	PPI
CCT6A	PPI
PSMC4	PPI
ALDH1A3	PPI
MCM2	PPI
CCT8	PPI
HSD17B4	PPI
PRKX	PPI
PPP5C	PPI
NUDT6	PPI
PRKAA2	PPI
HSPA2	PPI
UBE2N	PPI
RPL27	PPI
ISL1	PPI
LYZ	PPI
RPS18	PPI
UBE2D2	PPI
RPL10A	PPI
RPS27A	PPI
UBA52	PPI
FBLN2	PPI
CDKL1	PPI
CDK6	PPI
CDK5	PPI
GALK2	PPI
EN1	PPI
GFPT1	PPI
PPID	PPI
UBE2V1	PPI
DYRK1A	PPI
CAMK1	PPI
HLA-B	PPI
PSMC2	PPI
VHL	PPI
STAT3	PPI
BAG6	PPI
VCP	PPI
CTBP2	PPI
CLDN12	PPI
TMEM33	PPI
GABARAPL2	PPI
SUMO2	PPI
YPEL5	PPI
GRB2	PPI
YWHAZ	PPI
UBE2I	PPI
MDM2	PPI
IFRD2	PPI
PAK2	PPI
MAD2L1	PPI
CTBP1	PPI
CAMK2G	PPI
CAMK2D	PPI
GRAP	PPI
NACA	PPI
IKBKE	PPI
CUL7	PPI
FASTKD3	PPI
PPP2R5A	PPI
PTGES3	PPI
HERC1	PPI
TAF12	PPI
PPP2R5E	PPI
LRRK1	PPI
LGALS9B	PPI
LRRK2	PPI
TRAPPC3L	PPI
CYHR1	PPI
DEF8	PPI
FERMT3	PPI
SLC26A11	PPI
HOMER1	PPI
CBWD2	PPI
ATPAF2	PPI
NEDD1	PPI
OSR1	PPI
SLC35F5	PPI
TRIM63	PPI
FERMT2	PPI
ABHD14B	PPI
PGLYRP2	PPI
PARK7	PPI
FERMT1	PPI
ABHD14A	PPI
DDA1	PPI
GTPBP2	PPI
ITPA	PPI
UBA5	PPI
NACA2	PPI
ING2	PPI
ATG5	PPI
MOV10	PPI
ISYNA1	PPI
HOMER2	PPI
NXF1	PPI
FTSJ1	PPI
ING1	PPI
TNIK	PPI
PRKAB1	PPI
USP15	PPI
TRAF6	PPI
TIMM22	PPI
UCHL5	PPI
SIRT4	PPI
LGALS9	PPI
IFRD1	PPI
RIPK2	PPI
TRAPPC3	PPI
SYNCRIP	PPI
EIF1B	PPI
PPM1B	PPI
YEATS4	PPI
SERPINA1	PPI
GH1	PPI
NTRK1	PPI
CYP2E1	PPI
CAPN1	PPI
JMJD7	PPI
EPB41	PPI
DBT	PPI
COX4I1	PPI
TIMP2	PPI
TFE3	PPI
MCC	PPI
EEF1D	PPI
NTN3	PPI
CEP152	PPI
NTN1	PPI
ATP5G1	PPI
DCC	PPI
ATP5G3	PPI
ATP5G2	PPI
NEO1	PPI
COA7	PPI
ADAM19	PPI
THUMPD1	PPI
ALDOA	PPI
ALDOB	PPI
APP	PPI
ADH1A	PPI
PRKCSH	PPI
MAPK3	PPI
STAT1	PPI
CLK1	PPI
