gene	node_type
IDO2	gene
ALOX12B	gene
LOC51064	gene
GSTM3	gene
GSTMU3	gene
GSTM5	gene
GSTK1	gene
GSTM4	gene
GSTM2	gene
GSTA1	gene
GSTA3	gene
GSTM1	gene
GSTA5	gene
GSTT4	gene
GSTP1	gene
GSTT2B	gene
GSTA2	gene
GSTT2	gene
GSTA4	gene
GSTT1	gene
LANCL1	gene
MGST2	gene
MGST3	gene
MGST1	gene
RDH16	gene
DHRS9	gene
DHRS7B	gene
DHRS13	gene
DHRS7C	gene
DHRS7	gene
HSD17B13	gene
DHRSX	gene
DHRS1	gene
DHRS4L1	gene
DHRS4L2	gene
DHRS12	gene
DBH	gene
GIG18	gene
GOT2	gene
GOT1L1	gene
FARSA	gene
FARS2	gene
FARSB	gene
TH	gene
PAH	gene
HGD	gene
CRYZ	gene
TRP-2	gene
DCT	gene
UGT1A9	gene
UGT1A5	gene
BILIQTL1	gene
UGT3A1	gene
UGT1A8	gene
UGT1A3	gene
UGT1A1	gene
UGT1A6	gene
UGT1A7	gene
UGT1A4	gene
UGT2A1	gene
UGT2B15	gene
UGT2B7	gene
UGT1A10	gene
UGT2B4	gene
UGT2B11	gene
UGT2B17	gene
UGT2A3	gene
UGT3A2	gene
UGT2B10	gene
UGT2B28	gene
HADHB	gene
ACAA2	gene
ACAA1	gene
TPO	gene
TAT	gene
HPD	gene
MPO	gene
PXDN	gene
EPX	gene
LPO	gene
PXDNL	gene
ALDH1A3	gene
ALDH3A1	gene
ALDH3B1	gene
ALDH3B2	gene
ALDH2	gene
ALDH3A2	gene
ALDH1B1	gene
STS	gene
IL4I1	gene
ACOX3	gene
ACOX1	gene
CYP1A1	gene
CYP2D6	gene
CYP2B6	gene
CYP2C	gene
CYP1B1	gene
CYP19A1	gene
CYP4F8	gene
CYP2C18	gene
CYP2A7	gene
CYP4X1	gene
CYP4Z1	gene
CYP2D7	gene
CYP2S1	gene
CYP4F12	gene
CYP2C8	gene
CYP1A2	gene
CYP4B1	gene
CYP3A5	gene
CYP3A7	gene
CYP2U1	gene
CYP3A43	gene
CYP2F1	gene
CYP2A13	gene
MAOA	gene
MAOB	gene
COQ7	gene
CYP26B1	gene
CYP26A1	gene
CYP2A6	gene
COQ6	gene
ACO2	gene
HEL-S-284	gene
CDYL	gene
HTD2	gene
HADH	gene
YARS	gene
YARS2	gene
ECHS1	gene
DDC	gene
ACOT7L	gene
THEM4	gene
ACOT2	gene
THEM5	gene
ACOT4	gene
ACOT1	gene
ACOT7	gene
ADH5	gene
ADH1A	gene
ADH4	gene
ADH1B	gene
ADH1C	gene
ADH6	gene
ADH7	gene
SUCLG2	gene
DKFZP686D0880	gene
SLC27A1	gene
SLC27A4	gene
SLC27A3	gene
ACSF2	gene
AASDH	gene
ACSF3	gene
UBA3	gene
AMACR	gene
FAH	gene
FA2H	gene
TYRP1	gene
COMT	gene
LRTOMT	gene
SULT1A2	gene
SULT1A3	gene
SULT1A4	gene
SULT1A1	gene
TYR	gene
PNMT	gene
ESD	gene
GSTMU3	PPI
DKFZP686D0880	PPI
DNAJA4	PPI
STK26	PPI
STK24	PPI
STK25	PPI
SOCS3	PPI
DNAJA2	PPI
UBC	PPI
RCC1	PPI
CDK2	PPI
DNAJA1	PPI
STK3	PPI
B3GALNT1	PPI
GPANK1	PPI
NFKB1	PPI
TGM1	PPI
KIR3DS1	PPI
DPPA4	PPI
CCDC51	PPI
GMCL1	PPI
ALOXE3	PPI
MBD2	PPI
MBD1	PPI
MPG	PPI
HLA-C	PPI
PSEN1	PPI
HMGA2	PPI
SUMO2	PPI
YWHAG	PPI
GRB2	PPI
GSTO1	PPI
ECT2L	PPI
YWHAH	PPI
RBL2	PPI
PAK2	PPI
SLBP	PPI
PLS1	PPI
GSTCD	PPI
HNRNPLL	PPI
FAM120B	PPI
PPP1R13B	PPI
HSD17B10	PPI
SH3GL2	PPI
GNB1L	PPI
ATG5	PPI
GSTO2	PPI
MOV10	PPI
LANCL2	PPI
KLHL42	PPI
NXF1	PPI
TPX2	PPI
TRAF6	PPI
UCHL5	PPI
GSTZ1	PPI
BAG3	PPI
GH1	PPI
ESR1	PPI
ENO1	PPI
TFE3	PPI
HSPA2	PPI
ACTB	PPI
ACTG1	PPI
CCT2	PPI
KCNMA1	PPI
ARFGAP1	PPI
MAP3K5	PPI
AMOTL2	PPI
ERLIN2	PPI
ATP5B	PPI
TUBB	PPI
HSPA8	PPI
SLC2A4	PPI
PPP1CC	PPI
SRPRB	PPI
GTF3C3	PPI
COPG1	PPI
IGF2BP2	PPI
TIMM23	PPI
POLR1C	PPI
ZW10	PPI
USO1	PPI
COQ9	PPI
UFL1	PPI
CCNDBP1	PPI
SMC2	PPI
AHSA1	PPI
EGFR	PPI
FN1	PPI
RPN1	PPI
RPN2	PPI
SLC3A2	PPI
SNRPA1	PPI
CISD3	PPI
ITGA4	PPI
DDX5	PPI
VCAM1	PPI
TAF1	PPI
VDAC1	PPI
MAPK3	PPI
HTR1B	PPI
POLD1	PPI
MAPK1	PPI
HNRNPH3	PPI
MCM4	PPI
MCM7	PPI
COPB2	PPI
DDOST	PPI
ARL1	PPI
IARS	PPI
STAT1	PPI
LRPPRC	PPI
MATR3	PPI
PIP4K2A	PPI
TMED10	PPI
PEX5	PPI
CCT8	PPI
RPS6KA3	PPI
HNRNPM	PPI
EPPK1	PPI
EIF4G2	PPI
GTF2I	PPI
CYCS	PPI
PFKP	PPI
NCBP1	PPI
CUL4A	PPI
DCTN1	PPI
VEPH1	PPI
NCAPH	PPI
EFTUD2	PPI
RAB3GAP1	PPI
PCBP1	PPI
TSC22D1	PPI
SLC1A5	PPI
NEDD8	PPI
ADIPOQ	PPI
DDB1	PPI
CLPP	PPI
IMMT	PPI
PDS5A	PPI
MINOS1	PPI
TCTN3	PPI
PDXDC1	PPI
HEATR3	PPI
DCXR	PPI
DNAAF5	PPI
HRNR	PPI
FAM9B	PPI
CCAR2	PPI
NUP93	PPI
HSD17B11	PPI
IPO4	PPI
PDCD6IP	PPI
FAR1	PPI
SYMPK	PPI
CCDC47	PPI
KIF1BP	PPI
L3HYPDH	PPI
RPRD1A	PPI
CMSS1	PPI
NOC4L	PPI
YTHDF1	PPI
XPO4	PPI
EHD4	PPI
RAB3GAP2	PPI
UNC45A	PPI
ARMT1	PPI
SFXN1	PPI
XPO5	PPI
DNAJC11	PPI
FANCI	PPI
OGFR	PPI
ATXN10	PPI
NCDN	PPI
SEC63	PPI
XPO7	PPI
CPSF3	PPI
TMCO1	PPI
PRPF19	PPI
SSR3	PPI
VDAC3	PPI
TLE1	PPI
ZBTB16	PPI
UNC119	PPI
LRIF1	PPI
RIF1	PPI
NELFCD	PPI
IGSF21	PPI
MED31	PPI
TP53	PPI
HNF4A	PPI
APLP1	PPI
PTEN	PPI
MAPK8	PPI
MAPK9	PPI
CYP2J2	PPI
MAPK10	PPI
YWHAE	PPI
LSM3	PPI
PPP2CB	PPI
ST3GAL1	PPI
RPAIN	PPI
SPDL1	PPI
ZBTB21	PPI
IKBKB	PPI
APP	PPI
UCP1	PPI
IQCB1	PPI
ARL6IP6	PPI
HAUS7	PPI
HNRNPA1	PPI
ATF2	PPI
PTN	PPI
TGM2	PPI
PRDX6	PPI
FUS	PPI
RBMX	PPI
MLH1	PPI
PSMC4	PPI
MCM2	PPI
LIG4	PPI
SUMO3	PPI
KRTAP10-3	PPI
KRTAP10-7	PPI
KRTAP10-9	PPI
GABARAPL2	PPI
RPS8	PPI
HIST1H4A	PPI
SUMO1	PPI
DLG4	PPI
TXNL4A	PPI
FANCC	PPI
MDM2	PPI
ACY1	PPI
GABPB1	PPI
TRAF2	PPI
FOXD4	PPI
MAP3K1	PPI
CUL2	PPI
CUL3	PPI
CUL7	PPI
KRT31	PPI
MAPK14	PPI
RIC1	PPI
ZNF518A	PPI
SUMO4	PPI
NOTCH2NL	PPI
RNF113B	PPI
APPBP2	PPI
COPS5	PPI
ISOC2	PPI
OTUB1	PPI
UBE2O	PPI
MAP1LC3B	PPI
GABARAPL1	PPI
MAP1LC3A	PPI
SCAF1	PPI
SIRT7	PPI
PNO1	PPI
FBXL12	PPI
SH3GLB1	PPI
DVL2	PPI
UBD	PPI
RNF113A	PPI
EED	PPI
ATRN	PPI
GABARAP	PPI
PTBP3	PPI
NTRK1	PPI
ISG15	PPI
JUN	PPI
HCCS	PPI
FAM46C	PPI
NUP54	PPI
GTF2H4	PPI
SMOX	PPI
PUF60	PPI
NUSAP1	PPI
EIF2B2	PPI
ALLC	PPI
C2ORF50	PPI
NTMT1	PPI
ONECUT1	PPI
MYC	PPI
ERG	PPI
MCM5	PPI
VHL	PPI
HTT	PPI
MAX	PPI
YWHAZ	PPI
EPS8	PPI
MYO7A	PPI
FIGN	PPI
TBC1D9B	PPI
TBC1D9	PPI
UBN2	PPI
ALDH16A1	PPI
SIRT1	PPI
EPS8L2	PPI
OCIAD1	PPI
LRP1B	PPI
SSX2IP	PPI
DERA	PPI
IPP	PPI
LIN7A	PPI
F10	PPI
TUBB4A	PPI
CCNC	PPI
SNCA	PPI
TUBB4B	PPI
TUBB2A	PPI
ELAVL1	PPI
E2F4	PPI
CNTRL	PPI
FBF1	PPI
RMDN3	PPI
TUBB2B	PPI
UNK	PPI
LIN7B	PPI
LIN7C	PPI
VAPA	PPI
GOLT1B	PPI
LTC4S	PPI
ATL3	PPI
ATL2	PPI
NELFB	PPI
ATL1	PPI
ESRRB	PPI
ERBB2	PPI
TTYH3	PPI
SLC2A8	PPI
CHIC2	PPI
ATP2B2	PPI
MFSD4B	PPI
EMB	PPI
MAVS	PPI
GALNT11	PPI
GLMP	PPI
JAGN1	PPI
TCTN2	PPI
NMES1	PPI
BRE	PPI
HECW2	PPI
MED19	PPI
TP53BP1	PPI
KIF11	PPI
SLC39A4	PPI
HTR3E	PPI
SPINT2	PPI
HLA-DMB	PPI
ETV5	PPI
PTGER3	PPI
RPS9	PPI
EVA1C	PPI
IL9R	PPI
TREML2	PPI
IL20RB	PPI
EVC2	PPI
TMEM17	PPI
MCOLN3	PPI
TSPAN17	PPI
POPDC2	PPI
TMEM30A	PPI
TMEM216	PPI
CHRNA9	PPI
TSPAN10	PPI
ECI2	PPI
RHOU	PPI
GCNT3	PPI
ZBED1	PPI
ATXN1	PPI
MDFI	PPI
KRTAP3-2	PPI
PLSCR1	PPI
KRTAP5-9	PPI
KRTAP10-8	PPI
H3F3A	PPI
PPT1	PPI
CLN3	PPI
CLN5	PPI
APCS	PPI
ALDOA	PPI
OAT	PPI
GAPDH	PPI
ASL	PPI
ALDOB	PPI
SLC25A5	PPI
EIF4E	PPI
GPI	PPI
BPGM	PPI
HSP90AA1	PPI
PFKM	PPI
HSP90AB1	PPI
ENO2	PPI
DLD	PPI
HSPA1A	PPI
HSPA1B	PPI
HSPD1	PPI
HSPA5	PPI
EPB41	PPI
SLC25A4	PPI
SLC25A6	PPI
EEF2	PPI
TPT1	PPI
ENO3	PPI
FDPS	PPI
PGAM2	PPI
ATP6V1B1	PPI
NME1	PPI
HSPA6	PPI
CTPS1	PPI
PFKL	PPI
PGAM1	PPI
HK1	PPI
BTF3	PPI
ATP6V1B2	PPI
ATP6V1C1	PPI
UBA1	PPI
NME2	PPI
MCC	PPI
AHCY	PPI
CFL1	PPI
ACAT1	PPI
ATP5A1	PPI
TARS	PPI
VARS	PPI
EEF1G	PPI
PRDX5	PPI
PRDX3	PPI
PPIF	PPI
HLA-B	PPI
MAT2A	PPI
RRM2	PPI
ATIC	PPI
PRDX2	PPI
SHMT1	PPI
SHMT2	PPI
HSPA1L	PPI
HSPA4	PPI
CBS	PPI
GCK	PPI
GLRX	PPI
ATP5C1	PPI
ATP6V1E1	PPI
GARS	PPI
EIF1	PPI
NEDD4	PPI
AARS	PPI
SARS	PPI
PGD	PPI
CLTCL1	PPI
HMGCS2	PPI
PSMD4	PPI
VCP	PPI
SNU13	PPI
NPEPPS	PPI
EIF4A1	PPI
DSTN	PPI
NUTF2	PPI
ARF6	PPI
ACTA2	PPI
PPIA	PPI
FKBP1A	PPI
ACTG2	PPI
ACTC1	PPI
EEF1A1	PPI
FKBP1B	PPI
ACTA1	PPI
CCNA1	PPI
ARF1	PPI
