gene1	gene	score
TPMT	COMT	1
TPMT	NNMT	1
TPMT	HNMT	1
PRDM9	HIST1H4A	1
PRDM9	HIST1H3A	1
PRDM9	H3F3A	1
PRDM9	HIST2H3A	1
KMT5A	PHF8	1
KMT5A	TP53	1
KMT5A	UBC	1
KMT5A	PCNA	1
KMT5A	HIST1H4A	1
DOT1L	MLLT3	1
DOT1L	MLLT10	1
DOT1L	MLLT1	1
SETD7	TP53	1
SETD7	HIST1H3A	1
SETD7	RELA	1
SETDB1	ATF7IP	1
SETDB1	CHD7	1
SETDB1	NLK	1
SETDB1	UBC	1
SETDB1	SUMO2	1
NSD1	AR	1
SETD1A	WDR5	1
SETD1A	HIST1H3A	1
SETD1A	H3F3A	1
SETD1A	KMT2A	1
SETD1A	RBBP5	1
SETD1A	HIST3H3	1
SETD1A	H3F3C	1
SETD1A	WDR82	1
SETD1A	HIST2H3A	1
SETD1A	WDR5B	1
SETD1A	KMT2C	1
SETD1A	DPY30	1
SETD1A	CXXC1	1
SETD1A	ASH2L	1
SETD1A	SETD1B	1
SETD1A	KMT2D	1
SETD1B	KMT2D	1
SETD1B	SETD1A	1
SETD1B	WDR5	1
SETD1B	HIST1H3A	1
SETD1B	H3F3A	1
SETD1B	KMT2A	1
SETD1B	RBBP5	1
SETD1B	HIST3H3	1
SETD1B	H3F3C	1
SETD1B	WDR82	1
SETD1B	HIST2H3A	1
SETD1B	WDR5B	1
SETD1B	KMT2C	1
SETD1B	CXXC1	1
SETD1B	ASH2L	1
KMT2B	WDR5	1
KMT2B	RBBP5	1
KMT2B	DPY30	1
KMT2B	ASH2L	1
KMT2C	CREBBP	1
KMT2C	PAGR1	1
KMT2C	DPY30	1
KMT2C	ASH2L	1
KMT2C	SETD1B	1
KMT2C	MAFB	1
KMT2C	NCOA3	1
KMT2C	MEIS1	1
KMT2C	KMT2D	1
KMT2C	SETD1A	1
KMT2C	POLR2D	1
KMT2C	KDM6A	1
KMT2C	JUN	1
KMT2C	RARA	1
KMT2C	RARB	1
KMT2C	EGR2	1
KMT2C	RARG	1
KMT2C	HOXB1	1
KMT2C	POLR2C	1
KMT2C	POLR2E	1
KMT2C	RXRA	1
KMT2C	POLR2A	1
KMT2C	YY1	1
KMT2C	PAX6	1
KMT2C	POLR2B	1
KMT2C	POLR2I	1
KMT2C	PBX1	1
KMT2C	CTCF	1
KMT2C	POLR2H	1
KMT2C	POLR2J	1
KMT2C	POLR2K	1
KMT2C	PKNOX1	1
KMT2C	POLR2F	1
KMT2C	WDR5	1
KMT2C	POLR2G	1
KMT2C	HIST1H4A	1
KMT2C	POLR2L	1
KMT2C	HIST1H3A	1
KMT2C	H3F3A	1
KMT2C	KMT2A	1
KMT2C	EP300	1
KMT2C	NCOA6	1
KMT2C	RBBP5	1
KMT2C	PAXIP1	1
KMT2C	HIST2H3A	1
KMT2A	RBBP5	1
KMT2A	HIST3H3	1
KMT2A	KMT2C	1
KMT2A	CREBBP	1
KMT2A	DPY30	1
KMT2A	ASH2L	1
KMT2A	PPIE	1
KMT2A	SETD1B	1
KMT2A	MEN1	1
KMT2A	KMT2D	1
KMT2A	SETD1A	1
KMT2A	UBC	1
KMT2A	HOXA9	1
KMT2A	WDR5	1
KMT2A	HIST1H3A	1
KMT2D	SETD1A	1
KMT2D	POLR2D	1
KMT2D	KDM6A	1
KMT2D	JUN	1
KMT2D	RARA	1
KMT2D	RARB	1
KMT2D	EGR2	1
KMT2D	RARG	1
KMT2D	HOXB1	1
KMT2D	POLR2C	1
KMT2D	POLR2E	1
KMT2D	RXRA	1
KMT2D	POLR2A	1
KMT2D	YY1	1
KMT2D	PAX6	1
KMT2D	POLR2B	1
KMT2D	CTNNB1	1
KMT2D	POLR2I	1
