gene	node_type
CYP1A1	gene
CYP2D6	gene
CYP2B6	gene
CYP2C	gene
CYP1B1	gene
CYP19A1	gene
CYP4F8	gene
CYP2C18	gene
CYP2A7	gene
CYP4X1	gene
CYP4Z1	gene
CYP2D7	gene
CYP2S1	gene
CYP4F12	gene
CYP2C8	gene
CYP1A2	gene
CYP4B1	gene
CYP3A5	gene
CYP3A7	gene
CYP2U1	gene
CYP3A43	gene
CYP2F1	gene
CYP2A13	gene
RETSAT	gene
UGT1A9	gene
UGT1A5	gene
BILIQTL1	gene
UGT3A1	gene
UGT1A8	gene
UGT1A3	gene
UGT1A1	gene
UGT1A6	gene
UGT1A7	gene
UGT1A4	gene
UGT2A1	gene
UGT2B15	gene
UGT2B7	gene
UGT1A10	gene
UGT2B4	gene
UGT2B11	gene
UGT2B17	gene
UGT2A3	gene
UGT3A2	gene
UGT2B10	gene
UGT2B28	gene
ACO2	gene
HEL-S-284	gene
CDYL	gene
HTD2	gene
SDR16C5	gene
ALDH1A2	gene
LRAT	gene
CYP17A1	PPI
CYP11A1	PPI
CYP2E1	PPI
LPL	PPI
CYP3A4	PPI
CYP21A2	PPI
CYP2A6	PPI
CYP2C9	PPI
CYP11B1	PPI
CD36	PPI
CYP11B2	PPI
CYP7A1	PPI
CYP2C19	PPI
CYP2J2	PPI
CYP4F2	PPI
CYP27A1	PPI
CYP24A1	PPI
CYP4F3	PPI
NFE2L2	PPI
CYP51A1	PPI
CYP27C1	PPI
CYP4F22	PPI
CYP20A1	PPI
CYP26C1	PPI
CYP2R1	PPI
CYP4V2	PPI
CYP2W1	PPI
CYP4F11	PPI
CYP26B1	PPI
FGF21	PPI
CYP39A1	PPI
CYP8B1	PPI
CYP46A1	PPI
CYP27B1	PPI
CYP26A1	PPI
CYP7B1	PPI
UBC	PPI
HDAC1	PPI
HDAC2	PPI
PSMD14	PPI
RBP1	PPI
RBP2	PPI
POR	PPI
HIST1H3A	PPI
B3GALT1	PPI
FOSL2	PPI
CYB5A	PPI
PRKCE	PPI
FXN	PPI
SUZ12	PPI
ESR1	PPI
EZH2	PPI
JUN	PPI
HNF4A	PPI
HSPA4	PPI
HSP90AA1	PPI
HSP90AB1	PPI
ITPR1	PPI
BCAT2	PPI
BCAT1	PPI
EHMT2	PPI
NCS1	PPI
ZNF644	PPI
PRDX2	PPI
PRDX4	PPI
REST	PPI
SETDB1	PPI
SMARCA4	PPI
SMARCB1	PPI
PRKAA2	PPI
PGRMC1	PPI
WIZ	PPI
PRKAR1A	PPI
PRKAR2A	PPI
PRKAR1B	PPI
PRKAR2B	PPI
JUND	PPI
HTRA2	PPI
CREB1	PPI
FMO4	PPI
FMO3	PPI
FMO5	PPI
NPEPPS	PPI
SUMO4	PPI
HSD11B1	PPI
EPHX1	PPI
ACSL1	PPI
ACSL6	PPI
ACSL5	PPI
PGRMC2	PPI
CLPP	PPI
BCAP31	PPI
CYB5R2	PPI
CYB5R3	PPI
CTBP1	PPI
SUMO3	PPI
SUMO2	PPI
SUMO1	PPI
PSMD4	PPI
MIER2	PPI
SRP54	PPI
ABCG1	PPI
CNBP	PPI
ZCCHC13	PPI
MYH1	PPI
MYH7	PPI
MYH8	PPI
MYH14	PPI
MYH13	PPI
MYH15	PPI
MYH4	PPI
MYH7B	PPI
RPS9	PPI
MYH3	PPI
MYH10	PPI
MYH11	PPI
PGD	PPI
RPF2	PPI
MYH2	PPI
MYH9	PPI
MYC	PPI
COPZ1	PPI
SEC23B	PPI
PKM	PPI
YWHAQ	PPI
YWHAB	PPI
YWHAZ	PPI
MIER1	PPI
VCAM1	PPI
RBBP4	PPI
PSMC3	PPI
PSMD2	PPI
ADAMTSL4	PPI
HIST3H3	PPI
TUBB4A	PPI
TUBB	PPI
TUBB4B	PPI
TUBB3	PPI
TUBB2A	PPI
TUBB8	PPI
TUBB6	PPI
TUBB2B	PPI
TUBB1	PPI
MDH2	PPI
CSNK1D	PPI
DLG4	PPI
YWHAH	PPI
HSPA1A	PPI
HSPA1B	PPI
HSPA8	PPI
HSPA6	PPI
HSPA2	PPI
HSPB2	PPI
MLH1	PPI
YWHAG	PPI
HECW2	PPI
RAB38	PPI
TRIP12	PPI
ENO2	PPI
ENO3	PPI
CBS	PPI
TNPO2	PPI
RNF32	PPI
MAST1	PPI
IFIT3	PPI
MYO5C	PPI
MYO5B	PPI
MYO5A	PPI
HSPA4L	PPI
ALDOA	PPI
ALDOB	PPI
TPR	PPI
SLC2A4	PPI
HSPH1	PPI
ASB9	PPI
ALDH2	PPI
HSPA1L	PPI
CCT8	PPI
USP10	PPI
TNPO1	PPI
ACSS2	PPI
ACSS1	PPI
XPO1	PPI
PSEN1	PPI
ECSIT	PPI
A2M	PPI
APOE	PPI
DNAJB1	PPI
LONP1	PPI
BLMH	PPI
EXOC6	PPI
TUBA8	PPI
OGDHL	PPI
TUBAL3	PPI
DNM1L	PPI
CLUH	PPI
GFPT2	PPI
PFKM	PPI
