gene1	gene	score
MTR	MTRR	1
MTR	UBC	1
MTRR	MTR	1
UBC	RGPD1	1
UBC	RGPD2	1
UBC	PGA3	1
UBC	PGA5	1
UBC	HNRNPCL4	1
UBC	HSPA1A	1
UBC	HSPA1B	1
UBC	U2AF1L5	1
UBC	CBSL	1
UBC	GLI2	1
UBC	GLI3	1
UBC	RAP2A	1
UBC	TROVE2	1
UBC	MYB	1
UBC	AR	1
UBC	RARA	1
UBC	RRAS	1
UBC	HLA-C	1
UBC	HIST1H1E	1
UBC	DLAT	1
UBC	PTPRF	1
UBC	TXN	1
UBC	COX5B	1
UBC	MAPT	1
UBC	PRKAR1A	1
UBC	ALPPL2	1
UBC	KIT	1
UBC	FGF6	1
UBC	ESD	1
UBC	HSPD1	1
UBC	GHR	1
UBC	IRF1	1
UBC	HSPA5	1
UBC	LAMC1	1
UBC	MYH3	1
UBC	HSPA8	1
UBC	SLC2A1	1
UBC	SLC2A3	1
UBC	UMPS	1
UBC	PDHB	1
UBC	PYGB	1
UBC	PYGM	1
UBC	RALA	1
UBC	RALB	1
UBC	BCR	1
UBC	PIM1	1
UBC	FGFR1	1
UBC	TOP1	1
UBC	TOP2A	1
UBC	G6PD	1
UBC	UBL4A	1
UBC	VDR	1
UBC	FGF3	1
UBC	GNAT1	1
UBC	PC	1
UBC	DMD	1
UBC	MTHFD1	1
UBC	IGF2R	1
UBC	ADH5	1
UBC	PSKH1	1
UBC	CDK4	1
UBC	PRPS2	1
UBC	ODC1	1
UBC	PABPC1	1
UBC	PCNA	1
UBC	FGF5	1
UBC	KRT3	1
UBC	HARS	1
UBC	SLC25A4	1
UBC	SLC25A6	1
UBC	IMPDH2	1
UBC	TPR	1
UBC	CKB	1
UBC	SKI	1
UBC	SKIL	1
UBC	ACTN1	1
UBC	CDH1	1
UBC	MYH1	1
UBC	MYH7	1
UBC	SRC	1
UBC	PEPD	1
UBC	XRCC6	1
UBC	XRCC5	1
UBC	UNG	1
UBC	COX4I1	1
UBC	IFITM1	1
UBC	ALAS1	1
UBC	RNH1	1
UBC	CYBA	1
UBC	MYH8	1
UBC	CFTR	1
UBC	NCAM1	1
UBC	ATP1A3	1
UBC	EEF2	1
UBC	KRT10	1
UBC	KRT5	1
UBC	PDIA4	1
UBC	TPT1	1
UBC	ALAD	1
UBC	F3	1
UBC	HLA-E	1
UBC	HLA-DRB1	1
UBC	LCP1	1
UBC	PLS3	1
UBC	APEH	1
UBC	ETFA	1
UBC	GYS1	1
UBC	PRKAR2A	1
UBC	ENO3	1
UBC	GTF2F2	1
UBC	MTHFD2	1
UBC	CTSE	1
UBC	MIF	1
UBC	PRKCSH	1
UBC	FDPS	1
UBC	TRIM27	1
UBC	COX7A2	1
UBC	AKR1A1	1
UBC	PKM	1
UBC	HSP90B1	1
UBC	CCNB1	1
UBC	MYL6B	1
UBC	SLC2A4	1
UBC	SNRPB	1
UBC	IDE	1
UBC	COX6B1	1
UBC	POU2F1	1
UBC	HNRNPL	1
UBC	DARS	1
UBC	IDO1	1
UBC	ETS1	1
UBC	JUP	1
UBC	ETS2	1
UBC	BRAF	1
UBC	GLUL	1
UBC	AKR1B1	1
UBC	RAC2	1
UBC	GSPT1	1
UBC	MYOD1	1
UBC	PGAM2	1
UBC	IFNGR1	1
UBC	EZR	1
UBC	ATP6V1B1	1
UBC	UCHL3	1
UBC	VAV1	1
UBC	CD46	1
UBC	NME1	1
UBC	NQO1	1
UBC	HIVEP1	1
UBC	RPS2	1
UBC	TCF4	1
UBC	TCF3	1
UBC	DSP	1
UBC	RPA2	1
UBC	CD44	1
UBC	NQO2	1
UBC	H2AFX	1
UBC	PFKFB1	1
UBC	CBR1	1
UBC	CREB1	1
UBC	GLB1	1
UBC	PPP3CB	1
UBC	HIST1H1B	1
UBC	HIST1H1D	1
UBC	HIST1H1C	1
UBC	POR	1
UBC	MGMT	1
UBC	GNB3	1
UBC	ATP2A2	1
UBC	STMN1	1
UBC	YBX3	1
UBC	ZKSCAN1	1
UBC	ZNF28	1
UBC	HSPA6	1
UBC	HMGA1	1
UBC	TMEM11	1
UBC	GOT1	1
UBC	IFNAR1	1
UBC	PRKCA	1
UBC	JUNB	1
UBC	GJA1	1
UBC	UBTF	1
UBC	PRKACA	1
UBC	CAPN2	1
UBC	DES	1
UBC	CEBPB	1
UBC	CTPS1	1
UBC	DDX5	1
UBC	PFKL	1
UBC	PSMC3	1
UBC	TCP1	1
UBC	ERCC2	1
UBC	RPL35A	1
UBC	ITGB5	1
UBC	ARF4	1
UBC	RPL7	1
UBC	VCL	1
UBC	SON	1
UBC	RPL17	1
UBC	PGAM1	1
UBC	RCC1	1
UBC	SDC1	1
UBC	ATF1	1
UBC	ATF4	1
UBC	ATF6	1
UBC	LIG1	1
UBC	XRCC1	1
UBC	KRT15	1
UBC	PAM	1
UBC	CDH2	1
UBC	GNAZ	1
UBC	GNAT2	1
UBC	MYL12A	1
UBC	PLCG1	1
UBC	NCL	1
UBC	HK1	1
UBC	POLR2C	1
UBC	POLR2E	1
UBC	TNFRSF1A	1
UBC	ERCC3	1
UBC	TRIM21	1
UBC	EIF2AK2	1
UBC	SRM	1
UBC	SLC9A1	1
UBC	CSNK2A2	1
UBC	NFKB1	1
UBC	ATP2B1	1
UBC	EIF2S2	1
UBC	ANXA7	1
UBC	TBP	1
UBC	CCNA2	1
UBC	BTF3	1
UBC	RAB3B	1
UBC	RAB5A	1
UBC	RAB6A	1
UBC	PSMB1	1
UBC	M6PR	1
UBC	HIST1H2AD	1
UBC	LMNB1	1
UBC	BCL3	1
UBC	IMPDH1	1
UBC	PTMS	1
UBC	CD247	1
UBC	PRPS1L1	1
UBC	CDK11B	1
UBC	GSTM3	1
UBC	ATP6V1B2	1
UBC	ATP6V1C1	1
UBC	FLNA	1
UBC	NF1	1
UBC	MAOA	1
UBC	ACO1	1
UBC	SYT1	1
UBC	TNFAIP3	1
UBC	TAF1	1
UBC	GPD1	1
UBC	FGF7	1
UBC	VDAC1	1
UBC	FGFR2	1
UBC	ERBB3	1
UBC	SDHB	1
UBC	COMT	1
UBC	TGM2	1
UBC	OSBP	1
UBC	PCMT1	1
UBC	FBL	1
UBC	RPS4Y1	1
UBC	GART	1
UBC	PAICS	1
UBC	SCP2	1
UBC	UBA1	1
UBC	NME2	1
UBC	FGFR4	1
UBC	HIST1H1T	1
