V1	V2
ITPA	ARMT1
ITPA	MOV10
ITPA	ISYNA1
ITPA	NXF1
ITPA	RUVBL1
ITPA	MED31
ITPA	VPS4B
ITPA	EGFR
ITPA	ALDOA
ITPA	ALDOB
ITPA	HSP90AB1
ITPA	UBC
ITPA	HSPA1A
ITPA	HSPA1B
ITPA	HSPA8
ITPA	ATP6V1B1
ITPA	NME1
ITPA	TSHR
ITPA	HSPA6
ITPA	ATP6V1B2
ITPA	NME2
ITPA	PPIB
ITPA	MAPK3
ITPA	CAD
ITPA	MAPK1
ITPA	ECHS1
ITPA	SHMT2
ITPA	HSPA1L
ITPA	HSPA2
ITPA	WNT4
ITPA	CNBP
ITPA	ARHGEF7
ITPA	ZCCHC13
ITPA	SERPINB11
NUDT15	CLPSL1
NUDT15	RBL2
NUDT15	E2F4
NUDT15	LCN15
NUDT15	LZTS2
NUDT15	SRD5A3
RFK	DNAJB9
RFK	NOX1
RFK	CYBB
RFK	UBC
RFK	CYBA
RFK	TNFRSF1A
RFK	RAB1A
RFK	RAC1
RFK	WDR43
RFK	TRADD
ACP5	RPA2
ACP5	MAPK9
ACP5	TNFSF10
ACP5	HSD17B7
ACP5	PPP2CB
ACP5	ZBTB16
ACP5	SLC35F6
ACP5	SNRNP40
ACP5	KLHL15
ACP5	CIZ1
ACP5	PDCD5
ACP5	UBC
ACP5	SPP1
ACP5	HSPA5
ACP5	EGR2
ACPP	MMRN1
ACPP	ONECUT1
ACPP	RPS6KB2
ACPP	DDX19B
ACPP	SIAH2
ACPP	NCOR1
ACPP	IGHM
ACPP	SHBG
ACPP	ERBB2
ACPP	UBC
ACPP	AR
ACP6	SDHAF3
ACP6	DHCR7
ACP6	STOML2
ACP6	NME4
ACP6	RGS10
ACP6	NRDC
ACP6	GNG7
ACP6	PMPCB
ACP6	UBC
ACP6	HNF4A
ACP6	LIMS1
ACP6	ERH
ACP6	CYCS
ACP6	C1QBP
ACP6	PMPCA
ACP6	ECH1
ACP6	ILK
ACP6	RSU1
ACP6	BOLA3
ACP6	FAM9B
ACP6	SLC35F6
ACP6	DHX36
ACP2	LGALS3
ACP2	TAF1
ACP2	TRHR
ACP2	HNF4A
ACP2	FAM189B
ACP2	CBX1
ACP2	SGCA
ACP2	STX12
ACP2	LPAR1
ACP2	P2RY12
ACP2	FBXO6
ACP2	VTI1B
ACP2	LGALS8
ACP2	TNF
ACP2	UBC
FLAD1	PLEKHO2
FLAD1	ATG4A
FLAD1	SGSM3
FLAD1	MLST8
FLAD1	GNB4
FLAD1	MOV10
FLAD1	PRTFDC1
FLAD1	CA10
FLAD1	RBM22
FLAD1	KLHL14
FLAD1	NXF1
FLAD1	TNRC6B
FLAD1	MED31
FLAD1	ATG4B
FLAD1	SIRT4
FLAD1	SDCBP
FLAD1	NUDT21
FLAD1	CA11
FLAD1	FCHSD2
FLAD1	TK1
FLAD1	UBC
FLAD1	HSPA1A
FLAD1	HSPA1B
FLAD1	HSPD1
FLAD1	HSPA8
FLAD1	PSG1
FLAD1	TCF4
FLAD1	HSPA6
FLAD1	RCC1
FLAD1	ANXA7
FLAD1	NDUFS1
FLAD1	HSPA1L
FLAD1	TRIM23
FLAD1	CDKN1A
FLAD1	EIF2B2
FLAD1	HSPA2
FLAD1	HMGCS2
FLAD1	GEMIN4
FLAD1	PPP2CB
FLAD1	GNB1
FLAD1	GNB2
FLAD1	PPP2CA
FLAD1	HMGCS1
FLAD1	REL
FLAD1	ICT1
FLAD1	GRB7
FLAD1	SMN1
