V1	V2
ASPDH	JUN
ASPDH	TPM2
ASPDH	SPATC1L
NUDT12	NCOA5
NUDT12	PFDN4
NUDT12	TJP2
NUDT12	ALG5
NUDT12	VWA8
NUDT12	PDLIM1
NUDT12	CETN3
NUDT12	DNAJA2
NUDT12	HSPA1A
NUDT12	HSPA1B
NUDT12	HSPA8
NUDT12	HSPA6
NUDT12	PRKACA
NUDT12	RCC1
NUDT12	PRKACG
NUDT12	PRKACB
NUDT12	DNAJA1
NUDT12	HSPA1L
NUDT12	PRKX
NUDT12	HSPA2
NUDT12	BLMH
NUDT12	FKBP15
NUDT12	SIRT2
NUDT12	LZTR1
NUDT12	DNAJA4
MTAP	TCEA2
MTAP	ELAVL1
MTAP	E2F4
MTAP	CEP170
MTAP	SCLT1
MTAP	NEDD4L
MTAP	CENPH
MTAP	MAP1LC3A
MTAP	PSMD14
MTAP	XPO1
MTAP	LYRM1
MTAP	LMNA
MTAP	JUN
MTAP	SNRNP70
MTAP	UBC
MTAP	ATF2
MTAP	RCC1
MTAP	TCEA1
MTAP	CDC25A
MTAP	FUS
MTAP	NEDD4
MTAP	MCM2
MTAP	RELB
MTAP	FOLH1
MTAP	RBL2
MTAP	KCNMA1
PNP	TP53
PNP	JUN
PNP	ENO1
PNP	HSP90AB1
PNP	HNRNPA1
PNP	UBC
PNP	HSPA1A
PNP	HSPA1B
PNP	HSPA8
PNP	EPB41
PNP	ITGA4
PNP	HSPA6
PNP	RCC1
PNP	VCAM1
PNP	MCC
PNP	CDK2
PNP	HLA-B
PNP	HSPA1L
PNP	HSPA4
PNP	MNDA
PNP	MCM2
PNP	TMED10
PNP	CCT4
PNP	APLP1
PNP	KPNA1
PNP	HSPA2
PNP	ABCE1
PNP	SUMO2
PNP	IKBKE
PNP	BATF
PNP	DDB1
PNP	IFI16
PNP	RBM48
PNP	LRIF1
PNP	RIF1
PNP	HSPH1
PNP	CCDC90B
PNP	MOV10
PNP	BATF3
PNP	SIRT7
PNP	HECW2
PNP	NXF1
PNP	ZHX1
PNP	UCHL5
PNP	KPNA5
PNP	UBD
PNP	NOS1AP
PNP	HSPA4L
CYB5R3	ESR1
CYB5R3	CYP1A1
CYB5R3	HIST1H2AB
CYB5R3	ENO1
CYB5R3	EPHX1
CYB5R3	HSP90AA1
CYB5R3	HSP90AB1
CYB5R3	CYP3A4
CYB5R3	HOXB5
CYB5R3	HIST1H2AG
CYB5R3	H2AFB1
CYB5R3	H2AFB2
CYB5R3	UBC
CYB5R3	HSPA1A
CYB5R3	HSPA1B
CYB5R3	SPP1
CYB5R3	HSPD1
CYB5R3	HSPA8
CYB5R3	TOP1
CYB5R3	COX4I1
