gene	node_type
FPGS	gene
TYMS	gene
MTHFD1L	gene
DYR	gene
DHFR	gene
DHFR2	gene
ALDH1L1	gene
ALDH1L2	gene
MTHFS	gene
ST20-MTHFS	gene
AMT	gene
GGH	gene
SHMT1	gene
SHMT2	gene
SHMT	gene
DKFZP686P09201	gene
HEL-S-51E	gene
MTHFR	gene
DKFZP686P09201	PPI
HEL-S-51E	PPI
UBC	PPI
GCSH	PPI
HSPA2	PPI
HSPA1B	PPI
HSPA8	PPI
HSPA6	PPI
PSMB1	PPI
SUMO2	PPI
SUMO3	PPI
SUMO1	PPI
RRM1	PPI
THBS1	PPI
TIMM23	PPI
HSPE1	PPI
UBE2I	PPI
SUMO4	PPI
FKBP1A	PPI
HSPD1	PPI
HSPH1	PPI
HSPA4L	PPI
ASF1B	PPI
ASF1A	PPI
CDK11A	PPI
TRMT10C	PPI
HAO2	PPI
HAO1	PPI
E2F1	PPI
AMFR	PPI
PSMA1	PPI
E2F2	PPI
E2F5	PPI
PCNA	PPI
E2F4	PPI
NAP1L1	PPI
NAP1L4	PPI
NAP1L2	PPI
RTF1	PPI
TP53	PPI
MDM2	PPI
SKP1	PPI
FASTKD3	PPI
COX5B	PPI
NEDD4L	PPI
NEDD4	PPI
HSPA1L	PPI
SIRT4	PPI
PSMB2	PPI
CDCA7L	PPI
KDM4C	PPI
CBX4	PPI
YWHAB	PPI
HSP90AB1	PPI
YWHAQ	PPI
YWHAZ	PPI
GJA1	PPI
SET	PPI
OS9	PPI
NPEPPS	PPI
ATP6V1B1	PPI
ATP6V1A	PPI
VCAM1	PPI
HGS	PPI
PSMC3	PPI
MAPK3	PPI
MAPK1	PPI
PSMD14	PPI
ADRB2	PPI
ICT1	PPI
GNB1	PPI
LSM5	PPI
ILF2	PPI
GFPT1	PPI
GFPT2	PPI
HSPA1A	PPI
HSPA4	PPI
CREB3	PPI
PRPF40B	PPI
HECW2	PPI
RAB19	PPI
CEP152	PPI
TAF1	PPI
NDRG1	PPI
DUX4	PPI
PRPF40A	PPI
RAB21	PPI
RAB3A	PPI
RAB4B	PPI
KPNA1	PPI
KPNA5	PPI
BABAM1	PPI
CLEC2D	PPI
ASB12	PPI
RAB1A	PPI
KAT2B	PPI
XRN2	PPI
HDAC5	PPI
RCC1	PPI
CNBP	PPI
ZCCHC13	PPI
ALAS1	PPI
USP10	PPI
ABCF3	PPI
SLC2A4	PPI
RAE1	PPI
CCDC155	PPI
OTUB1	PPI
DNAJB4	PPI
EIF1B	PPI
CS	PPI
POLR1A	PPI
ATF2	PPI
GOT1	PPI
CCNA1	PPI
CCNA2	PPI
GTPBP4	PPI
UPF2	PPI
SIRT7	PPI
CALM1	PPI
UBD	PPI
FBXO6	PPI
EEF1A1	PPI
EEF1A2	PPI
EEF2	PPI
HSPA9	PPI
COPA	PPI
RPL8	PPI
FBXW11	PPI
NOP56	PPI
DKC1	PPI
HSPA5	PPI
MTHFD1	PPI
LSM8	PPI
CSNK1D	PPI
ITGA4	PPI
RBL2	PPI
PSMD4	PPI
PSMD2	PPI
GRB2	PPI
DYNLL1	PPI
DYNLL2	PPI
ESR1	PPI
MCM2	PPI
PPARD	PPI
LSM1	PPI
NEDD8	PPI
USP50	PPI
FAM96B	PPI
NDUFS3	PPI
CAMK1	PPI
CAMK4	PPI
PNCK	PPI
CAMK1D	PPI
CAMK1G	PPI
PSKH1	PPI
LIG4	PPI
H2AFV	PPI
H2AFZ	PPI
GTF2B	PPI
MAP1LC3A	PPI
CANX	PPI
TSC22D4	PPI
MAP1LC3B	PPI
SLC35F5	PPI
MAX	PPI
SH3GL2	PPI
NEK6	PPI
PHLDA3	PPI
MAGED1	PPI
EED	PPI
NTRK1	PPI
CASP4	PPI
TPR	PPI
CAPZA2	PPI
CAPZA1	PPI
CSE1L	PPI
FOXL1	PPI
CAPZA3	PPI
FOXB1	PPI
XPO1	PPI
ONECUT1	PPI
MYC	PPI
DLEU1	PPI
PRSS23	PPI
BRCC3	PPI
CUL7	PPI
KYAT1	PPI
SPIN4	PPI
C10ORF76	PPI
ADAL	PPI
PTRHD1	PPI
HUWE1	PPI
TTLL11	PPI
AGAP11	PPI
NT5C3B	PPI
ZNF419	PPI
DDA1	PPI
HINT2	PPI
UBA5	PPI
BRE	PPI
RAPGEFL1	PPI
FLVCR2	PPI
CA5B	PPI
HEBP2	PPI
CCDC189	PPI
WDR27	PPI
AOC2	PPI
OBSL1	PPI
JUN	PPI
DNAJB14	PPI
ATP6V0C	PPI
HNF4A	PPI
POC5	PPI
POC1B	PPI
WRAP73	PPI
ILK	PPI
PSMD6	PPI
TSC22D1	PPI
PPP5C	PPI
MLH1	PPI
ACTR6	PPI
ADAM19	PPI
DEDD	PPI
TDP2	PPI
PIM1	PPI
ZNF76	PPI
PBX2	PPI
GRK6	PPI
GLUD2	PPI
HARS2	PPI
DGKQ	PPI
YARS	PPI
ALDH18A1	PPI
