gene	node_type
ACOX3	gene
ACOX1	gene
HADH	gene
DECR2	gene
DECR1	gene
ACOT7L	gene
THEM4	gene
ACOT2	gene
THEM5	gene
ACOT4	gene
ACOT1	gene
ACOT7	gene
ECHS1	gene
ECI1	gene
ECI2	gene
HADHB	gene
ACAA2	gene
ACAA1	gene
SUCLG2	gene
DKFZP686D0880	gene
SLC27A1	gene
SLC27A4	gene
SLC27A3	gene
ACSF2	gene
AASDH	gene
ACSF3	gene
UBA3	gene
AMACR	gene
DKFZP686D0880	PPI
UBC	PPI
AKT1	PPI
AKT2	PPI
MYC	PPI
HADHA	PPI
PEX7	PPI
SUCLG1	PPI
UBE2M	PPI
NAE1	PPI
NEDD8	PPI
PEX5	PPI
TBATA	PPI
NIPAL4	PPI
RPE65	PPI
GPR143	PPI
UBE2R2	PPI
ECH1	PPI
CDC34	PPI
ACSL4	PPI
PEX5L	PPI
ACSL3	PPI
BRCA1	PPI
ESR1	PPI
STAT3	PPI
CUL1	PPI
CUL3	PPI
TNNI3K	PPI
PHLPP2	PPI
AUP1	PPI
SQSTM1	PPI
HAT1	PPI
CUL5	PPI
LRRK2	PPI
UBE2F	PPI
CALML5	PPI
CALML6	PPI
GRID2	PPI
CALML3	PPI
CALM1	PPI
FBXL18	PPI
TERT	PPI
PRKCE	PPI
TOPBP1	PPI
TRAF1	PPI
MAPK3	PPI
FASTKD3	PPI
YBX1	PPI
LSM7	PPI
RAB1A	PPI
MEX3C	PPI
SIRT4	PPI
FBXO11	PPI
CAPN1	PPI
HSD17B10	PPI
TP53	PPI
RAD23A	PPI
RBX1	PPI
SKP1	PPI
GRB2	PPI
E2F3	PPI
GLP1R	PPI
RAD23B	PPI
LRRK1	PPI
UCHL5	PPI
NEURL4	PPI
CD247	PPI
HERC2	PPI
ALDOA	PPI
ALDOB	PPI
NPEPPS	PPI
TRIM63	PPI
YWHAZ	PPI
SKI	PPI
YWHAQ	PPI
YWHAB	PPI
VCAM1	PPI
SMURF2	PPI
TYSND1	PPI
SMAD6	PPI
ATL1	PPI
HGS	PPI
TRAPPC3L	PPI
TRAPPC3	PPI
SCP2	PPI
HSD17B4	PPI
LONP2	PPI
DUX1	PPI
ATL3	PPI
ATL2	PPI
CMTM5	PPI
ARL6IP1	PPI
DLG4	PPI
FERMT1	PPI
MAPK1	PPI
GRK5	PPI
IFRD2	PPI
CYHR1	PPI
FERMT3	PPI
SLC26A11	PPI
OSR1	PPI
FERMT2	PPI
GTPBP2	PPI
ING2	PPI
IFRD1	PPI
ICT1	PPI
LEO1	PPI
RTF1	PPI
ADRB2	PPI
PSMA3	PPI
PTTG1	PPI
DLC1	PPI
PSMC2	PPI
TAF12	PPI
PARK7	PPI
ING1	PPI
HMGA2	PPI
VCL	PPI
HSPB2	PPI
RAB21	PPI
ABCE1	PPI
ERLEC1	PPI
UBE2V1	PPI
SLC2A4	PPI
OTUB1	PPI
UBE2I	PPI
TAF1	PPI
LAMTOR5	PPI
SGCG	PPI
UBXN4	PPI
UBA1	PPI
UBE2N	PPI
SUMO1	PPI
GRAP	PPI
BAG3	PPI
SMN1	PPI
PAN2	PPI
EGFR	PPI
ATF2	PPI
HSPA1A	PPI
HSPA1B	PPI
HSPA8	PPI
HSPA6	PPI
HSPA1L	PPI
HSPA2	PPI
YPEL5	PPI
PARK2	PPI
PRKAA2	PPI
PSMD14	PPI
FAF2	PPI
CLK1	PPI
NEDD4L	PPI
SUMO3	PPI
KDM1A	PPI
FBXO6	PPI
DNAJA1	PPI
DNAJA4	PPI
TFCP2L1	PPI
UBP1	PPI
POU5F1	PPI
POU5F1B	PPI
TFCP2	PPI
COMTD1	PPI
AMOTL2	PPI
ITGA4	PPI
TINF2	PPI
KCNMA1	PPI
DHDDS	PPI
LIPA	PPI
LSS	PPI
MCM2	PPI
NF2	PPI
HIST1H2BC	PPI
ATXN1L	PPI
TERF1	PPI
PHYHIPL	PPI
POT1	PPI
NFKB2	PPI
MAP3K1	PPI
KSR1	PPI
PPP6R1	PPI
RIPK2	PPI
AGPAT1	PPI
AGPAT2	PPI
HSD17B7	PPI
CREB3	PPI
C2ORF47	PPI
HIST2H2AC	PPI
HIST2H2AA3	PPI
HIST3H2A	PPI
HIST2H2AB	PPI
HIST1H2AC	PPI
HIST1H2AH	PPI
HIST1H2AA	PPI
HIST1H2AJ	PPI
H2AFJ	PPI
PSMD3	PPI
HIST1H2AB	PPI
HIST1H2AG	PPI
H2AFB1	PPI
H2AFB2	PPI
H2AFX	PPI
HIST1H2AD	PPI
UBA5	PPI
SUMO2	PPI
ATXN1	PPI
IDE	PPI
MCCC1	PPI
USP20	PPI
COQ9	PPI
NDUFS3	PPI
IQCB1	PPI
MED4	PPI
MED23	PPI
CSNK2A2	PPI
RPGRIP1L	PPI
NPHP4	PPI
WDR5B	PPI
UTP3	PPI
UIMC1	PPI
CAMK4	PPI
PNCK	PPI
CAMK1D	PPI
