gene	node_type
ALDH2	gene
ALDH3A2	gene
ALDH1B1	gene
ADH5	gene
ADH1A	gene
ADH4	gene
ADH1B	gene
ADH1C	gene
ADH6	gene
ADH7	gene
UBC	PPI
HSPD1	PPI
PSMD14	PPI
HSPE1	PPI
SIRT3	PPI
PRDX2	PPI
PRDX4	PPI
MDH2	PPI
SUMO4	PPI
SUMO3	PPI
SUMO1	PPI
FDXR	PPI
FHIT	PPI
ETFB	PPI
PRKAA2	PPI
PRKAR1A	PPI
PRKAR2A	PPI
PRKAR1B	PPI
PRKAR2B	PPI
FBXL12	PPI
NPEPPS	PPI
SUMO2	PPI
CDC14A	PPI
CDC14B	PPI
SRP54	PPI
CNBP	PPI
ZCCHC13	PPI
MYH7	PPI
MYH14	PPI
MYH15	PPI
MYH4	PPI
MYH7B	PPI
MYH1	PPI
MYH3	PPI
MYH8	PPI
PPP2R1B	PPI
MYH10	PPI
MYH11	PPI
HNRNPK	PPI
MYH2	PPI
MYH13	PPI
PLAA	PPI
RDH12	PPI
PPP2R1A	PPI
MYH9	PPI
PGD	PPI
RPF2	PPI
SIRT4	PPI
MME	PPI
COX5B	PPI
CSNK1D	PPI
SNTA1	PPI
RAB1A	PPI
YWHAE	PPI
PSMC3	PPI
HSD17B10	PPI
TUBB	PPI
PSMD4	PPI
TUBB4B	PPI
PSMD2	PPI
TUBB3	PPI
TUBB2A	PPI
TUBB8	PPI
TUBB6	PPI
TUBB2B	PPI
TUBB1	PPI
TUBB4A	PPI
MMS19	PPI
EXOSC10	PPI
DDX6	PPI
BTRC	PPI
NELFB	PPI
HSPA2	PPI
HSPA1B	PPI
HSPA6	PPI
HSPA1A	PPI
HSPA8	PPI
DLG4	PPI
AIM2	PPI
EGFR	PPI
LMNA	PPI
ICT1	PPI
ALDH1A1	PPI
PRPF40B	PPI
STAG2	PPI
MARCH6	PPI
PRPF40A	PPI
ENO2	PPI
ENO3	PPI
CBS	PPI
RAB35	PPI
HSPB2	PPI
RAB33B	PPI
RAB21	PPI
RAB19	PPI
TNPO2	PPI
MYC	PPI
TPR	PPI
SLC2A4	PPI
RAB3A	PPI
RAB6A	PPI
CCT8	PPI
EIF6	PPI
USP10	PPI
TNPO1	PPI
ACSS1	PPI
XPO1	PPI
ALDH1A2	PPI
FAF2	PPI
HSPA1L	PPI
ACSS2	PPI
SLC25A5	PPI
BPGM	PPI
SLC25A4	PPI
SLC25A6	PPI
EEF2	PPI
PGAM2	PPI
PGAM1	PPI
DNAJB1	PPI
CAD	PPI
MAT2A	PPI
DNAJA1	PPI
HSPA9	PPI
CCT6A	PPI
CSNK1A1	PPI
IDH3A	PPI
DNAJB13	PPI
EIF4A1	PPI
RAN	PPI
EEF1A1	PPI
TUBA1B	PPI
CCT2	PPI
MAT1A	PPI
EEF1A2	PPI
GFPT1	PPI
TUBA3C	PPI
EIF4A2	PPI
TUBA3E	PPI
PGAM4	PPI
IPO4	PPI
DNAJA4	PPI
CCT6B	PPI
SLC25A31	PPI
TUBA8	PPI
DNAJB4	PPI
RUVBL2	PPI
GMPPB	PPI
TUBAL3	PPI
DNAJA2	PPI
CLUH	PPI
DNAJB5	PPI
GFPT2	PPI
CALM1	PPI
IFT27	PPI
UBD	PPI
TUBA4A	PPI
TP63	PPI
TP73	PPI
TP53	PPI
CSNK1E	PPI
CLTCL1	PPI
CLTC	PPI
TUBA1A	PPI
HSPH1	PPI
HSPA4L	PPI
GNB1	PPI
NEDD8	PPI
XRN2	PPI
FBXO6	PPI
CALML5	PPI
LSM1	PPI
HACD2	PPI
PIGM	PPI
PPP6R1	PPI
HACD1	PPI
PPP6R2	PPI
HDAC1	PPI
USP50	PPI
ASF1B	PPI
ASF1A	PPI
ASS1	PPI
ATP6V0D2	PPI
ATP6V0B	PPI
ENTPD5	PPI
HUWE1	PPI
MAP1LC3A	PPI
PQLC1	PPI
RPAIN	PPI
ATP6V0D1	PPI
GTF2B	PPI
FAM45A	PPI
UBA5	PPI
GABARAPL1	PPI
GABARAPL2	PPI
MAD2L2	PPI
GABARAP	PPI
MAP1LC3B	PPI
ECT2	PPI
FBL	PPI
NOP2	PPI
CHD3	PPI
PDCD11	PPI
NOC3L	PPI
DDX24	PPI
DDX18	PPI
DRG1	PPI
NOC2L	PPI
HNF1A	PPI
HADH	PPI
ONECUT1	PPI
SERPINA3	PPI
PDE4DIP	PPI
IRAK3	PPI
TNIP1	PPI
RASSF5	PPI
ANKRD17	PPI
RSL1D1	PPI
ENO1	PPI
CSE1L	PPI
ITGB3BP	PPI
UNC119	PPI
CRMP1	PPI
CYP51A1	PPI
MAEA	PPI
NUP93	PPI
SLC35F6	PPI
IGSF21	PPI
C14ORF1	PPI
NTRK1	PPI
NAP1L1	PPI
EVC2	PPI
CEP19	PPI
TMEM237	PPI
NAP1L4	PPI
NAP1L2	PPI
RCC1	PPI
FN1	PPI
FABP2	PPI
ARNT	PPI
CSNK2B	PPI
