gene	node_type
LOC51064	gene
GSTM3	gene
GSTMU3	gene
GSTM5	gene
GSTK1	gene
GSTM4	gene
GSTM2	gene
GSTA1	gene
GSTA3	gene
GSTM1	gene
GSTA5	gene
GSTT4	gene
GSTP1	gene
GSTT2B	gene
GSTA2	gene
GSTT2	gene
GSTA4	gene
GSTT1	gene
LANCL1	gene
MGST2	gene
MGST3	gene
MGST1	gene
CYP1A1	gene
CYP2D6	gene
CYP2B6	gene
CYP2C	gene
CYP1B1	gene
CYP19A1	gene
CYP4F8	gene
CYP2C18	gene
CYP2A7	gene
CYP4X1	gene
CYP4Z1	gene
CYP2D7	gene
CYP2S1	gene
CYP4F12	gene
CYP2C8	gene
CYP1A2	gene
CYP4B1	gene
CYP3A5	gene
CYP3A7	gene
CYP2U1	gene
CYP3A43	gene
CYP2F1	gene
CYP2A13	gene
UGT1A9	gene
UGT1A5	gene
BILIQTL1	gene
UGT3A1	gene
UGT1A8	gene
UGT1A3	gene
UGT1A1	gene
UGT1A6	gene
UGT1A7	gene
UGT1A4	gene
UGT2A1	gene
UGT2B15	gene
UGT2B7	gene
UGT1A10	gene
UGT2B4	gene
UGT2B11	gene
UGT2B17	gene
UGT2A3	gene
UGT3A2	gene
UGT2B10	gene
UGT2B28	gene
EPHX3	gene
SULT1A2	gene
SULT1A3	gene
SULT1A4	gene
SULT1A1	gene
ADH5	gene
ADH1A	gene
ADH4	gene
ADH1B	gene
ADH1C	gene
ADH6	gene
ADH7	gene
ALDH1A3	gene
ALDH3A1	gene
ALDH3B1	gene
ALDH3B2	gene
EPHX1	gene
GSTMU3	PPI
MPG	PPI
HLA-C	PPI
PSEN1	PPI
HMGA2	PPI
SUMO2	PPI
YWHAG	PPI
GRB2	PPI
GSTO1	PPI
ECT2L	PPI
YWHAH	PPI
RBL2	PPI
PAK2	PPI
SLBP	PPI
PLS1	PPI
GSTCD	PPI
HNRNPLL	PPI
FAM120B	PPI
PPP1R13B	PPI
HSD17B10	PPI
SH3GL2	PPI
GNB1L	PPI
ATG5	PPI
GSTO2	PPI
MOV10	PPI
LANCL2	PPI
KLHL42	PPI
NXF1	PPI
TPX2	PPI
TRAF6	PPI
UCHL5	PPI
GSTZ1	PPI
BAG3	PPI
GH1	PPI
ESR1	PPI
ENO1	PPI
UBC	PPI
TFE3	PPI
HSPA2	PPI
ACTB	PPI
ACTG1	PPI
CCT2	PPI
KCNMA1	PPI
ARFGAP1	PPI
MAP3K5	PPI
AMOTL2	PPI
ERLIN2	PPI
ATP5B	PPI
TUBB	PPI
HSPA8	PPI
SLC2A4	PPI
PPP1CC	PPI
SRPRB	PPI
GTF3C3	PPI
COPG1	PPI
IGF2BP2	PPI
TIMM23	PPI
