gene	node_type
PGM1	gene
GCK	gene
PGM1	PPI
GCK	PPI
BAD	PPI
WASF1	PPI
BRMS1	PPI
PRKACA	PPI
GCKR	PPI
GM5601	PPI
BCL2L1	PPI
BCL2	PPI
AKT1	PPI
PRKAR2B	PPI
YWHAQ	PPI
BAG1	PPI
BRAF	PPI
PRKAR1A	PPI
BCL2L2	PPI
BCL2L2	PPI
YWHAG	PPI
HSPA1B	PPI
PPP2R1A	PPI
PPP1CA	PPI
SOD2	PPI
FAS	PPI
YWHAB	PPI
BAK1	PPI
HIF3A	PPI
TNF	PPI
MAPT	PPI
PKIA	PPI
PPP1R42	PPI
PFN2	PPI
PRPF40A	PPI
BAIAP2	PPI
IRF8	PPI
NCKAP1	PPI
DLGAP1	PPI
PIK3R1	PPI
LNX1	PPI
SHANK3	PPI
NYAP2	PPI
PCDH10	PPI
NYAP1	PPI
AGAP2	PPI
CYFIP1	PPI
NANOG	PPI
ANKRD1	PPI
HDAC1	PPI
ATF4	PPI
PRZ1	PPI
GRIN2B	PPI
MAF1	PPI
PDE3A	PPI
MROH2B	PPI
EVL	PPI
MYBPC3	PPI
PNPLA2	PPI
TRPV1	PPI
ERN1	PPI
GPB2	PPI
LIPE	PPI
IGBP1	PPI
LRRK2	PPI
RSBN1	PPI
LASP1	PPI
GRF2	PPI
BDP1	PPI
MBP	PPI
SIK1	PPI
GSK3B	PPI
AKAP3	PPI
CREB1	PPI
LASP1	PPI
ASCL4	PPI
GRIN1	PPI
SOX9	PPI
PRKAR1B	PPI
ADRB1	PPI
SRC	PPI
EIF4EBP2	PPI
RAF1	PPI
FSCB	PPI
GSK3B	PPI
GFPT2	PPI
STAU1	PPI
PPP1R9A	PPI
CALM1	PPI
EIF2A	PPI
CDC34	PPI
CYCS	PPI
WBP11	PPI
EED	PPI
CDKN2A	PPI
CDK1	PPI
CCND3	PPI
SKP1A	PPI
ESR1	PPI
TRP53	PPI
TSG101	PPI
SH3KBP1	PPI
PRKACB	PPI
SPZ1	PPI
PPP1R9B	PPI
DLG3	PPI
YWHAZ	PPI
RB1	PPI
CCND1	PPI
MAX	PPI
BAX	PPI
GSK3A	PPI
EIF2S1	PPI
URI1	PPI
POU5F1	PPI
CDK2	PPI
CCNB1	PPI
PCNA	PPI
CDK4	PPI
STX1A	PPI
