gene1	gene	score
Mpi	Ankrd1	0.111111111111111
Gmppb	Ikbkb	0.111111111111111
Ikbkb	Ikbkg	0.0864197530864198
Ikbkb	Ikbkg	0.0493827160493827
Ikbkb	NFKBIA	0.037037037037037
Ikbkb	Nfkbia	0.037037037037037
Ikbkb	Nfkbib	0.0246913580246914
Ikbkb	Akt1	0.0246913580246914
Ikbkb	Trappc9	0.0246913580246914
Ikbkb	Map3k7	0.0246913580246914
Ikbkb	Tnfrsf1a	0.0246913580246914
Ankrd1	TTN	0.0123456790123457
Ankrd1	Ankrd2	0.0123456790123457
Ankrd1	Ewsr1	0.0123456790123457
Ankrd1	Rpl13	0.0123456790123457
Ankrd1	CAPN3	0.0123456790123457
Ankrd1	Brms1	0.0123456790123457
Ankrd1	Fth1	0.0123456790123457
Ankrd1	Agtr1a	0.0123456790123457
Ankrd1	Mb	0.0123456790123457
Ankrd1	Myf6	0.0123456790123457
Ankrd1	Tnnt3	0.0123456790123457
Ankrd1	Xirp2	0.0123456790123457
Ankrd1	Capn3	0.0123456790123457
Ankrd1	Slain2	0.0123456790123457
Ankrd1	Nfkb1	0.0123456790123457
Ankrd1	Setd6	0.0123456790123457
Ankrd1	Ncl	0.0123456790123457
Ankrd1	Mpi	0.0123456790123457
Ankrd1	Cav3	0.0123456790123457
Ankrd1	Krt4	0.0123456790123457
Ankrd1	Cpd	0.0123456790123457
Ankrd1	Des	0.0123456790123457
Ankrd1	Rps20	0.0123456790123457
Ankrd1	Gapdh	0.0123456790123457
Ankrd1	Eif3d	0.0123456790123457
Ankrd1	Lce3f	0.0123456790123457
Ankrd1	Eif5	0.0123456790123457
Ankrd1	Actn1	0.0123456790123457
Ankrd1	Ttn	0.0123456790123457
Ankrd1	Thbd	0.0123456790123457
Ikbkb	Reg1	0.0123456790123457
Ikbkb	Rbck1	0.0123456790123457
Ikbkb	Cd40	0.0123456790123457
Ikbkb	Nfkbib	0.0123456790123457
Ikbkb	Ikbkg	0.0123456790123457
Ikbkb	Chuk	0.0123456790123457
Ikbkb	Cuedc2	0.0123456790123457
Ikbkb	Ikbkb	0.0123456790123457
Ikbkb	Sash1	0.0123456790123457
Ikbkb	IKBKG	0.0123456790123457
Ikbkb	Ubc	0.0123456790123457
Ikbkb	Rhoa	0.0123456790123457
Ikbkb	ACVR1	0.0123456790123457
Ikbkb	Rps6ka2	0.0123456790123457
Ikbkb	Casp8	0.0123456790123457
Ikbkb	Ptpn11	0.0123456790123457
Ikbkb	Sdc3	0.0123456790123457
Ikbkb	Snap23	0.0123456790123457
Ikbkb	Smn1	0.0123456790123457
Ikbkb	TGFBR1	0.0123456790123457
Ikbkb	Btrc	0.0123456790123457
Ikbkb	Rnf31	0.0123456790123457
Ikbkb	TRAF2	0.0123456790123457
Ikbkb	Tnfrsf4	0.0123456790123457
Ikbkb	Rack1	0.0123456790123457
Ikbkb	Prkcq	0.0123456790123457
Ikbkb	Gsta3	0.0123456790123457
Ikbkb	Klhl21	0.0123456790123457
Ikbkb	Terf2ip	0.0123456790123457
Ikbkb	Utp3	0.0123456790123457
Ikbkb	Nagk	0.0123456790123457
Ikbkb	Scnn1b	0.0123456790123457
Ikbkb	Irf7	0.0123456790123457
Ikbkb	Bzw2	0.0123456790123457
Ikbkb	Keap1	0.0123456790123457
Ikbkb	Tnfrsf1a	0.0123456790123457
Ikbkb	Hes1	0.0123456790123457
Ikbkb	Snx1	0.0123456790123457
Ikbkb	Nme2	0.0123456790123457
Ikbkb	Ppp2r1a	0.0123456790123457
Ikbkb	Rassf2	0.0123456790123457
Ikbkb	Nkx3-2	0.0123456790123457
Ikbkb	Gtf2e2	0.0123456790123457
Ikbkb	Tab1	0.0123456790123457
Ikbkb	Gmppb	0.0123456790123457
Ikbkb	Optn	0.0123456790123457
Ikbkb	Ctnna1	0.0123456790123457
