gene1	gene	score
Bbox1	Zfp322a	0.111111111111111
Zfp322a	Pou5f1	0.0246913580246914
Zfp322a	Tmprss9	0.0123456790123457
Zfp322a	Pafah1b1	0.0123456790123457
Zfp322a	Kctd16	0.0123456790123457
Zfp322a	Bbox1	0.0123456790123457
Zfp322a	Nanog	0.0123456790123457
Zfp322a	Zfp982	0.0123456790123457
Zfp322a	Zfp322a	0.0123456790123457
Zfp322a	Hsd11b1	0.0123456790123457
Zfp322a	Gria1	0.0123456790123457
Zfp322a	Tmem125	0.0123456790123457
Zfp322a	Prcc	0.0123456790123457
Zfp322a	Cdk8	0.0123456790123457
Zfp322a	Zscan10	0.0123456790123457
Zfp322a	Pgk1	0.0123456790123457
Zfp322a	Cadps	0.0123456790123457
Zfp322a	Fam46c	0.0123456790123457
Zfp322a	Ino80d	0.0123456790123457
Zfp322a	Hs6st3	0.0123456790123457
Zfp322a	Plxnc1	0.0123456790123457
Zfp322a	Ispd	0.0123456790123457
Zfp322a	Sfi1	0.0123456790123457
Zfp322a	Rnf7	0.0123456790123457
Zfp322a	Ppp2r2b	0.0123456790123457
Zfp322a	Zc3h7a	0.0123456790123457
Zfp322a	Gm525	0.0123456790123457
Zfp322a	Immp2l	0.0123456790123457
Zfp322a	Sall4	0.0123456790123457
Zfp322a	Kdelr1	0.0123456790123457
Zfp322a	Eif4enif1	0.0123456790123457
Zfp322a	Usp6nl	0.0123456790123457
Zfp322a	Clk3	0.0123456790123457
Zfp322a	Wnt7b	0.0123456790123457
Zfp322a	Cdk5rap2	0.0123456790123457
Zfp322a	Patz1	0.0123456790123457
Zfp322a	Mid1	0.0123456790123457
Zfp322a	Tex21	0.0123456790123457
Zfp322a	Hectd1	0.0123456790123457
Zfp322a	Pde1c	0.0123456790123457
Zfp322a	Litaf	0.0123456790123457
Zfp322a	Sulf2	0.0123456790123457
Zfp322a	Myo3a	0.0123456790123457
Zfp322a	Mdga2	0.0123456790123457
Zfp322a	Mcm10	0.0123456790123457
Zfp322a	Vcp	0.0123456790123457
Zfp322a	Lrp1b	0.0123456790123457
Zfp322a	Rims1	0.0123456790123457
Zfp322a	Lars2	0.0123456790123457
Zfp322a	Zfx	0.0123456790123457
Zfp322a	Map2k6	0.0123456790123457
Zfp322a	Dlgap2	0.0123456790123457
Zfp322a	Pkd1	0.0123456790123457
Zfp322a	Trhde	0.0123456790123457
Zfp322a	H13	0.0123456790123457
Zfp322a	Nalcn	0.0123456790123457
Zfp322a	Dopey2	0.0123456790123457
Zfp322a	Greb1	0.0123456790123457
Zfp322a	Bard1	0.0123456790123457
Zfp322a	Ppp1r9a	0.0123456790123457
Zfp322a	Abhd6	0.0123456790123457
Zfp322a	Ros1	0.0123456790123457
Zfp322a	Socs6	0.0123456790123457
Zfp322a	Pcbp2	0.0123456790123457
Zfp322a	Filip1l	0.0123456790123457
Zfp322a	Tfap4	0.0123456790123457
Zfp322a	Tcp10a	0.0123456790123457
Zfp322a	Atxn7l3b	0.0123456790123457
Zfp322a	Psmd3	0.0123456790123457
Zfp322a	Kcnh1	0.0123456790123457
Zfp322a	Lama1	0.0123456790123457
Zfp322a	Sorcs1	0.0123456790123457
Zfp322a	Ror2	0.0123456790123457
Zfp322a	Wwox	0.0123456790123457
Zfp322a	Smo	0.0123456790123457
Zfp322a	Ptprm	0.0123456790123457
Zfp322a	Kif26b	0.0123456790123457
Zfp322a	Nedd4l	0.0123456790123457
Zfp322a	Dis3l	0.0123456790123457
