gene1	gene	score
Tyr	Rab5a	0.111111111111111
Tyr	Rab8a	0.111111111111111
Tyr	Tfrc	0.111111111111111
Tyr	Tyr	0.111111111111111
Tyr	Canx	0.111111111111111
Tyr	Rab6a	0.111111111111111
Tyr	Tyrp1	0.111111111111111
Tyr	Rab27a	0.111111111111111
Rab27a	Mlph	0.0617283950617284
Rab27a	Sytl4	0.0493827160493827
Rab27a	Rph3a	0.0493827160493827
Rab8a	Rph3a	0.037037037037037
Rab27a	Sytl2	0.037037037037037
Rab6a	Dennd5a	0.0246913580246914
Rab6a	Gdi2	0.0246913580246914
Rab27a	Sytl5	0.0246913580246914
Rab27a	Sytl3	0.0246913580246914
Rab27a	Sytl1	0.0246913580246914
Rab27a	Myo5a	0.0246913580246914
Rab27a	Mlph	0.0246913580246914
Rab5a	Lmna	0.0123456790123457
Rab5a	Rab5b	0.0123456790123457
Rab5a	Eed	0.0123456790123457
Rab5a	Tyr	0.0123456790123457
Rab5a	Eea1	0.0123456790123457
Rab5a	Rbsn	0.0123456790123457
Rab5a	Rab34	0.0123456790123457
Rab5a	Rab5c	0.0123456790123457
Rab8a	Rph3al	0.0123456790123457
Rab8a	Sytl4	0.0123456790123457
Rab8a	SYTL4	0.0123456790123457
Rab8a	RAB8A	0.0123456790123457
Rab8a	Rab10	0.0123456790123457
Rab8a	Rab8b	0.0123456790123457
Rab8a	Mical1	0.0123456790123457
Rab8a	Snca	0.0123456790123457
Rab8a	Rab13	0.0123456790123457
Rab8a	Micall2	0.0123456790123457
Rab8a	Rims2	0.0123456790123457
Rab8a	MICALL2	0.0123456790123457
Rab8a	Tyr	0.0123456790123457
Rab8a	Dzip1	0.0123456790123457
Rab8a	Rab35	0.0123456790123457
Rab8a	Rab1b	0.0123456790123457
Rab8a	Micall1	0.0123456790123457
Tfrc	Hfe	0.0123456790123457
Tfrc	Vps35	0.0123456790123457
Tfrc	Tyr	0.0123456790123457
Tfrc	Iqcb1	0.0123456790123457
Tfrc	Nphs2	0.0123456790123457
Tyr	Rab5a	0.0123456790123457
Tyr	Rab8a	0.0123456790123457
Tyr	Tfrc	0.0123456790123457
Tyr	Tyr	0.0123456790123457
Tyr	Canx	0.0123456790123457
Tyr	Rab6a	0.0123456790123457
Tyr	Tyrp1	0.0123456790123457
Tyr	Rab27a	0.0123456790123457
Canx	Bax	0.0123456790123457
Canx	Ubc	0.0123456790123457
Canx	Canx	0.0123456790123457
Canx	Lipc	0.0123456790123457
Canx	Pla2g2a	0.0123456790123457
Canx	Sgip1	0.0123456790123457
Canx	Chrna1	0.0123456790123457
Canx	Chrnd	0.0123456790123457
Canx	Rer1	0.0123456790123457
Canx	Mep1a	0.0123456790123457
Canx	Tnfrsf1a	0.0123456790123457
Canx	Hmox1	0.0123456790123457
Canx	Chrnb1	0.0123456790123457
Canx	Tyr	0.0123456790123457
Rab6a	Erc1	0.0123456790123457
Rab6a	Bicd2	0.0123456790123457
Rab6a	Rabac1	0.0123456790123457
Rab6a	Bicdl1	0.0123456790123457
Rab6a	Gdi1	0.0123456790123457
Rab6a	Tyr	0.0123456790123457
Tyrp1	Tyrp1	0.0123456790123457
Tyrp1	Tyr	0.0123456790123457
Rab27a	MYRIP	0.0123456790123457
Rab27a	MLPH	0.0123456790123457
Rab27a	Rab27b	0.0123456790123457
Rab27a	Rph3al	0.0123456790123457
Rab27a	SYTL2	0.0123456790123457
Rab27a	Myrip	0.0123456790123457
Rab27a	Tyr	0.0123456790123457
Rab27a	SYTL5	0.0123456790123457
Rab27a	Exph5	0.0123456790123457
Rab27a	Unc13d	0.0123456790123457
