gene1	gene	score
Gnpnat1	TRIM16	0.111111111111111
Gnpnat1	BAG1	0.111111111111111
Gnpnat1	ITGA1	0.111111111111111
Gnpnat1	TNRC18	0.111111111111111
Gnpnat1	Ryr1	0.111111111111111
Ryr1	Fkbp1a	0.0246913580246914
TRIM16	Gnpnat1	0.0123456790123457
TRIM16	Rhoa	0.0123456790123457
TRIM16	Sidt2	0.0123456790123457
BAG1	C1qbp	0.0123456790123457
BAG1	Set	0.0123456790123457
BAG1	Gnpnat1	0.0123456790123457
BAG1	Hacd3	0.0123456790123457
BAG1	Usp19	0.0123456790123457
BAG1	Cep72	0.0123456790123457
ITGA1	Fabp3	0.0123456790123457
ITGA1	Magoh	0.0123456790123457
ITGA1	Csnk1d	0.0123456790123457
ITGA1	Gnpnat1	0.0123456790123457
ITGA1	Itgb1	0.0123456790123457
TNRC18	Kif20a	0.0123456790123457
TNRC18	Gnpnat1	0.0123456790123457
TNRC18	Cxxc5	0.0123456790123457
Ryr1	Rrm2	0.0123456790123457
Ryr1	Nme2	0.0123456790123457
Ryr1	Rcn2	0.0123456790123457
Ryr1	Slc30a4	0.0123456790123457
Ryr1	Rnf138	0.0123456790123457
Ryr1	Pdk2	0.0123456790123457
Ryr1	Hint2	0.0123456790123457
Ryr1	Gnpnat1	0.0123456790123457
Ryr1	Afg3l1	0.0123456790123457
Ryr1	Capn3	0.0123456790123457
Ryr1	Egr2	0.0123456790123457
Ryr1	Coa3	0.0123456790123457
Ryr1	Sp3	0.0123456790123457
Ryr1	Bin1	0.0123456790123457
Ryr1	Ryr1	0.0123456790123457
Ryr1	Cript	0.0123456790123457
Ryr1	Caml	0.0123456790123457
Ryr1	Adam23	0.0123456790123457
Ryr1	Dnm2	0.0123456790123457
Ryr1	Ptn	0.0123456790123457
Ryr1	Mtm1	0.0123456790123457
Ryr1	H2afz	0.0123456790123457
Ryr1	Cdip1	0.0123456790123457
Ryr1	Luc7l2	0.0123456790123457
