gene1	gene	score
Dld	HSD17B10	0.111111111111111
Dld	Kcnma1	0.111111111111111
Dld	Hspb2	0.111111111111111
Dld	Htt	0.111111111111111
Dld	Nphs2	0.111111111111111
Dhtkd1	HSD17B10	0.111111111111111
Ogdh	HSD17B10	0.111111111111111
Ogdh	Hspb2	0.111111111111111
Dlst	HSD17B10	0.111111111111111
Dlst	Htt	0.111111111111111
Dlst	Hspb2	0.111111111111111
Nphs2	Trpc6	0.037037037037037
Kcnma1	Hspa8	0.0246913580246914
Htt	Htt	0.0246913580246914
Htt	Ubc	0.0246913580246914
Htt	Hspa1b	0.0246913580246914
Htt	Dnaja1	0.0246913580246914
Htt	Hsp90ab1	0.0246913580246914
Htt	Sqstm1	0.0246913580246914
Htt	Dnajb1	0.0246913580246914
Nphs2	Nphs1	0.0246913580246914
Nphs2	NPHS1	0.0246913580246914
HSD17B10	Pgk1	0.0123456790123457
HSD17B10	Dld	0.0123456790123457
HSD17B10	Hspb2	0.0123456790123457
HSD17B10	Alad	0.0123456790123457
HSD17B10	Rpl35	0.0123456790123457
HSD17B10	Dlat	0.0123456790123457
HSD17B10	Naa11	0.0123456790123457
HSD17B10	Cubn	0.0123456790123457
HSD17B10	Sugct	0.0123456790123457
HSD17B10	Arg2	0.0123456790123457
HSD17B10	Lrp2	0.0123456790123457
HSD17B10	Dpysl2	0.0123456790123457
HSD17B10	Cs	0.0123456790123457
HSD17B10	Pcca	0.0123456790123457
HSD17B10	Acsm2	0.0123456790123457
HSD17B10	Atp6v0e	0.0123456790123457
HSD17B10	Dhtkd1	0.0123456790123457
HSD17B10	Htt	0.0123456790123457
HSD17B10	Atp6v0c	0.0123456790123457
HSD17B10	Ckb	0.0123456790123457
HSD17B10	Pdhb	0.0123456790123457
HSD17B10	Fabp1	0.0123456790123457
HSD17B10	Mdh1	0.0123456790123457
HSD17B10	Suclg1	0.0123456790123457
HSD17B10	Cox5a	0.0123456790123457
HSD17B10	Cpt2	0.0123456790123457
HSD17B10	Fh1	0.0123456790123457
HSD17B10	Sdha	0.0123456790123457
HSD17B10	Cat	0.0123456790123457
HSD17B10	Ndufa7	0.0123456790123457
HSD17B10	Pdha2	0.0123456790123457
HSD17B10	Aspg	0.0123456790123457
HSD17B10	Acy1	0.0123456790123457
HSD17B10	Gsta4	0.0123456790123457
HSD17B10	Aldoc	0.0123456790123457
HSD17B10	Pdhx	0.0123456790123457
HSD17B10	Atp6v1f	0.0123456790123457
HSD17B10	Ass1	0.0123456790123457
HSD17B10	Prdx2	0.0123456790123457
HSD17B10	Psmb5	0.0123456790123457
HSD17B10	Asl	0.0123456790123457
HSD17B10	Gpi1	0.0123456790123457
HSD17B10	Etfb	0.0123456790123457
HSD17B10	Acox1	0.0123456790123457
HSD17B10	Ogdh	0.0123456790123457
HSD17B10	Acnat1	0.0123456790123457
HSD17B10	Pgam2	0.0123456790123457
HSD17B10	Ndufs2	0.0123456790123457
HSD17B10	Fah	0.0123456790123457
HSD17B10	Glul	0.0123456790123457
HSD17B10	Gstm2	0.0123456790123457
HSD17B10	Hspd1	0.0123456790123457
HSD17B10	Acads	0.0123456790123457
