gene	node_type
PIK3C2A	gene
PIK3C2G	gene
PIK3CD	gene
PIK3CB	gene
PIK3CG	gene
PIK3CA	gene
PI4K2A	gene
PI4K2B	gene
PI4KA	gene
PI4KB	gene
PIKFYVE	gene
CDIPT	gene
PIP5K1C	gene
PIP5KL1	gene
PIP5K1B	gene
PIP5K1A	gene
PIK3C3	gene
PIK3C2A	PPI
PIK3C2G	PPI
PIK3CD	PPI
PIK3CB	PPI
PIK3CG	PPI
PIK3CA	PPI
PI4K2A	PPI
PI4K2B	PPI
PI4KA	PPI
PI4KB	PPI
PIKFYVE	PPI
CDIPT	PPI
PIP5K1C	PPI
PIP5KL1	PPI
PIP5K1B	PPI
PIP5K1A	PPI
PIK3C3	PPI
NULL	PPI
EED	PPI
GSN	PPI
SRC	PPI
KRAS	PPI
HRAS	PPI
RRAS	PPI
PIK3R1	PPI
ERAS	PPI
PIK3R1	PPI
RRAS2	PPI
GAB2	PPI
PTK2B	PPI
DIRAS1	PPI
IRS1	PPI
NBN	PPI
TAL1	PPI
ERP29	PPI
EXOSC5	PPI
CDC42	PPI
CRK	PPI
RHOG	PPI
RAD17	PPI
PCNA	PPI
DIRAS2	PPI
RAC1	PPI
PIK3R3	PPI
PIK3R6	PPI
PIK3R5	PPI
LCK	PPI
GRK2	PPI
FLT1	PPI
CXCR4	PPI
ZAP70	PPI
WIPF1	PPI
CBL	PPI
GNA11	PPI
PDE3B	PPI
SIRPA	PPI
LDHA	PPI
MED21	PPI
CTNNB1	PPI
KRAS	PPI
CSK	PPI
EIF2AK1	PPI
ANAPC7	PPI
NRAS	PPI
HRAS	PPI
KIT	PPI
FBXO32	PPI
YWHAG	PPI
MRAS	PPI
CRKL	PPI
UBC	PPI
AP3D1	PPI
WWP1	PPI
TOM1	PPI
MYOF	PPI
NEDD4	PPI
USP15	PPI
ITCH	PPI
UBC	PPI
NEDD4	PPI
SH3GL2	PPI
SH3GL1	PPI
AP3B2	PPI
AP3B1	PPI
SNX9	PPI
CALM1	PPI
EFR3B	PPI
SYNGAP1	PPI
TTC7B	PPI
NPHP4	PPI
SPAG9	PPI
FOXA1	PPI
TLN1	PPI
PTK2	PPI
AP2A1	PPI
AP2B1	PPI
ARF6	PPI
BAP1	PPI
SYT1	PPI
AGAP2	PPI
CLIC1	PPI
IFRD1	PPI
CLIC4	PPI
AJUBA	PPI
BECN1	PPI
GJA1	PPI
AMBRA1	PPI
SLAMF1	PPI
KCNMA1	PPI
UVRAG	PPI
PIK3R4	PPI
