gene	node_type
PIK3C2A	gene
PIK3C2G	gene
PIK3CD	gene
PIK3CB	gene
PIK3CG	gene
PIK3CA	gene
PI4K2A	gene
PI4K2B	gene
PI4KA	gene
PI4KB	gene
PIKFYVE	gene
CDIPT	gene
PIP5K1C	gene
PIP5KL1	gene
PIP5K1B	gene
PIP5K1A	gene
PIK3C3	gene
PIK3C2A	PPI
PIK3C2G	PPI
PIK3CD	PPI
PIK3CB	PPI
PIK3CG	PPI
PIK3CA	PPI
PI4K2A	PPI
PI4K2B	PPI
PI4KA	PPI
PI4KB	PPI
PIKFYVE	PPI
CDIPT	PPI
PIP5K1C	PPI
PIP5KL1	PPI
PIP5K1B	PPI
PIP5K1A	PPI
PIK3C3	PPI
PIK3R1	PPI
BECN1	PPI
PIK3R3	PPI
HRAS	PPI
HRAS	PPI
EED	PPI
GSN	PPI
SRC	PPI
KRAS	PPI
RRAS	PPI
PIK3R1	PPI
ERAS	PPI
RRAS2	PPI
GAB2	PPI
PTK2B	PPI
DIRAS1	PPI
IRS1	PPI
NBN	PPI
TAL1	PPI
ERP29	PPI
EXOSC5	PPI
CDC42	PPI
CRK	PPI
RHOG	PPI
RAD17	PPI
PCNA	PPI
DIRAS2	PPI
RAC1	PPI
PIK3R6	PPI
PIK3R5	PPI
LCK	PPI
GRK2	PPI
FLT1	PPI
CXCR4	PPI
ZAP70	PPI
WIPF1	PPI
CBL	PPI
GNA11	PPI
PDE3B	PPI
SIRPA	PPI
LDHA	PPI
MED21	PPI
CTNNB1	PPI
KRAS	PPI
CSK	PPI
EIF2AK1	PPI
ANAPC7	PPI
NRAS	PPI
KIT	PPI
FBXO32	PPI
YWHAG	PPI
MRAS	PPI
CRKL	PPI
UBC	PPI
AP3D1	PPI
WWP1	PPI
TOM1	PPI
MYOF	PPI
NEDD4	PPI
USP15	PPI
ITCH	PPI
UBC	PPI
NEDD4	PPI
SH3GL2	PPI
SH3GL1	PPI
AP3B2	PPI
AP3B1	PPI
SNX9	PPI
CALM1	PPI
EFR3B	PPI
SYNGAP1	PPI
TTC7B	PPI
NPHP4	PPI
SPAG9	PPI
FOXA1	PPI
TLN1	PPI
PTK2	PPI
AP2A1	PPI
AP2B1	PPI
ARF6	PPI
BAP1	PPI
SYT1	PPI
AGAP2	PPI
CLIC1	PPI
IFRD1	PPI
CLIC4	PPI
AJUBA	PPI
GJA1	PPI
AMBRA1	PPI
SLAMF1	PPI
KCNMA1	PPI
UVRAG	PPI
PIK3R4	PPI
GAB1	PPI
IRS2	PPI
BCL2	PPI
PARK2	PPI
CSF1R	PPI
CD28	PPI
BTK	PPI
FYN	PPI
IRS1	PPI
PDGFRB	PPI
JAK2	PPI
THRB	PPI
TLR2	PPI
NFE2L2	PPI
CDH1	PPI
CDH2	PPI
GRIN2B	PPI
INPP5D	PPI
BRD7	PPI
PCBP2	PPI
MYO16	PPI
BLK	PPI
SOCS6	PPI
XBP1	PPI
PSEN1	PPI
ENKUR	PPI
NCKAP1	PPI
TNFRSF11A	PPI
FOS	PPI
WAS	PPI
GAB1	PPI
PTPN11	PPI
TIE1	PPI
EIF4G2	PPI
ABI1	PPI
LYN	PPI
PIK3R2	PPI
PDGFRA	PPI
AXL	PPI
NYAP1	PPI
CD19	PPI
GRIN1	PPI
CD40	PPI
SNX9	PPI
SH3GL1	PPI
CUX-1	PPI
WASF1	PPI
TEK	PPI
EPOR	PPI
DOK1	PPI
JUP	PPI
AKT1	PPI
EPS8	PPI
CBL	PPI
TIRAP	PPI
ANK3	PPI
PIK3AP1	PPI
MPYVGP2	PPI
NME2	PPI
GOLGA3	PPI
NYAP2	PPI
EPOR	PPI
CD28	PPI
EP300	PPI
NCOR1	PPI
CYFIP1	PPI
SPP1	PPI
ABI1	PPI
LIME1	PPI
ARAF	PPI
PA2G4	PPI
GRB2	PPI
ERBB2	PPI
EZH2	PPI
LEF1	PPI
APC	PPI
IGF1R	PPI
RASSF5	PPI
TCF7L2	PPI
CTNNA1	PPI
RAPGEF1	PPI
TRP53	PPI
IKBKG	PPI
SH2D1A	PPI
PYCARD	PPI
TRAF6	PPI
GM21596	PPI
RUBCN	PPI
ATG14	PPI
TLR4	PPI
BCL2L11	PPI
MYD88	PPI
PIK3R4	PPI
TICAM1	PPI
GRID2	PPI
DAB2	PPI
GOPC	PPI
BCL2L1	PPI
ZBTB24	PPI
TAB3	PPI
SH3GLB1	PPI
NRBF2	PPI
SUZ12	PPI
PAK1	PPI
AXIN1	PPI
RIPK1	PPI
VCP	PPI
RAF1	PPI
RASGRF1	PPI
TCF3	PPI
CD4	PPI
CD247	PPI
SH2B2	PPI
GSK3B	PPI
STAT1	PPI
NFKBIA	PPI
SKIL	PPI
SQSTM1	PPI
NDFIP1	PPI
HDAC1	PPI
BCAR1	PPI
JAK1	PPI
GATA2	PPI
GATA1	PPI
LMO2	PPI
CDKN1A	PPI
ABL1	PPI
EGFR	PPI
HCK	PPI
ITSN1	PPI
SORBS1	PPI
PTPN6	PPI
CDH5	PPI
CSNK1E	PPI
CREBBP	PPI
CTNNBIP1	PPI
PAG1	PPI
MYOD1	PPI
DNMT1	PPI
IGF1R	PPI
