gene	node_type
PTGS1	gene
PTGS2	gene
CBR3	gene
CBR2	gene
DHRS4	gene
PTGIS	gene
TBXAS1	gene
PTGDS	gene
PTGES2	gene
PTGES3	gene
PTGES	gene
PTGS1	PPI
PTGS2	PPI
CBR3	PPI
CBR2	PPI
DHRS4	PPI
PTGIS	PPI
TBXAS1	PPI
PTGDS	PPI
PTGES2	PPI
PTGES3	PPI
PTGES	PPI
IRF1	PPI
IRF2	PPI
NUCB1	PPI
CUZD1	PPI
NOS2	PPI
ELAVL1	PPI
NOS1	PPI
SIRT1	PPI
HIF1A	PPI
YWHAE	PPI
STAT4	PPI
JUN	PPI
SPI1	PPI
CEBPB	PPI
TERT	PPI
DNMT3A	PPI
BAX	PPI
CFTR	PPI
EED	PPI
UBC	PPI
HSP90AB1	PPI
HTT	PPI
CASP7	PPI
CHAF1A	PPI
STAT1	PPI
IRF8	PPI
BCL2	PPI
NFE2L2	PPI
CCL5	PPI
DNMT3L	PPI
EZH2	PPI
CIITA	PPI
IL12B	PPI
MYD88	PPI
FOS	PPI
MAPK8	PPI
BCL2L1	PPI
TRP53	PPI
IKBKG	PPI
NFKB1	PPI
SUZ12	PPI
RIPK1	PPI
VCP	PPI
RELA	PPI
IL12A	PPI
STAT6	PPI
IL27	PPI
IL12A	PPI
VHL	PPI
CEBPA	PPI
HDAC1	PPI
NFKBIA	PPI
SKIL	PPI
SQSTM1	PPI
HDAC7	PPI
NDEL1	PPI
ATF4	PPI
GATA1	PPI
ID2	PPI
EP300	PPI
MCL1	PPI
DNMT1	PPI
IGF1R	PPI
ITPR1	PPI
UCHL1	PPI
PSMD4	PPI
NR3C1	PPI
HDAC6	PPI
TNF	PPI
TAP1	PPI
FOXP3	PPI
FOXP3	PPI
SELL	PPI
IL18	PPI
IFI47	PPI
TRAF3	PPI
POLR2F	PPI
GBP2	PPI
ISG15	PPI
C1RA	PPI
IRF9	PPI
CHUK	PPI
CHUK	PPI
IL23A	PPI
ANKRD1	PPI
IRF8	PPI
TLR3	PPI
IRF2	PPI
NFKB1	PPI
SOCS1	PPI
RSAD2	PPI
PIAS3	PPI
STAT1	PPI
STAT5A	PPI
IL27	PPI
STAT3	PPI
GBP5	PPI
IL12RB1	PPI
CDK9	PPI
BRD4	PPI
AGTR2	PPI
IL15	PPI
TLR9	PPI
UBE2I	PPI
BTK	PPI
TNFRSF14	PPI
SOCS1	PPI
VCAM1	PPI
USP18	PPI
CXCL11	PPI
DMD	PPI
BCL6	PPI
CLOCK	PPI
ARNTL	PPI
PPARGC1A	PPI
PPARG	PPI
SUMO1	PPI
ARNT	PPI
CTNND1	PPI
SYNGAP1	PPI
ZBTB32	PPI
IFNG	PPI
SOCS3	PPI
MAFB	PPI
SNAPC5	PPI
BARX2	PPI
IL1B	PPI
ITCH	PPI
CREBBP	PPI
CDKN2B	PPI
IRF4	PPI
GATA3	PPI
RPS6KA2	PPI
PRDM16	PPI
HMGA1	PPI
RETN	PPI
DAPK1	PPI
LCN2	PPI
BID	PPI
SLC9A3R1	PPI
JARID2	PPI
EZH1	PPI
PHF19	PPI
TBK1	PPI
PSMD2	PPI
RNF123	PPI
PLEC	PPI
CBLB	PPI
KEAP1	PPI
UBE2K	PPI
GATA4	PPI
USP9X	PPI
TAX1BP1	PPI
PSMC2	PPI
HSPA8	PPI
BIRC3	PPI
VIM	PPI
FCHO2	PPI
UIMC1	PPI
SMAD3	PPI
VPS36	PPI
PTEN	PPI
STAM2	PPI
TRAF2	PPI
HUWE1	PPI
OTUB1	PPI
MCL1	PPI
TAB3	PPI
USP8	PPI
RPS3	PPI
FANCD2	PPI
PARP1	PPI
POLI	PPI
TNFAIP3	PPI
UCHL3	PPI
PSMD3	PPI
SMAD2	PPI
AGO2	PPI
UCHL5	PPI
NR3C2	PPI
PSMC1	PPI
MYSM1	PPI
HSP90AA1	PPI
TAB2	PPI
HGS	PPI
UFD1	PPI
ARHGEF2	PPI
CYLD	PPI
USP4	PPI
NBR1	PPI
TARDBP	PPI
MYOG	PPI
TNK2	PPI
PSMC6	PPI
RFC1	PPI
SMAD1	PPI
TRIM32	PPI
MYOD1	PPI
FANCI	PPI
PKD2	PPI
UBE2N	PPI
ADRM1	PPI
MDM2	PPI
NCSTN	PPI
AKT1	PPI
HSF1	PPI
AIP	PPI
CHORDC1	PPI
HSPA1B	PPI
DNAJA1	PPI
DNAJB1	PPI
GZMB	PPI
CBX1	PPI
CBX5	PPI
IQCB1	PPI
NDN	PPI
INVS	PPI
KCNMA1	PPI
GNAI3	PPI
NCOR1	PPI
CREB1	PPI
KALRN	PPI
RAC2	PPI
PDZK1	PPI
IKZF1	PPI
NCOR2	PPI
HSP90AA1	PPI
PPP2CA	PPI
POU2F2	PPI
AHR	PPI
CD74	PPI
ACTN4	PPI
CAMKK1	PPI
CORO2A	PPI
RAC1	PPI
RCOR2	PPI
NRIP1	PPI
NOTCH1	PPI
REL	PPI
