gene	node_type
BCKDHA	gene
BCKDHB	gene
DLD	gene
DBT	gene
BCKDHA	PPI
BCKDHB	PPI
DLD	PPI
DBT	PPI
STAT4	PPI
HSD17B10	PPI
KCNMA1	PPI
HSPB2	PPI
HTT	PPI
NPHS2	PPI
EED	PPI
CEBPA	PPI
UBC	PPI
FOXP3	PPI
POU5F1	PPI
SH3KBP1	PPI
NFE2L2	PPI
EZH2	PPI
TRP53	PPI
IKBKG	PPI
SUZ12	PPI
RIPK1	PPI
VCP	PPI
NANOG	PPI
SOX2	PPI
CEBPB	PPI
STAT1	PPI
NFKBIA	PPI
SKIL	PPI
SQSTM1	PPI
OGT	PPI
GATAD2B	PPI
ARID3B	PPI
MTA2	PPI
SALL4	PPI
MBD3	PPI
JUN	PPI
TRPC6	PPI
HDAC1	PPI
DDIT3	PPI
CDK4	PPI
DNMT1	PPI
IGF1R	PPI
ITPR1	PPI
UCHL1	PPI
PSMD4	PPI
ESRRB	PPI
MTA1	PPI
GATAD2A	PPI
SMARCC1	PPI
ZFP219	PPI
CHD4	PPI
RCOR2	PPI
NACC1	PPI
NR0B1	PPI
MTA3	PPI
WDR5	PPI
HCFC1	PPI
HELLS	PPI
KDM1A	PPI
SALL1	PPI
CTBP2	PPI
RYBP	PPI
RBBP7	PPI
HDAC2	PPI
ZBTB32	PPI
IFNG	PPI
SOCS3	PPI
HSPA8	PPI
HSPA1B	PPI
DNAJA1	PPI
HSP90AB1	PPI
DNAJB1	PPI
NPHS1	PPI
NPHS1	PPI
JARID2	PPI
EZH1	PPI
PHF19	PPI
SREBF1	PPI
FOXO1	PPI
RB1	PPI
BCL2	PPI
SPI1	PPI
TBK1	PPI
PSMD2	PPI
RNF123	PPI
PLEC	PPI
CBLB	PPI
KEAP1	PPI
RELA	PPI
UBE2K	PPI
GATA4	PPI
USP9X	PPI
TAX1BP1	PPI
PPARG	PPI
PSMC2	PPI
BIRC3	PPI
VIM	PPI
FCHO2	PPI
UIMC1	PPI
SMAD3	PPI
VPS36	PPI
PTEN	PPI
STAM2	PPI
TRAF2	PPI
HUWE1	PPI
OTUB1	PPI
MCL1	PPI
TAB3	PPI
USP8	PPI
RPS3	PPI
FANCD2	PPI
PARP1	PPI
POLI	PPI
TNFAIP3	PPI
UCHL3	PPI
PSMD3	PPI
SMAD2	PPI
AGO2	PPI
UCHL5	PPI
NR3C2	PPI
PSMC1	PPI
MYSM1	PPI
HSP90AA1	PPI
TAB2	PPI
HGS	PPI
UFD1	PPI
ARHGEF2	PPI
CYLD	PPI
USP4	PPI
NBR1	PPI
TARDBP	PPI
MYOG	PPI
TNK2	PPI
HDAC6	PPI
PSMC6	PPI
RFC1	PPI
SMAD1	PPI
TRIM32	PPI
MYOD1	PPI
FANCI	PPI
PKD2	PPI
UBE2N	PPI
ADRM1	PPI
MDM2	PPI
NCSTN	PPI
NFATC2	PPI
ZFP143	PPI
SP1	PPI
CUL4B	PPI
HNRNPU	PPI
KLF4	PPI
P4HA1	PPI
RPA1	PPI
ZFP322A	PPI
HIST1H4A	PPI
CTNNB1	PPI
RNF2	PPI
ZMYM2	PPI
AKAP8	PPI
HNRNPL	PPI
MATR3	PPI
MSH6	PPI
RAD21	PPI
SOX15	PPI
RIF1	PPI
L1TD1	PPI
MSH2	PPI
CDK1	PPI
ACTL6A	PPI
SSRP1	PPI
SMARCA5	PPI
FRG1	PPI
SUPT16	PPI
GBP5	PPI
D11WSU47E	PPI
CAPRIN1	PPI
CRYBB1	PPI
RAP2B	PPI
IRF9	PPI
OSM	PPI
CD40LG	PPI
PAIP2	PPI
SURF1	PPI
MED22	PPI
LY6I	PPI
CEP128	PPI
PDE12	PPI
FAM60A	PPI
ANKIB1	PPI
CD247	PPI
CHMP4B	PPI
PLSCR1	PPI
GABRR3	PPI
FKBP1A	PPI
CWC15	PPI
FAM114A1	PPI
TLR6	PPI
CAMK2A	PPI
RBM27	PPI
TOM1L2	PPI
ANO9	PPI
TRIP4	PPI
SOS2	PPI
CASP1	PPI
VRK1	PPI
IFI205	PPI
1700066B19RIK	PPI
CCNT2	PPI
ARF2	PPI
ETV6	PPI
PLP2	PPI
RABGAP1L	PPI
ARIH1	PPI
1700012B09RIK	PPI
LPP	PPI
HOOK2	PPI
MRPL18	PPI
TCP1	PPI
MAPKAPK3	PPI
LHX6	PPI
SRGN	PPI
DPYSL2	PPI
PDCD4	PPI
RPL23A	PPI
STN1	PPI
LSM4	PPI
IL2RA	PPI
APOBEC3	PPI
WASHC1	PPI
TBC1D14	PPI
CDH17	PPI
GSDMA	PPI
RUFY4	PPI
IL21	PPI
RILPL1	PPI
LAMC1	PPI
TAF5	PPI
NUP93	PPI
TMEM173	PPI
CDS2	PPI
GNAI2	PPI
TTC21A	PPI
SH2D1B2	PPI
GBP2	PPI
DGKG	PPI
SERPINB9	PPI
TNFSF10	PPI
GCNT3	PPI
TG	PPI
