gene	node_type
ASL	gene
ASS1	gene
NOS1	gene
NOS3	gene
NOS2	gene
ASL	PPI
ASS1	PPI
NOS1	PPI
NOS3	PPI
NOS2	PPI
IRF1	PPI
NFKB1	PPI
JUN	PPI
DMD	PPI
STAT1	PPI
CEBPB	PPI
HSD17B10	PPI
HDAC2	PPI
HDAC1	PPI
CLOCK	PPI
SNTA1	PPI
GRIN1	PPI
ATP2B4	PPI
YWHAZ	PPI
PTGS2	PPI
GRIN2B	PPI
SLC6A3	PPI
SLC6A4	PPI
NOS1AP	PPI
CALM1	PPI
SCN5A	PPI
MYO5A	PPI
DYNLL1	PPI
MAST1	PPI
SLC7A1	PPI
ESR1	PPI
CAV1	PPI
NCOR1	PPI
CREB1	PPI
KALRN	PPI
RAC2	PPI
RELA	PPI
PDZK1	PPI
UBC	PPI
IKZF1	PPI
ELAVL1	PPI
NCOR2	PPI
IRF8	PPI
HSP90AA1	PPI
PPP2CA	PPI
POU2F2	PPI
AHR	PPI
CD74	PPI
ACTN4	PPI
CAMKK1	PPI
CORO2A	PPI
HIF1A	PPI
STAT3	PPI
VCP	PPI
RAC1	PPI
RCOR2	PPI
NRIP1	PPI
EP300	PPI
NOTCH1	PPI
REL	PPI
NR4A2	PPI
SENP3	PPI
FOS	PPI
MAPK8	PPI
CCL5	PPI
CIITA	PPI
IL12B	PPI
MYD88	PPI
IL6	PPI
NFKBIA	PPI
IL12A	PPI
STAT4	PPI
ATF4	PPI
SPI1	PPI
IL12A	PPI
STAT6	PPI
IL27	PPI
IL23A	PPI
NFKBIZ	PPI
MAP3K8	PPI
BCL2	PPI
IFNB1	PPI
CCL2	PPI
CRY1	PPI
NFE2L2	PPI
MAFB	PPI
SNAPC5	PPI
BARX2	PPI
IL1B	PPI
TNF	PPI
SIRT1	PPI
ITCH	PPI
CEBPA	PPI
DLG4	PPI
SIN3A	PPI
NFKBIB	PPI
ISG15	PPI
MTA2	PPI
PER2	PPI
GRIN2A	PPI
TRP53	PPI
IKBKG	PPI
SOCS3	PPI
TAP1	PPI
FOXP3	PPI
FOXP3	PPI
SELL	PPI
IL18	PPI
IFI47	PPI
TRAF3	PPI
POLR2F	PPI
GBP2	PPI
ISG15	PPI
C1RA	PPI
IRF9	PPI
CHUK	PPI
CHUK	PPI
ANKRD1	PPI
IRF8	PPI
TLR3	PPI
IRF2	PPI
NFKB1	PPI
SOCS1	PPI
RSAD2	PPI
PIAS3	PPI
STAT1	PPI
STAT5A	PPI
IL27	PPI
GBP5	PPI
IL12RB1	PPI
CDK9	PPI
BRD4	PPI
AGTR2	PPI
IL15	PPI
TLR9	PPI
PIAS2	PPI
HDAC6	PPI
IRF4	PPI
STAT2	PPI
IFIT3	PPI
ANKRD1	PPI
FEM1A	PPI
E2F1	PPI
ZFP276	PPI
ICAM1	PPI
TNFRSF4	PPI
IL9	PPI
GBP3	PPI
NFKBID	PPI
ANKRD42	PPI
CD40	PPI
GZMB	PPI
HMOX1	PPI
CSNK1G1	PPI
RELB	PPI
NFKB2	PPI
GMEB2	PPI
RAG1	PPI
RAG2	PPI
PSME2	PPI
SELE	PPI
RPL13	PPI
RIPK1	PPI
PIK3R2	PPI
LCN2	PPI
AKAP8	PPI
IRAK1BP1	PPI
CMPK2	PPI
HSPA1A	PPI
TNIP2	PPI
IFNG	PPI
EOMES	PPI
PAX5	PPI
PRF1	PPI
TRIM21	PPI
DDX58	PPI
RIPK1	PPI
NSFL1C	PPI
UFD1	PPI
PAK1	PPI
RBPJ	PPI
TCF4	PPI
TDG	PPI
MFGE8	PPI
CTNNB1	PPI
CXCL2	PPI
HOXA9	PPI
CASP9	PPI
COPS5	PPI
IL1A	PPI
LRRCC1	PPI
PTGDS	PPI
MAP3K1	PPI
HDAC3	PPI
CDK6	PPI
SP1	PPI
CCL7	PPI
CXCL10	PPI
BAG1	PPI
JDP2	PPI
TPM1	PPI
CSF1R	PPI
ATF3	PPI
DUSP1	PPI
ABL1	PPI
SMARCA2	PPI
FBXW7	PPI
FOSB	PPI
SMAD3	PPI
CCL12	PPI
CXCL9	PPI
UBE2I	PPI
SUMO1	PPI
BRCA1	PPI
HOXC8	PPI
IL2RA	PPI
IL12RB2	PPI
SMC3	PPI
ANKRD35	PPI
SOX8	PPI
SMARCD1	PPI
PRDM1	PPI
HHEX	PPI
APP	PPI
EN1	PPI
MMP13	PPI
SMARCB1	PPI
CCL4	PPI
MYC	PPI
TPM2	PPI
CYLD	PPI
DAG1	PPI
SNTB1	PPI
SGCG	PPI
SGCA	PPI
SGCD	PPI
SGCB	PPI
FGL2	PPI
ADAR	PPI
RPS6KA2	PPI
PRDM16	PPI
HMGA1	PPI
RETN	PPI
DAPK1	PPI
PPARGC1A	PPI
SIN3B	PPI
SKIL	PPI
SQSTM1	PPI
VHL	PPI
UBE4B	PPI
