gene	node_type
CKMT2	gene
CKMT1	gene
CKB	gene
CKM	gene
CKMT2	PPI
CKMT1	PPI
CKB	PPI
CKM	PPI
ELK1	PPI
INVS	PPI
MT3	PPI
HSD17B10	PPI
EED	PPI
RABL2	PPI
PATJ	PPI
ASB9	PPI
TRIM63	PPI
FBXO32	PPI
LRRK2	PPI
HTT	PPI
KCNMA1	PPI
EZH2	PPI
SUZ12	PPI
MAPK1	PPI
HDAC1	PPI
MYOD1	PPI
EGR1	PPI
MAPK3	PPI
JARID2	PPI
EZH1	PPI
PHF19	PPI
AMOT	PPI
CUL1	PPI
SKP1A	PPI
EIF3F	PPI
UBC	PPI
HSPA1B	PPI
DNAJA1	PPI
HSP90AB1	PPI
SQSTM1	PPI
DNAJB1	PPI
HSPA8	PPI
SRF	PPI
KRT10	PPI
DVL1	PPI
PCP2	PPI
KRT15	PPI
EIF4A2	PPI
PHB2	PPI
SFN	PPI
FABP5	PPI
ANKS6	PPI
LASP1	PPI
TUBA4A	PPI
KRT4	PPI
ATP5A1	PPI
KRT79	PPI
ENO1	PPI
RNH1	PPI
KRT5	PPI
ACTG1	PPI
PCMTD1	PPI
HSPA5	PPI
ATP5B	PPI
ATP5D	PPI
VIM	PPI
MYH9	PPI
TUBB5	PPI
KHSRP	PPI
PLEC	PPI
ALDH1A3	PPI
EIF4B	PPI
LMNA	PPI
NPHP3	PPI
KRT42	PPI
DBNL	PPI
TUBA1B	PPI
MAP2	PPI
HSPA9	PPI
ANAPC2	PPI
NRGN	PPI
EFHD2	PPI
SH3BGRL3	PPI
TPM3	PPI
FAM83H	PPI
VCAN	PPI
NDUFS6	PPI
DVL2	PPI
KRT1	PPI
PGK1	PPI
ANXA2	PPI
SOD1	PPI
CTTN	PPI
KRT2	PPI
RPS27A	PPI
ERMN	PPI
PEBP1	PPI
TPPP	PPI
IQCB1	PPI
HNRNPM	PPI
NUCB1	PPI
KRT6A	PPI
YWHAZ	PPI
PKM	PPI
FABP1	PPI
KRT73	PPI
CALD1	PPI
NEK8	PPI
COX5A	PPI
CSRP1	PPI
VDAC2	PPI
NPHP1	PPI
KRT14	PPI
S100A11	PPI
MAP1A	PPI
CLTA	PPI
AHI1	PPI
TPI1	PPI
HBA-A1	PPI
ACTB	PPI
EEA1	PPI
MAP4	PPI
PALM	PPI
KRT76	PPI
PSMD9	PPI
DPYSL2	PPI
DLD	PPI
HSPB2	PPI
ALAD	PPI
RPL35	PPI
DLAT	PPI
NAA11	PPI
CUBN	PPI
SUGCT	PPI
ARG2	PPI
LRP2	PPI
CS	PPI
PCCA	PPI
ACSM2	PPI
ATP6V0E	PPI
DHTKD1	PPI
ATP6V0C	PPI
PDHB	PPI
MDH1	PPI
SUCLG1	PPI
CPT2	PPI
FH1	PPI
SDHA	PPI
CAT	PPI
NDUFA7	PPI
PDHA2	PPI
ASPG	PPI
ACY1	PPI
GSTA4	PPI
ALDOC	PPI
PDHX	PPI
ATP6V1F	PPI
ASS1	PPI
PRDX2	PPI
PSMB5	PPI
ASL	PPI
GPI1	PPI
ETFB	PPI
ACOX1	PPI
OGDH	PPI
ACNAT1	PPI
PGAM2	PPI
NDUFS2	PPI
FAH	PPI
GLUL	PPI
GSTM2	PPI
HSPD1	PPI
ACADS	PPI
GAPDH	PPI
HMGCS1	PPI
ACAA2	PPI
ECH1	PPI
IDH3A	PPI
SUCLG2	PPI
DLST	PPI
ALDH3A1	PPI
PPA2	PPI
EIF3A	PPI
DBT	PPI
GATM	PPI
CES3A	PPI
PAICS	PPI
ETFA	PPI
IVD	PPI
ACSS1	PPI
OAT	PPI
GSTM5	PPI
SRP72	PPI
LDHC	PPI
ACADVL	PPI
GSTA1	PPI
MCCC2	PPI
IDH1	PPI
ENO2	PPI
ACAD10	PPI
GSTT1	PPI
ACMSD	PPI
ACADM	PPI
LDHA	PPI
HGD	PPI
HSPB6	PPI
GPX1	PPI
SDHB	PPI
PDHA1	PPI
MCCC1	PPI
GSTP1	PPI
HADH	PPI
PRDX6	PPI
LDHB	PPI
ATP6V0D1	PPI
HMGCL	PPI
ENO3	PPI
CST3	PPI
CAR3	PPI
ACADL	PPI
BMI1	PPI
EIF3E	PPI
EPRS	PPI
SLC25A12	PPI
WDR12	PPI
SMARCA1	PPI
DNMT3B	PPI
PRPF19	PPI
XPO1	PPI
BOP1	PPI
ATP5C1	PPI
METTL16	PPI
MYADM	PPI
PSMD2	PPI
POLR2A	PPI
KPNA2	PPI
RPL23A	PPI
AHCTF1	PPI
UTP6	PPI
PBRM1	PPI
PFN1	PPI
HCFC1	PPI
SLC25A13	PPI
POLD1	PPI
CPSF6	PPI
NUP188	PPI
DDX51	PPI
MCM7	PPI
HNRNPH1	PPI
CFL1	PPI
RPL10A	PPI
RPL11	PPI
COL4A2	PPI
SPTAN1	PPI
