gene	node_type
ADCY6	gene
ADCY2	gene
ADCY7	gene
ADCY3	gene
ADCY4	gene
ADCY8	gene
ADCY10	gene
ADCY5	gene
ADCY1	gene
ADCY9	gene
PDE4A	gene
PDE4C	gene
PDE7A	gene
PDE8A	gene
PDE7B	gene
PDE4D	gene
PDE8B	gene
ADCY6	PPI
ADCY2	PPI
ADCY7	PPI
ADCY3	PPI
ADCY4	PPI
ADCY8	PPI
ADCY10	PPI
ADCY5	PPI
ADCY1	PPI
ADCY9	PPI
PDE4A	PPI
PDE4C	PPI
PDE7A	PPI
PDE8A	PPI
PDE7B	PPI
PDE4D	PPI
PDE8B	PPI
AKAP5	PPI
TAL1	PPI
CAV1	PPI
MPDZ	PPI
STOML3	PPI
CALM1	PPI
PPP2CA	PPI
PPP2R1A	PPI
SLC9C1	PPI
NULL	PPI
AKAP6	PPI
RIC8A	PPI
PKD2	PPI
CACNA1C	PPI
SHANK2	PPI
YWHAZ	PPI
KALRN	PPI
PDE4B	PPI
NPHP4	PPI
ADRB1	PPI
RYR2	PPI
ATP2A2	PPI
ARRB2	PPI
NDE1	PPI
ADRB2	PPI
