gene1	gene	score
Adcy6	Akap5	0.111111111111111
Adcy7	Tal1	0.111111111111111
Adcy3	Cav1	0.111111111111111
Adcy3	MPDZ	0.111111111111111
Adcy3	Stoml3	0.111111111111111
Adcy8	Calm1	0.111111111111111
Adcy8	Ppp2ca	0.111111111111111
Adcy8	Ppp2r1a	0.111111111111111
Adcy10	Slc9c1	0.111111111111111
Adcy5	Akap6	0.111111111111111
Adcy5	Ric8a	0.111111111111111
Adcy5	Pkd2	0.111111111111111
Pde4d	Cacna1c	0.111111111111111
Pde4d	Tal1	0.111111111111111
Pde4d	Shank2	0.111111111111111
Pde4d	Ywhaz	0.111111111111111
Pde4d	Kalrn	0.111111111111111
Pde4d	Pde4b	0.111111111111111
Pde4d	Nphp4	0.111111111111111
Pde4d	Adrb1	0.111111111111111
Pde4d	Ryr2	0.111111111111111
Pde4d	Atp2a2	0.111111111111111
Pde4d	Arrb2	0.111111111111111
Pde4d	Nde1	0.111111111111111
Pde4d	Adrb2	0.111111111111111
Ryr2	Fkbp1b	0.0740740740740741
Tal1	Tcf3	0.0493827160493827
Tal1	Gata2	0.037037037037037
Tal1	Gata1	0.037037037037037
Tal1	Lmo2	0.037037037037037
Tal1	Hdac1	0.037037037037037
Pkd2	Pkhd1	0.037037037037037
Ywhaz	Syngap1	0.037037037037037
Tal1	Tal1	0.0246913580246914
Tal1	Cbfa2t3	0.0246913580246914
Tal1	Tcf4	0.0246913580246914
Tal1	Sin3a	0.0246913580246914
Tal1	Lyl1	0.0246913580246914
Tal1	Erg	0.0246913580246914
Tal1	Myb	0.0246913580246914
Tal1	Ldb1	0.0246913580246914
Tal1	Cbfa2t2	0.0246913580246914
Cav1	Cav2	0.0246913580246914
Cav1	Pla2g4a	0.0246913580246914
Cav1	Csk	0.0246913580246914
MPDZ	Yap1	0.0246913580246914
Calm1	Grin1	0.0246913580246914
Ppp2ca	Ppp2r1a	0.0246913580246914
Ppp2ca	Igbp1	0.0246913580246914
