gene1	gene	score
Cth	Rela	0.111111111111111
Cth	Tomm20	0.111111111111111
Cth	Gapdh	0.111111111111111
Cbs	Cry1	0.111111111111111
Cry1	Arntl	0.111111111111111
Cry1	Clock	0.111111111111111
Rela	Rela	0.0987654320987654
Rela	Nfkbib	0.0864197530864198
Cry1	Per1	0.0864197530864198
Rela	Ccl2	0.0740740740740741
Cry1	Per2	0.0740740740740741
Rela	Ccl5	0.0617283950617284
Rela	Ep300	0.0617283950617284
Rela	Nfkb2	0.0617283950617284
Cry1	Arntl	0.0617283950617284
Rela	Il23a	0.0493827160493827
Rela	Il12b	0.0493827160493827
Cry1	Timeless	0.0493827160493827
Rela	Cxcl2	0.037037037037037
Rela	Bcl2	0.037037037037037
Rela	Tnfaip3	0.037037037037037
Cry1	Fbxl3	0.037037037037037
Cry1	Per3	0.037037037037037
Rela	Ubc	0.0246913580246914
Rela	Tbx21	0.0246913580246914
Rela	Ctnnb1	0.0246913580246914
Rela	Rela	0.0246913580246914
Rela	Cd40	0.0246913580246914
Rela	Ifnb1	0.0246913580246914
Rela	Pias4	0.0246913580246914
Rela	Nfkb2	0.0246913580246914
Rela	Il1b	0.0246913580246914
Rela	Irf1	0.0246913580246914
Rela	Ccnd1	0.0246913580246914
Rela	Chuk	0.0246913580246914
Rela	Crebbp	0.0246913580246914
Rela	Lcn2	0.0246913580246914
Cry1	NPAS2	0.0246913580246914
Cry1	CSNK1E	0.0246913580246914
Cry1	CLOCK	0.0246913580246914
Cry1	CSNK2B	0.0246913580246914
Cry1	Usp2	0.0246913580246914
Cry1	PER1	0.0246913580246914
Cry1	Arntl	0.0246913580246914
Cry1	Fbxl21	0.0246913580246914
Rela	Ep300	0.0123456790123457
Rela	Irf3	0.0123456790123457
Rela	Ankrd7	0.0123456790123457
Rela	Jun	0.0123456790123457
Rela	Nanog	0.0123456790123457
Rela	Nfkbie	0.0123456790123457
Rela	Zfp64	0.0123456790123457
Rela	Uba52	0.0123456790123457
Rela	Gfi1	0.0123456790123457
Rela	Ppp1r13l	0.0123456790123457
Rela	Pias3	0.0123456790123457
Rela	Fem1a	0.0123456790123457
Rela	Trem1	0.0123456790123457
Rela	Hsf1	0.0123456790123457
Rela	Relb	0.0123456790123457
Rela	SETD7	0.0123456790123457
Rela	Sp1	0.0123456790123457
Rela	Csf1	0.0123456790123457
Rela	Kat2a	0.0123456790123457
Rela	Kdm4a	0.0123456790123457
Rela	Atp2a2	0.0123456790123457
Rela	Dnmt1	0.0123456790123457
Rela	Cth	0.0123456790123457
Rela	Brpf1	0.0123456790123457
Rela	Nr0b2	0.0123456790123457
Rela	Nr4a2	0.0123456790123457
Rela	Pparg	0.0123456790123457
Rela	Notch2	0.0123456790123457
Rela	Tnf	0.0123456790123457
Rela	Mta1	0.0123456790123457
Rela	Il17ra	0.0123456790123457
Rela	Ccl20	0.0123456790123457
Rela	Sele	0.0123456790123457
Rela	Psme2	0.0123456790123457
Rela	Ehmt1	0.0123456790123457
Rela	Nfkbia	0.0123456790123457
Rela	Srebf1	0.0123456790123457
Rela	Actn4	0.0123456790123457
Rela	Zmynd11	0.0123456790123457
Rela	Nr4a1	0.0123456790123457
Rela	Nos2	0.0123456790123457
Rela	Myc	0.0123456790123457
Rela	Rag2	0.0123456790123457
Rela	Med16	0.0123456790123457
Rela	Il6	0.0123456790123457
Rela	Tnfrsf4	0.0123456790123457
Rela	Zdhhc13	0.0123456790123457
Rela	Socs1	0.0123456790123457
Rela	Snip1	0.0123456790123457
Rela	E2f1	0.0123456790123457
Rela	Cers2	0.0123456790123457
Rela	Il2	0.0123456790123457
Rela	Icam1	0.0123456790123457
Rela	Hspa4	0.0123456790123457
Rela	Ido1	0.0123456790123457
Rela	Hdac6	0.0123456790123457
Rela	Hdac1	0.0123456790123457
Rela	Prkcz	0.0123456790123457
Rela	Il9	0.0123456790123457
Rela	Clock	0.0123456790123457
Rela	Nfkb1	0.0123456790123457
Rela	Il12a	0.0123456790123457
Rela	Nr1h3	0.0123456790123457
Rela	Cxxc1	0.0123456790123457
Rela	Nr3c1	0.0123456790123457
Rela	Hmox1	0.0123456790123457
Rela	Cxcl1	0.0123456790123457
Rela	Rag1	0.0123456790123457
Rela	Myd88	0.0123456790123457
Rela	Hdac2	0.0123456790123457
Rela	Med17	0.0123456790123457
Rela	Csf3	0.0123456790123457
Rela	Carm1	0.0123456790123457
Rela	Cxcl10	0.0123456790123457
Rela	Ankrd33	0.0123456790123457
Rela	Hspa1a	0.0123456790123457
Rela	Trp53	0.0123456790123457
Rela	Hes1	0.0123456790123457
Rela	Ngf	0.0123456790123457
Rela	Glrx	0.0123456790123457
Rela	Enpp2	0.0123456790123457
Rela	Thrb	0.0123456790123457
Rela	Igbp1	0.0123456790123457
Tomm20	Vdac1	0.0123456790123457
Tomm20	Eed	0.0123456790123457
Tomm20	Cth	0.0123456790123457
Gapdh	Ywhae	0.0123456790123457
Gapdh	Hspa8	0.0123456790123457
Gapdh	Cth	0.0123456790123457
Gapdh	Polr2a	0.0123456790123457
Gapdh	Nanog	0.0123456790123457
Gapdh	CAMP	0.0123456790123457
Gapdh	Bdnf	0.0123456790123457
Gapdh	Ankrd1	0.0123456790123457
Gapdh	Eed	0.0123456790123457
Gapdh	HSD17B10	0.0123456790123457
Gapdh	Isg15	0.0123456790123457
Gapdh	Kcnma1	0.0123456790123457
Gapdh	Fbxo32	0.0123456790123457
Gapdh	Lipc	0.0123456790123457
Gapdh	Chodl	0.0123456790123457
Gapdh	Siah1a	0.0123456790123457
Gapdh	Klhl40	0.0123456790123457
Gapdh	Rpl13a	0.0123456790123457
Cry1	ANK3	0.0123456790123457
Cry1	NFIB	0.0123456790123457
Cry1	Per3	0.0123456790123457
Cry1	Sin3b	0.0123456790123457
Cry1	RORC	0.0123456790123457
Cry1	CSNK1D	0.0123456790123457
Cry1	Arntl2	0.0123456790123457
Cry1	Csnk1e	0.0123456790123457
Cry1	PPP2R5D	0.0123456790123457
Cry1	Bhlhe41	0.0123456790123457
Cry1	Hdac2	0.0123456790123457
Cry1	Prmt5	0.0123456790123457
Cry1	AR	0.0123456790123457
Cry1	Rpl7a	0.0123456790123457
Cry1	Ubc	0.0123456790123457
Cry1	Csnk2b	0.0123456790123457
Cry1	Per2	0.0123456790123457
Cry1	PPP2R1B	0.0123456790123457
Cry1	Rps3	0.0123456790123457
Cry1	Ezh2	0.0123456790123457
Cry1	ELMO3	0.0123456790123457
Cry1	FBXL3	0.0123456790123457
Cry1	Csnk1a1	0.0123456790123457
Cry1	MAPK1	0.0123456790123457
Cry1	PPP2R5E	0.0123456790123457
Cry1	Prkaa2	0.0123456790123457
Cry1	Mybbp1a	0.0123456790123457
Cry1	Prkdc	0.0123456790123457
Cry1	Hdac1	0.0123456790123457
Cry1	Rorc	0.0123456790123457
Cry1	Ar	0.0123456790123457
Cry1	Prkaa1	0.0123456790123457
Cry1	Mapk1	0.0123456790123457
Cry1	Cry2	0.0123456790123457
Cry1	Cbs	0.0123456790123457
Cry1	Rora	0.0123456790123457
Cry1	Rpl8	0.0123456790123457
Cry1	Hnrnpu	0.0123456790123457
Cry1	Ifitm1	0.0123456790123457
Cry1	Arntl	0.0123456790123457
