gene1	gene	score
Chst15	Stat4	0.111111111111111
Stat4	Jun	0.037037037037037
Stat4	Stat4	0.037037037037037
Stat4	Zbtb32	0.0246913580246914
Stat4	Ifng	0.0246913580246914
Stat4	Socs3	0.0246913580246914
Stat4	Gbp5	0.0123456790123457
Stat4	D11Wsu47e	0.0123456790123457
Stat4	Caprin1	0.0123456790123457
Stat4	Crybb1	0.0123456790123457
Stat4	Rap2b	0.0123456790123457
Stat4	Irf9	0.0123456790123457
Stat4	Osm	0.0123456790123457
Stat4	Cd40lg	0.0123456790123457
Stat4	Paip2	0.0123456790123457
Stat4	Matr3	0.0123456790123457
Stat4	Surf1	0.0123456790123457
Stat4	Med22	0.0123456790123457
Stat4	Ly6i	0.0123456790123457
Stat4	Cep128	0.0123456790123457
Stat4	Pde12	0.0123456790123457
Stat4	Fam60a	0.0123456790123457
Stat4	Ankib1	0.0123456790123457
Stat4	Cd247	0.0123456790123457
Stat4	Chmp4b	0.0123456790123457
Stat4	Plscr1	0.0123456790123457
Stat4	Gabrr3	0.0123456790123457
Stat4	Fkbp1a	0.0123456790123457
Stat4	Cwc15	0.0123456790123457
Stat4	Plec	0.0123456790123457
Stat4	Fam114a1	0.0123456790123457
Stat4	Tlr6	0.0123456790123457
Stat4	Camk2a	0.0123456790123457
Stat4	Rbm27	0.0123456790123457
Stat4	Tom1l2	0.0123456790123457
Stat4	Ano9	0.0123456790123457
Stat4	Trip4	0.0123456790123457
Stat4	Sos2	0.0123456790123457
Stat4	Casp1	0.0123456790123457
Stat4	Vrk1	0.0123456790123457
Stat4	Zfp219	0.0123456790123457
Stat4	Ifi205	0.0123456790123457
Stat4	1700066B19Rik	0.0123456790123457
Stat4	Ccnt2	0.0123456790123457
Stat4	Arf2	0.0123456790123457
Stat4	Etv6	0.0123456790123457
Stat4	Plp2	0.0123456790123457
Stat4	Rabgap1l	0.0123456790123457
Stat4	Arih1	0.0123456790123457
Stat4	1700012B09Rik	0.0123456790123457
Stat4	Lpp	0.0123456790123457
Stat4	Hook2	0.0123456790123457
Stat4	Mrpl18	0.0123456790123457
Stat4	Tcp1	0.0123456790123457
Stat4	Mapkapk3	0.0123456790123457
Stat4	Lhx6	0.0123456790123457
Stat4	Srgn	0.0123456790123457
Stat4	Dpysl2	0.0123456790123457
Stat4	Pdcd4	0.0123456790123457
Stat4	Rpl23a	0.0123456790123457
Stat4	Stn1	0.0123456790123457
Stat4	Lsm4	0.0123456790123457
Stat4	Il2ra	0.0123456790123457
Stat4	Apobec3	0.0123456790123457
Stat4	Washc1	0.0123456790123457
Stat4	Tbc1d14	0.0123456790123457
Stat4	Cdh17	0.0123456790123457
Stat4	Psmd3	0.0123456790123457
Stat4	Gsdma	0.0123456790123457
Stat4	Rufy4	0.0123456790123457
Stat4	Il21	0.0123456790123457
Stat4	Rilpl1	0.0123456790123457
Stat4	Lamc1	0.0123456790123457
Stat4	Taf5	0.0123456790123457
Stat4	Nup93	0.0123456790123457
Stat4	Tmem173	0.0123456790123457
Stat4	Cds2	0.0123456790123457
Stat4	Gnai2	0.0123456790123457
Stat4	Ttc21a	0.0123456790123457
Stat4	Sh2d1b2	0.0123456790123457
Stat4	Gbp2	0.0123456790123457
Stat4	Dgkg	0.0123456790123457
Stat4	Serpinb9	0.0123456790123457
