gene	node_type
TYMS	gene
SHMT1	gene
SHMT2	gene
MTHFSL	gene
MTHFS	gene
DHFR	gene
MTHFR	gene
MTR	gene
MTHFD1L	gene
TYMS	PPI
SHMT1	PPI
SHMT2	PPI
MTHFSL	PPI
MTHFS	PPI
DHFR	PPI
MTHFR	PPI
MTR	PPI
MTHFD1L	PPI
SET	PPI
SUMO1	PPI
UBE2I	PPI
MDM2	PPI
SUMO1	PPI
RANGAP1	PPI
NR2C1	PPI
HIF1A	PPI
TRP53	PPI
TCF3	PPI
FAS	PPI
SUMO3	PPI
POLRMT	PPI
TSPYL1	PPI
ZKSCAN1	PPI
ZNF91	PPI
ZNF236	PPI
ZNF197	PPI
KAT7	PPI
C14ORF93	PPI
ZNF574	PPI
CAVIN3	PPI
FTCD	PPI
ENO1	PPI
TCP1	PPI
HSPA1L	PPI
CCND2	PPI
APOE	PPI
RBBP4	PPI
SMARCA5	PPI
WDR5	PPI
MTCL1	PPI
DCAF13	PPI
ZBTB11	PPI
REPIN1	PPI
PKN3	PPI
MRPS7	PPI
DDX24	PPI
ATAD5	PPI
CAVIN1	PPI
ZNF445	PPI
FAM111B	PPI
CCT5	PPI
PYGM	PPI
EIF2S1	PPI
POLD2	PPI
MTA1	PPI
MIB2	PPI
CSNK2A2	PPI
ANP32A	PPI
PLCB1	PPI
BAG1	PPI
CDKN2A	PPI
ZNF646	PPI
ZC3H3	PPI
JADE2	PPI
UBN1	PPI
ZNF770	PPI
ASH1L	PPI
IKZF5	PPI
ZFP91	PPI
RRP36	PPI
PWWP2A	PPI
SALL4	PPI
FBP1	PPI
HSPA5	PPI
ALB	PPI
NMT1	PPI
EEF1A1	PPI
RAB35	PPI
CDK4	PPI
ABCF1	PPI
GTF3C1	PPI
MEN1	PPI
THAP12	PPI
RFC2	PPI
ZKSCAN8	PPI
CAVIN2	PPI
ASH2L	PPI
MORF4L2	PPI
MATR3	PPI
ZBTB24	PPI
SUGP2	PPI
ZMYND11	PPI
HCFC2	PPI
ZNF408	PPI
ELMSAN1	PPI
DNTTIP1	PPI
SOGA1	PPI
UBN2	PPI
ALDH1L1	PPI
CCT8	PPI
ACTB	PPI
CSNK2A1	PPI
ATP5B	PPI
SELENBP2	PPI
SUPT6	PPI
KDM3A	PPI
PPP2R5B	PPI
CSNK1E	PPI
DNM2	PPI
CCT2	PPI
PTPN1	PPI
IRF3	PPI
SREBF1	PPI
JUN	PPI
MAF	PPI
RBBP7	PPI
IKZF3	PPI
GRM8	PPI
SLC1A2	PPI
IRF7	PPI
VHL	PPI
PEX2	PPI
SP3	PPI
ANXA2	PPI
CASP8AP2	PPI
IRF8	PPI
PIAS3	PPI
KLF5	PPI
PAX6	PPI
SMAD4	PPI
RANBP2	PPI
PML	PPI
MYB	PPI
SEPT2	PPI
NPM1	PPI
UIMC1	PPI
JUNB	PPI
RANGAP1	PPI
UBC	PPI
HIPK2	PPI
DHX9	PPI
LMNA	PPI
NEMP1	PPI
ELSPBP1	PPI
RAN	PPI
AAAS	PPI
NUP50	PPI
NUP205	PPI
CEP72	PPI
NUP37	PPI
TMEM209	PPI
GMEB1	PPI
GMEB2	PPI
SOX2	PPI
SUMO2	PPI
MITF	PPI
FAS	PPI
GATA1	PPI
NUP188	PPI
SENP2	PPI
EGR2	PPI
SUMO2	PPI
NUP93	PPI
NEMP1	PPI
NDC1	PPI
NUP85	PPI
SEH1L	PPI
NFATC2IP	PPI
NFKBIA	PPI
REL	PPI
FOXL2	PPI
CPEB3	PPI
CTBP2	PPI
IRF2	PPI
PPM1J	PPI
MYD88	PPI
DACH1	PPI
POU5F1	PPI
NCOR1	PPI
