V1	V2
Pgk1	HSD17B10
Pgk1	Zfp322a
Pgk1	Hsph1
Pgk1	Invs
Pgk1	Isg15
Pgk1	Eed
Pgk1	HSPH1
Pgk1	NA
Aldoa	Fbxo32
Aldoa	Pdpk1
Aldoa	Isg15
Aldoa	Traf6
Aldoa	Stam2
Aldoa	Btk
Aldoa	Htt
Aldoa	Kcnma1
Aldoa	Iqcb1
Aldoa	Hadh
Aldoart2	Fbxo32
Aldoc	HSD17B10
Aldoc	PRNP
Aldoc	Fbxo32
Aldoc	Chaf1a
Me1	Isg15
Me1	Rabl2
GAPDH	Mapk13
Gapdh	Ywhae
Gapdh	Hspa8
Gapdh	Cth
Gapdh	Polr2a
Gapdh	Nanog
Gapdh	CAMP
Gapdh	Bdnf
Gapdh	Ankrd1
Gapdh	Eed
Gapdh	HSD17B10
Gapdh	Isg15
Gapdh	Kcnma1
Gapdh	Fbxo32
Gapdh	Lipc
Gapdh	Chodl
Gapdh	Siah1a
Gapdh	NA
Gapdh	Klhl40
Gapdh	Rpl13a
Eno2	HSD17B10
Eno2	Kcnma1
Eno4	Eno1
Eno4	Akap4
Eno3	Htt
Eno3	Fbxo32
Eno3	Kcnma1
Eno3	HSD17B10
Eno1	Invs
Eno1	Fbxo32
Eno1	Isg15
Eno1	Ubc
Eno1	Traf6
Eno1	Ywhaz
Eno1	Neurl2
Eno1	HSD17B10
Eno1	Eed
Eno1	Uvrag
Eno1	NA
Eno1	Set
Eno1	Kcnma1
Eno1	Fyn
Eno1	Cabyr
Eno1	Casp1
Eno1	Src
Eno1	Eno4
Eno1	Pgam2
Mdh2	Fbxo32
Mdh2	Uvrag
Mdh2	Isg15
Mdh2	Kcnma1
Mdh2	Cs
Mdh1	HSD17B10
Gpi1	Isg15
Gpi1	HSD17B10
Gpi1	Gpi1
Gpi1	Eed
Gpi1	Parp14
Fbp1	Set
