gene1	gene	score
Gatm	HSD17B10	0.111111111111111
HSD17B10	Pgk1	0.0123456790123457
HSD17B10	Dld	0.0123456790123457
HSD17B10	Hspb2	0.0123456790123457
HSD17B10	Alad	0.0123456790123457
HSD17B10	Rpl35	0.0123456790123457
HSD17B10	Dlat	0.0123456790123457
HSD17B10	Naa11	0.0123456790123457
HSD17B10	Cubn	0.0123456790123457
HSD17B10	Sugct	0.0123456790123457
HSD17B10	Arg2	0.0123456790123457
HSD17B10	Lrp2	0.0123456790123457
HSD17B10	Dpysl2	0.0123456790123457
HSD17B10	Cs	0.0123456790123457
HSD17B10	Pcca	0.0123456790123457
HSD17B10	Acsm2	0.0123456790123457
HSD17B10	Atp6v0e	0.0123456790123457
HSD17B10	Dhtkd1	0.0123456790123457
HSD17B10	Htt	0.0123456790123457
HSD17B10	Atp6v0c	0.0123456790123457
HSD17B10	Ckb	0.0123456790123457
HSD17B10	Pdhb	0.0123456790123457
HSD17B10	Fabp1	0.0123456790123457
HSD17B10	Mdh1	0.0123456790123457
HSD17B10	Suclg1	0.0123456790123457
HSD17B10	Cox5a	0.0123456790123457
HSD17B10	Cpt2	0.0123456790123457
HSD17B10	Fh1	0.0123456790123457
HSD17B10	Sdha	0.0123456790123457
HSD17B10	Cat	0.0123456790123457
HSD17B10	Ndufa7	0.0123456790123457
HSD17B10	Pdha2	0.0123456790123457
HSD17B10	Aspg	0.0123456790123457
HSD17B10	Acy1	0.0123456790123457
HSD17B10	Gsta4	0.0123456790123457
HSD17B10	Aldoc	0.0123456790123457
HSD17B10	Pdhx	0.0123456790123457
HSD17B10	Atp6v1f	0.0123456790123457
HSD17B10	Ass1	0.0123456790123457
HSD17B10	Prdx2	0.0123456790123457
HSD17B10	Psmb5	0.0123456790123457
HSD17B10	Asl	0.0123456790123457
HSD17B10	Gpi1	0.0123456790123457
HSD17B10	Etfb	0.0123456790123457
HSD17B10	Acox1	0.0123456790123457
HSD17B10	Ogdh	0.0123456790123457
HSD17B10	Acnat1	0.0123456790123457
HSD17B10	Pgam2	0.0123456790123457
HSD17B10	Ndufs2	0.0123456790123457
HSD17B10	Fah	0.0123456790123457
HSD17B10	Glul	0.0123456790123457
HSD17B10	Gstm2	0.0123456790123457
HSD17B10	Hspd1	0.0123456790123457
HSD17B10	Acads	0.0123456790123457
HSD17B10	Gapdh	0.0123456790123457
HSD17B10	Hmgcs1	0.0123456790123457
HSD17B10	Acaa2	0.0123456790123457
HSD17B10	Ech1	0.0123456790123457
HSD17B10	Idh3a	0.0123456790123457
HSD17B10	Suclg2	0.0123456790123457
HSD17B10	Dlst	0.0123456790123457
HSD17B10	Aldh3a1	0.0123456790123457
HSD17B10	Ppa2	0.0123456790123457
HSD17B10	Eif3a	0.0123456790123457
HSD17B10	Dbt	0.0123456790123457
HSD17B10	Gatm	0.0123456790123457
HSD17B10	Ces3a	0.0123456790123457
HSD17B10	Paics	0.0123456790123457
HSD17B10	Etfa	0.0123456790123457
HSD17B10	Ivd	0.0123456790123457
HSD17B10	Eno1	0.0123456790123457
HSD17B10	Acss1	0.0123456790123457
HSD17B10	Oat	0.0123456790123457
HSD17B10	Gstm5	0.0123456790123457
HSD17B10	Srp72	0.0123456790123457
HSD17B10	Ldhc	0.0123456790123457
HSD17B10	Pkm	0.0123456790123457
HSD17B10	Acadvl	0.0123456790123457
HSD17B10	Gsta1	0.0123456790123457
HSD17B10	Mccc2	0.0123456790123457
HSD17B10	Idh1	0.0123456790123457
HSD17B10	Eno2	0.0123456790123457
HSD17B10	Acad10	0.0123456790123457
HSD17B10	Gstt1	0.0123456790123457
HSD17B10	Acmsd	0.0123456790123457
HSD17B10	Acadm	0.0123456790123457
HSD17B10	Ldha	0.0123456790123457
HSD17B10	Hgd	0.0123456790123457
HSD17B10	Hspb6	0.0123456790123457
HSD17B10	Gpx1	0.0123456790123457
HSD17B10	Sdhb	0.0123456790123457
HSD17B10	Pdha1	0.0123456790123457
HSD17B10	Mccc1	0.0123456790123457
HSD17B10	Gstp1	0.0123456790123457
HSD17B10	Hadh	0.0123456790123457
HSD17B10	Prdx6	0.0123456790123457
HSD17B10	Ldhb	0.0123456790123457
HSD17B10	Atp6v0d1	0.0123456790123457
HSD17B10	Hmgcl	0.0123456790123457
HSD17B10	Eno3	0.0123456790123457
HSD17B10	Cst3	0.0123456790123457
HSD17B10	Car3	0.0123456790123457
HSD17B10	Ckm	0.0123456790123457
HSD17B10	Acadl	0.0123456790123457
