gene	node_type
ADPGK	gene
GPI1	gene
GPI	gene
PKLR	gene
PKM	gene
ALDOA	gene
ALDOB	gene
ALDOART1	gene
ALDOART2	gene
ALDOC	gene
ENO2	gene
ENO4	gene
ENO3	gene
ENO1	gene
TPI1	gene
ADPGK	PPI
GPI1	PPI
GPI	PPI
PKLR	PPI
PKM	PPI
ALDOA	PPI
ALDOB	PPI
ALDOART1	PPI
ALDOART2	PPI
ALDOC	PPI
ENO2	PPI
ENO4	PPI
ENO3	PPI
ENO1	PPI
TPI1	PPI
AKAP4	PPI
SRC	PPI
ISG15	PPI
HSD17B10	PPI
EED	PPI
PARP14	PPI
UBC	PPI
DVL2	PPI
PARD6A	PPI
SMURF2	PPI
NPHP1	PPI
BRINP1	PPI
CASP3	PPI
PRKCZ	PPI
FBXO32	PPI
PKM	PPI
UBL4A	PPI
ZFYVE21	PPI
LEXM	PPI
HTT	PPI
INVS	PPI
UVRAG	PPI
FGG	PPI
GMPS	PPI
RABGAP1L	PPI
TRAF6	PPI
POU5F1	PPI
NPPA	PPI
CASP7	PPI
PDPK1	PPI
STAM2	PPI
BTK	PPI
KCNMA1	PPI
IQCB1	PPI
HADH	PPI
PRNP	PPI
CHAF1A	PPI
YWHAZ	PPI
NEURL2	PPI
SET	PPI
FYN	PPI
CABYR	PPI
CASP1	PPI
PGAM2	PPI
CDKN2A	PPI
PTK2	PPI
CBL	PPI
NFE2L2	PPI
MDM2	PPI
MAP3K7	PPI
EZH2	PPI
GZMB	PPI
IRAK1	PPI
BCAR1	PPI
TRP53	PPI
IKBKG	PPI
TNFRSF11A	PPI
SUZ12	PPI
RIPK1	PPI
VCP	PPI
UBA52	PPI
MYD88	PPI
NANOG	PPI
SOX2	PPI
PRKAR2B	PPI
PRKAR1A	PPI
PTK2B	PPI
CAV3	PPI
KDR	PPI
KHDRBS1	PPI
MAP1LC3B	PPI
STAT3	PPI
ITGB3	PPI
STAT1	PPI
NFKBIA	PPI
SKIL	PPI
SQSTM1	PPI
TNFAIP3	PPI
OGT	PPI
GATAD2B	PPI
ARID3B	PPI
MTA2	PPI
SALL4	PPI
MBD3	PPI
MDM2	PPI
HDAC1	PPI
DNMT1	PPI
IGF1R	PPI
ITPR1	PPI
UCHL1	PPI
PSMD4	PPI
SMAD7	PPI
MYOD1	PPI
BECN1	PPI
MAP3K3	PPI
CYLD	PPI
TAX1BP1	PPI
UBE2N	PPI
ECSIT	PPI
ESRRB	PPI
MTA1	PPI
GATAD2A	PPI
SMARCC1	PPI
ZFP219	PPI
CHD4	PPI
RCOR2	PPI
NACC1	PPI
NR0B1	PPI
MTA3	PPI
WDR5	PPI
HCFC1	PPI
HELLS	PPI
KDM1A	PPI
SALL1	PPI
CTBP2	PPI
RYBP	PPI
RBBP7	PPI
HDAC2	PPI
HGS	PPI
SYNGAP1	PPI
SLAMF1	PPI
AKAP3	PPI
FSIP1	PPI
GRID2IP	PPI
TRPC1	PPI
SYK	PPI
DAB1	PPI
CSF1R	PPI
ATXN2	PPI
AKT1	PPI
ITGA2	PPI
AGAP2	PPI
JAK2	PPI
INPP5D	PPI
CSN2	PPI
EFS	PPI
PRKACA	PPI
DIAPH1	PPI
EVL	PPI
NGEF	PPI
SOS1	PPI
KRT6A	PPI
GRIN2B	PPI
FRS2	PPI
CSF1R	PPI
GJA1	PPI
PRKCE	PPI
SKP2	PPI
GRIN1	PPI
PDCD6IP	PPI
SHC1	PPI
TRPC5	PPI
TRPC6	PPI
KRT17	PPI
DOK2	PPI
PXN	PPI
HTR4	PPI
GRIN2A	PPI
KIT	PPI
ESR1	PPI
SHC3	PPI
NFATC1	PPI
ENAH	PPI
PDGFRB	PPI
TRPC2	PPI
TRPC4	PPI
ENA	PPI
PTPN1	PPI
HK1	PPI
CCPG1	PPI
SH3BP2	PPI
SHC2	PPI
PIK3C2A	PPI
ADAM12	PPI
STUB1	PPI
CAV1	PPI
GAB1	PPI
EGFR	PPI
ARRB1	PPI
ARRB2	PPI
EFNB1	PPI
DCC	PPI
INSR	PPI
EP300	PPI
RET	PPI
EPHB2	PPI
EFNB2	PPI
SH3BP1	PPI
DDX58	PPI
ARHGEF5	PPI
AATK	PPI
WAS	PPI
CAV2	PPI
ADAM15	PPI
PTPRA	PPI
CSF1	PPI
S1PR1	PPI
SH3GL1	PPI
EPHB1	PPI
SERPINA3G	PPI
JARID2	PPI
EZH1	PPI
PHF19	PPI
TBK1	PPI
PSMD2	PPI
RNF123	PPI
PLEC	PPI
CBLB	PPI
KEAP1	PPI
RELA	PPI
UBE2K	PPI
GATA4	PPI
USP9X	PPI
PPARG	PPI
PSMC2	PPI
HSPA8	PPI
BIRC3	PPI
VIM	PPI
FCHO2	PPI
UIMC1	PPI
SMAD3	PPI
VPS36	PPI
PTEN	PPI
TRAF2	PPI
HUWE1	PPI
OTUB1	PPI
MCL1	PPI
TAB3	PPI
USP8	PPI
RPS3	PPI
FANCD2	PPI
PARP1	PPI
POLI	PPI
UCHL3	PPI
PSMD3	PPI
