gene1	gene	score
Adsl	Foxp3	0.111111111111111
Foxp3	Nfatc2	0.0246913580246914
Foxp3	Aak1	0.0123456790123457
Foxp3	Acin1	0.0123456790123457
Foxp3	Ap2a1	0.0123456790123457
Foxp3	Aplf	0.0123456790123457
Foxp3	Atxn2	0.0123456790123457
Foxp3	Bcl7a	0.0123456790123457
Foxp3	Bclaf1	0.0123456790123457
Foxp3	Camk2d	0.0123456790123457
Foxp3	Cdc5l	0.0123456790123457
Foxp3	Cdca7l	0.0123456790123457
Foxp3	Cdk6	0.0123456790123457
Foxp3	Cnn3	0.0123456790123457
Foxp3	Copb2	0.0123456790123457
Foxp3	Cul3	0.0123456790123457
Foxp3	Ddx51	0.0123456790123457
Foxp3	Dhx36	0.0123456790123457
Foxp3	Dync1li1	0.0123456790123457
Foxp3	Exosc5	0.0123456790123457
Foxp3	Exosc7	0.0123456790123457
Foxp3	Fam129a	0.0123456790123457
Foxp3	Fam76a	0.0123456790123457
Foxp3	Fam98b	0.0123456790123457
Foxp3	Gmps	0.0123456790123457
Foxp3	Gpatch4	0.0123456790123457
Foxp3	Gspt1	0.0123456790123457
Foxp3	Gtpbp4	0.0123456790123457
Foxp3	Haus4	0.0123456790123457
Foxp3	Hnrnpll	0.0123456790123457
Foxp3	Ikzf3	0.0123456790123457
Foxp3	Inpp5d	0.0123456790123457
Foxp3	Kif20b	0.0123456790123457
Foxp3	Kifc1	0.0123456790123457
Foxp3	Krit1	0.0123456790123457
Foxp3	Las1l	0.0123456790123457
Foxp3	Mad2l1	0.0123456790123457
Foxp3	Map2k1	0.0123456790123457
Foxp3	Max	0.0123456790123457
Foxp3	Med19	0.0123456790123457
Foxp3	Ncapg2	0.0123456790123457
Foxp3	Nckap1l	0.0123456790123457
Foxp3	Nup88	0.0123456790123457
Foxp3	Polr2a	0.0123456790123457
Foxp3	Ppig	0.0123456790123457
Foxp3	Ppil2	0.0123456790123457
Foxp3	Prpf4b	0.0123456790123457
Foxp3	Rac2	0.0123456790123457
Foxp3	Ranbp2	0.0123456790123457
Foxp3	Sltm	0.0123456790123457
Foxp3	Smarce1	0.0123456790123457
Foxp3	Smchd1	0.0123456790123457
Foxp3	Stat3	0.0123456790123457
Foxp3	Suz12	0.0123456790123457
Foxp3	Thoc3	0.0123456790123457
Foxp3	Tln1	0.0123456790123457
Foxp3	Tubgcp3	0.0123456790123457
Foxp3	Uso1	0.0123456790123457
Foxp3	Vezf1	0.0123456790123457
Foxp3	Zfp148	0.0123456790123457
Foxp3	Zfp326	0.0123456790123457
Foxp3	Zfp512	0.0123456790123457
Foxp3	Nfatc1	0.0123456790123457
Foxp3	RUNX2	0.0123456790123457
Foxp3	Virma	0.0123456790123457
Foxp3	Irf2bpl	0.0123456790123457
Foxp3	Aatf	0.0123456790123457
Foxp3	Acsl4	0.0123456790123457
Foxp3	Adar	0.0123456790123457
Foxp3	Add1	0.0123456790123457
Foxp3	Arhgef1	0.0123456790123457
Foxp3	Prrc2a	0.0123456790123457
Foxp3	Bax	0.0123456790123457
Foxp3	Bcl7c	0.0123456790123457
Foxp3	Cbx4	0.0123456790123457
Foxp3	Cd2ap	0.0123456790123457
Foxp3	Cd2bp2	0.0123456790123457
Foxp3	Cdk11b	0.0123456790123457
Foxp3	Chd4	0.0123456790123457
Foxp3	Chd8	0.0123456790123457
Foxp3	Coro1a	0.0123456790123457
Foxp3	Coro1c	0.0123456790123457
Foxp3	Cse1l	0.0123456790123457
Foxp3	Ddx41	0.0123456790123457
Foxp3	Dera	0.0123456790123457
Foxp3	Dhx37	0.0123456790123457
Foxp3	Dpy30	0.0123456790123457
Foxp3	Etv3	0.0123456790123457
Foxp3	Gas2l3	0.0123456790123457
Foxp3	Gatad2a	0.0123456790123457
Foxp3	Gtf2e1	0.0123456790123457
Foxp3	H2afx	0.0123456790123457
Foxp3	Ik	0.0123456790123457
Foxp3	Ints10	0.0123456790123457
Foxp3	Ints6	0.0123456790123457
Foxp3	Kri1	0.0123456790123457
Foxp3	Lat	0.0123456790123457
Foxp3	Mcm10	0.0123456790123457
Foxp3	Nacc1	0.0123456790123457
Foxp3	Ncaph2	0.0123456790123457
Foxp3	Noc4l	0.0123456790123457
Foxp3	Npm3	0.0123456790123457
Foxp3	Orc2	0.0123456790123457
Foxp3	Park7	0.0123456790123457
Foxp3	Pdcd4	0.0123456790123457
Foxp3	Ppp2r5a	0.0123456790123457
Foxp3	Prpf6	0.0123456790123457
Foxp3	Rbm5	0.0123456790123457
Foxp3	Rbmx2	0.0123456790123457
Foxp3	Rif1	0.0123456790123457
Foxp3	Rpa1	0.0123456790123457
Foxp3	Rps19bp1	0.0123456790123457
Foxp3	Snrnp70	0.0123456790123457
Foxp3	Snrpa	0.0123456790123457
Foxp3	Sp2	0.0123456790123457
Foxp3	Taf1	0.0123456790123457
Foxp3	Trim56	0.0123456790123457
Foxp3	Trp53	0.0123456790123457
Foxp3	Utp14a	0.0123456790123457
Foxp3	Utp3	0.0123456790123457
Foxp3	Wdr36	0.0123456790123457
Foxp3	Nsd3	0.0123456790123457
Foxp3	Zcchc8	0.0123456790123457
Foxp3	Zfp346	0.0123456790123457
Foxp3	Kat5	0.0123456790123457
Foxp3	Ikzf4	0.0123456790123457
Foxp3	Foxp3	0.0123456790123457
Foxp3	Trmt1l	0.0123456790123457
Foxp3	Acacb	0.0123456790123457
Foxp3	Ahctf1	0.0123456790123457
Foxp3	Anapc7	0.0123456790123457
Foxp3	Ap2b1	0.0123456790123457
Foxp3	Ap3s1	0.0123456790123457
Foxp3	Baz1a	0.0123456790123457
Foxp3	Bop1	0.0123456790123457
Foxp3	Cenpq	0.0123456790123457
Foxp3	Chd1l	0.0123456790123457
Foxp3	Clasp2	0.0123456790123457
Foxp3	Copb1	0.0123456790123457
Foxp3	Csnk1d	0.0123456790123457
Foxp3	Specc1	0.0123456790123457
Foxp3	Knstrn	0.0123456790123457
Foxp3	Dbnl	0.0123456790123457
Foxp3	Dync1h1	0.0123456790123457
Foxp3	Eif4g3	0.0123456790123457
Foxp3	Elf4	0.0123456790123457
Foxp3	Fam98a	0.0123456790123457
Foxp3	Fmnl1	0.0123456790123457
Foxp3	Foxp4	0.0123456790123457
Foxp3	Fyttd1	0.0123456790123457
Foxp3	Nop53	0.0123456790123457
Foxp3	Gtf3c1	0.0123456790123457
Foxp3	H1f0	0.0123456790123457
Foxp3	Hdac3	0.0123456790123457
Foxp3	Heatr1	0.0123456790123457
Foxp3	Akp3	0.0123456790123457
Foxp3	Ints3	0.0123456790123457
Foxp3	Kif11	0.0123456790123457
Foxp3	Kpna3	0.0123456790123457
Foxp3	Lcp1	0.0123456790123457
Foxp3	Lims1	0.0123456790123457
Foxp3	Lpxn	0.0123456790123457
Foxp3	Map2k2	0.0123456790123457
Foxp3	Med15	0.0123456790123457
Foxp3	Mphosph10	0.0123456790123457
Foxp3	Msh6	0.0123456790123457
Foxp3	Msl1	0.0123456790123457
Foxp3	Ncapg	0.0123456790123457
Foxp3	Paics	0.0123456790123457
Foxp3	Patz1	0.0123456790123457
Foxp3	Phf3	0.0123456790123457
Foxp3	Plk1	0.0123456790123457
Foxp3	Pwp2	0.0123456790123457
Foxp3	Rad21	0.0123456790123457
Foxp3	Rbm34	0.0123456790123457
Foxp3	Rcor1	0.0123456790123457
Foxp3	Rexo4	0.0123456790123457
Foxp3	Rnps1	0.0123456790123457
Foxp3	Ptbp3	0.0123456790123457
Foxp3	Rrm2	0.0123456790123457
Foxp3	Rrp8	0.0123456790123457
Foxp3	Smarcc1	0.0123456790123457
Foxp3	Tbl1xr1	0.0123456790123457
Foxp3	Top1	0.0123456790123457
Foxp3	Wdr76	0.0123456790123457
Foxp3	Nsd2	0.0123456790123457
Foxp3	Wiz	0.0123456790123457
Foxp3	Xab2	0.0123456790123457
Foxp3	Ythdf2	0.0123456790123457
Foxp3	Uba52	0.0123456790123457
Foxp3	Pparg	0.0123456790123457
Foxp3	Rorc	0.0123456790123457
Foxp3	NFATC2	0.0123456790123457
Foxp3	RUNX3	0.0123456790123457
Foxp3	2310022A10Rik	0.0123456790123457
Foxp3	Adsl	0.0123456790123457
Foxp3	Arid1a	0.0123456790123457
Foxp3	Arih1	0.0123456790123457
Foxp3	Arpc1b	0.0123456790123457
Foxp3	Atad5	0.0123456790123457
Foxp3	Atr	0.0123456790123457
Foxp3	Brd7	0.0123456790123457
Foxp3	Ccdc137	0.0123456790123457
Foxp3	Ccnb1	0.0123456790123457
Foxp3	Ctps	0.0123456790123457
Foxp3	Dhx30	0.0123456790123457
Foxp3	Eif2s2	0.0123456790123457
Foxp3	Ercc3	0.0123456790123457
Foxp3	Fasn	0.0123456790123457
Foxp3	Gcn1l1	0.0123456790123457
Foxp3	Gtse1	0.0123456790123457
Foxp3	Hdac1	0.0123456790123457
Foxp3	Igf2bp3	0.0123456790123457
Foxp3	Ino80e	0.0123456790123457
Foxp3	Iqgap1	0.0123456790123457
Foxp3	Leng8	0.0123456790123457
Foxp3	Lrrc40	0.0123456790123457
Foxp3	Map2k7	0.0123456790123457
Foxp3	Map7d1	0.0123456790123457
Foxp3	Myef2	0.0123456790123457
Foxp3	Noc2l	0.0123456790123457
Foxp3	Nup155	0.0123456790123457
Foxp3	Pdcd6ip	0.0123456790123457
Foxp3	Pfkl	0.0123456790123457
Foxp3	Phc2	0.0123456790123457
Foxp3	Plrg1	0.0123456790123457
Foxp3	Pold1	0.0123456790123457
Foxp3	Rad51	0.0123456790123457
Foxp3	Rap1a	0.0123456790123457
Foxp3	Rbm28	0.0123456790123457
Foxp3	Sugp1	0.0123456790123457
Foxp3	Sipa1l1	0.0123456790123457
Foxp3	Sirt7	0.0123456790123457
Foxp3	Slu7	0.0123456790123457
Foxp3	Taf6l	0.0123456790123457
Foxp3	Tdrd3	0.0123456790123457
Foxp3	Tfip11	0.0123456790123457
Foxp3	Tsr1	0.0123456790123457
Foxp3	Tubgcp2	0.0123456790123457
Foxp3	Utp15	0.0123456790123457
Foxp3	Vav1	0.0123456790123457
Foxp3	Yy1	0.0123456790123457
Foxp3	Zbtb33	0.0123456790123457
Foxp3	Irf4	0.0123456790123457
Foxp3	Runx2	0.0123456790123457
Foxp3	Icos	0.0123456790123457
Foxp3	Tbp	0.0123456790123457
Foxp3	Qk	0.0123456790123457
Foxp3	Scaf11	0.0123456790123457
Foxp3	Foxp1	0.0123456790123457
Foxp3	Alyref	0.0123456790123457
Foxp3	Foxo1	0.0123456790123457
Foxp3	Kif4	0.0123456790123457
Foxp3	Mapre2	0.0123456790123457
Foxp3	Arcn1	0.0123456790123457
Foxp3	Rbm8a	0.0123456790123457
Foxp3	Imp4	0.0123456790123457
Foxp3	Topbp1	0.0123456790123457
Foxp3	Fyb	0.0123456790123457
Foxp3	Stub1	0.0123456790123457
Foxp3	Mllt10	0.0123456790123457
Foxp3	Git2	0.0123456790123457
Foxp3	Nol10	0.0123456790123457
Foxp3	Hnrnpl	0.0123456790123457
Foxp3	Irf1	0.0123456790123457
Foxp3	Sgf29	0.0123456790123457
Foxp3	Gata3	0.0123456790123457
Foxp3	Strap	0.0123456790123457
Foxp3	Srp72	0.0123456790123457
Foxp3	Senp3	0.0123456790123457
Foxp3	Bptf	0.0123456790123457
Foxp3	Tuba1c	0.0123456790123457
Foxp3	Srrm1	0.0123456790123457
Foxp3	Map4	0.0123456790123457
Foxp3	Sf3a3	0.0123456790123457
Foxp3	Ufd1	0.0123456790123457
Foxp3	Cnot3	0.0123456790123457
Foxp3	Bcl11b	0.0123456790123457
Foxp3	Clk3	0.0123456790123457
Foxp3	Traf3ip3	0.0123456790123457
Foxp3	Luc7l	0.0123456790123457
Foxp3	Rsbn1	0.0123456790123457
Foxp3	Ssbp3	0.0123456790123457
Foxp3	Orc3	0.0123456790123457
Foxp3	Nol12	0.0123456790123457
