gene	node_type
ADSL	gene
ADSL	PPI
FOXP3	PPI
NFATC2	PPI
AAK1	PPI
ACIN1	PPI
AP2A1	PPI
APLF	PPI
ATXN2	PPI
BCL7A	PPI
BCLAF1	PPI
CAMK2D	PPI
CDC5L	PPI
CDCA7L	PPI
CDK6	PPI
CNN3	PPI
COPB2	PPI
CUL3	PPI
DDX51	PPI
DHX36	PPI
DYNC1LI1	PPI
EXOSC5	PPI
EXOSC7	PPI
FAM129A	PPI
FAM76A	PPI
FAM98B	PPI
GMPS	PPI
GPATCH4	PPI
GSPT1	PPI
GTPBP4	PPI
HAUS4	PPI
HNRNPLL	PPI
IKZF3	PPI
INPP5D	PPI
KIF20B	PPI
KIFC1	PPI
KRIT1	PPI
LAS1L	PPI
MAD2L1	PPI
MAP2K1	PPI
MAX	PPI
MED19	PPI
NCAPG2	PPI
NCKAP1L	PPI
NUP88	PPI
POLR2A	PPI
PPIG	PPI
PPIL2	PPI
PRPF4B	PPI
RAC2	PPI
RANBP2	PPI
SLTM	PPI
SMARCE1	PPI
SMCHD1	PPI
STAT3	PPI
SUZ12	PPI
THOC3	PPI
TLN1	PPI
TUBGCP3	PPI
USO1	PPI
VEZF1	PPI
ZFP148	PPI
ZFP326	PPI
ZFP512	PPI
NFATC1	PPI
RUNX2	PPI
VIRMA	PPI
IRF2BPL	PPI
AATF	PPI
ACSL4	PPI
ADAR	PPI
ADD1	PPI
ARHGEF1	PPI
PRRC2A	PPI
BAX	PPI
BCL7C	PPI
CBX4	PPI
CD2AP	PPI
CD2BP2	PPI
CDK11B	PPI
CHD4	PPI
CHD8	PPI
CORO1A	PPI
CORO1C	PPI
CSE1L	PPI
DDX41	PPI
DERA	PPI
DHX37	PPI
DPY30	PPI
ETV3	PPI
GAS2L3	PPI
GATAD2A	PPI
GTF2E1	PPI
H2AFX	PPI
IK	PPI
INTS10	PPI
INTS6	PPI
KRI1	PPI
LAT	PPI
MCM10	PPI
NACC1	PPI
NCAPH2	PPI
NOC4L	PPI
NPM3	PPI
ORC2	PPI
PARK7	PPI
PDCD4	PPI
PPP2R5A	PPI
PRPF6	PPI
RBM5	PPI
RBMX2	PPI
RIF1	PPI
RPA1	PPI
RPS19BP1	PPI
SNRNP70	PPI
SNRPA	PPI
SP2	PPI
TAF1	PPI
TRIM56	PPI
TRP53	PPI
UTP14A	PPI
UTP3	PPI
WDR36	PPI
NSD3	PPI
ZCCHC8	PPI
ZFP346	PPI
KAT5	PPI
IKZF4	PPI
TRMT1L	PPI
ACACB	PPI
AHCTF1	PPI
ANAPC7	PPI
AP2B1	PPI
AP3S1	PPI
BAZ1A	PPI
BOP1	PPI
CENPQ	PPI
CHD1L	PPI
CLASP2	PPI
COPB1	PPI
CSNK1D	PPI
SPECC1	PPI
KNSTRN	PPI
DBNL	PPI
DYNC1H1	PPI
EIF4G3	PPI
ELF4	PPI
FAM98A	PPI
FMNL1	PPI
FOXP4	PPI
FYTTD1	PPI
NOP53	PPI
GTF3C1	PPI
H1F0	PPI
HDAC3	PPI
HEATR1	PPI
AKP3	PPI
INTS3	PPI
KIF11	PPI
KPNA3	PPI
LCP1	PPI
LIMS1	PPI
LPXN	PPI
MAP2K2	PPI
MED15	PPI
MPHOSPH10	PPI
MSH6	PPI
MSL1	PPI
NCAPG	PPI
PAICS	PPI
PATZ1	PPI
PHF3	PPI
PLK1	PPI
PWP2	PPI
RAD21	PPI
RBM34	PPI
RCOR1	PPI
REXO4	PPI
RNPS1	PPI
PTBP3	PPI
RRM2	PPI
RRP8	PPI
SMARCC1	PPI
TBL1XR1	PPI
TOP1	PPI
WDR76	PPI
NSD2	PPI
WIZ	PPI
XAB2	PPI
YTHDF2	PPI
UBA52	PPI
PPARG	PPI
RORC	PPI
NFATC2	PPI
RUNX3	PPI
2310022A10RIK	PPI
ARID1A	PPI
ARIH1	PPI
ARPC1B	PPI
ATAD5	PPI
ATR	PPI
BRD7	PPI
CCDC137	PPI
CCNB1	PPI
CTPS	PPI
DHX30	PPI
EIF2S2	PPI
ERCC3	PPI
FASN	PPI
GCN1L1	PPI
GTSE1	PPI
HDAC1	PPI
IGF2BP3	PPI
INO80E	PPI
IQGAP1	PPI
LENG8	PPI
LRRC40	PPI
MAP2K7	PPI
MAP7D1	PPI
MYEF2	PPI
NOC2L	PPI
NUP155	PPI
PDCD6IP	PPI
PFKL	PPI
PHC2	PPI
PLRG1	PPI
POLD1	PPI
RAD51	PPI
RAP1A	PPI
RBM28	PPI
SUGP1	PPI
SIPA1L1	PPI
SIRT7	PPI
SLU7	PPI
TAF6L	PPI
TDRD3	PPI
TFIP11	PPI
TSR1	PPI
TUBGCP2	PPI
UTP15	PPI
VAV1	PPI
YY1	PPI
ZBTB33	PPI
IRF4	PPI
RUNX2	PPI
ICOS	PPI
TBP	PPI
QK	PPI
SCAF11	PPI
FOXP1	PPI
ALYREF	PPI
