gene	node_type
OTC	gene
OAT	gene
PYCR2	gene
PYCR1	gene
PYCR3	gene
OTC	PPI
OAT	PPI
PYCR2	PPI
PYCR1	PPI
PYCR3	PPI
HSD17B10	PPI
KCNMA1	PPI
EED	PPI
CEBPA	PPI
EZH2	PPI
SUZ12	PPI
CEBPB	PPI
HDAC1	PPI
DDIT3	PPI
CDK4	PPI
HSPA8	PPI
JARID2	PPI
EZH1	PPI
PHF19	PPI
SREBF1	PPI
FOXO1	PPI
RB1	PPI
BCL2	PPI
WDR5	PPI
SPI1	PPI
PGK1	PPI
DLD	PPI
HSPB2	PPI
ALAD	PPI
RPL35	PPI
DLAT	PPI
NAA11	PPI
CUBN	PPI
SUGCT	PPI
ARG2	PPI
LRP2	PPI
DPYSL2	PPI
CS	PPI
PCCA	PPI
ACSM2	PPI
ATP6V0E	PPI
DHTKD1	PPI
HTT	PPI
ATP6V0C	PPI
CKB	PPI
PDHB	PPI
FABP1	PPI
MDH1	PPI
SUCLG1	PPI
COX5A	PPI
CPT2	PPI
FH1	PPI
SDHA	PPI
CAT	PPI
NDUFA7	PPI
PDHA2	PPI
ASPG	PPI
ACY1	PPI
GSTA4	PPI
ALDOC	PPI
PDHX	PPI
ATP6V1F	PPI
ASS1	PPI
PRDX2	PPI
PSMB5	PPI
ASL	PPI
GPI1	PPI
ETFB	PPI
ACOX1	PPI
OGDH	PPI
ACNAT1	PPI
PGAM2	PPI
NDUFS2	PPI
FAH	PPI
GLUL	PPI
GSTM2	PPI
HSPD1	PPI
ACADS	PPI
GAPDH	PPI
HMGCS1	PPI
ACAA2	PPI
ECH1	PPI
IDH3A	PPI
SUCLG2	PPI
DLST	PPI
ALDH3A1	PPI
PPA2	PPI
EIF3A	PPI
DBT	PPI
GATM	PPI
CES3A	PPI
PAICS	PPI
ETFA	PPI
IVD	PPI
ENO1	PPI
ACSS1	PPI
GSTM5	PPI
SRP72	PPI
LDHC	PPI
PKM	PPI
ACADVL	PPI
GSTA1	PPI
MCCC2	PPI
IDH1	PPI
ENO2	PPI
ACAD10	PPI
GSTT1	PPI
ACMSD	PPI
ACADM	PPI
LDHA	PPI
HGD	PPI
HSPB6	PPI
GPX1	PPI
SDHB	PPI
PDHA1	PPI
MCCC1	PPI
GSTP1	PPI
HADH	PPI
PRDX6	PPI
LDHB	PPI
ATP6V0D1	PPI
HMGCL	PPI
ENO3	PPI
CST3	PPI
CAR3	PPI
CKM	PPI
ACADL	PPI
CEP290	PPI
COL1A1	PPI
APOH	PPI
FGB	PPI
RUVBL1	PPI
VAT1	PPI
PSMD11	PPI
PRX	PPI
NUDC	PPI
HPCAL1	PPI
PPIA	PPI
CFL1	PPI
DDAH1	PPI
PGRMC2	PPI
RAP1A	PPI
RPL12	PPI
GDI1	PPI
CTBP1	PPI
CALB2	PPI
CBX1	PPI
RAB1A	PPI
CMPK1	PPI
LGALS1	PPI
MDH2	PPI
MPZ	PPI
AMPD2	PPI
TUBGCP2	PPI
ATP1A2	PPI
KLC2	PPI
TNK2	PPI
STXBP1	PPI
HPCA	PPI
MYH1	PPI
HPX	PPI
ATP5B	PPI
ATP5A1	PPI
MBP	PPI
LCP1	PPI
TRF	PPI
SUCLA2	PPI
ALDH6A1	PPI
SPR	PPI
ARHGDIB	PPI
AK1	PPI
TAGLN	PPI
ATP1A1	PPI
PIK3R4	PPI
ACTR1A	PPI
TUBGCP3	PPI
CTTN	PPI
CACNA1H	PPI
HSPA9	PPI
HSPA2	PPI
INA	PPI
SERPINA1B	PPI
ACTB	PPI
CADM3	PPI
ANXA3	PPI
APOA1	PPI
YWHAG	PPI
CAR2	PPI
PEBP1	PPI
PARK7	PPI
CRYAB	PPI
KNG1	PPI
HNRNPK	PPI
EIF4A2	PPI
YWHAB	PPI
YWHAZ	PPI
APRT	PPI
TPI1	PPI
GSTM1	PPI
COL1A2	PPI
A830010M20RIK	PPI
TUBG1	PPI
DNM1	PPI
KIF5C	PPI
CALM1	PPI
ATP1B1	PPI
KCNMB1	PPI
VCP	PPI
LMNA	PPI
TKT	PPI
SERPINA3K	PPI
STIP1	PPI
GC	PPI
AHSG	PPI
PDIA3	PPI
GLUD1	PPI
NDRG1	PPI
NEFM	PPI
EIF3F	PPI
ALDOA	PPI
YWHAQ	PPI
TALDO1	PPI
RAB11B	PPI
YWHAE	PPI
PDXK	PPI
MTAP	PPI
ALB	PPI
INPP1	PPI
SERPINB6A	PPI
UCHL1	PPI
HEBP1	PPI
INMT	PPI
ACTR1B	PPI
ATP1A3	PPI
ST8SIA2	PPI
TRP53	PPI
CCT2	PPI
PSMA7	PPI
VDAC1	PPI
STX1A	PPI
HSPA5	PPI
MGST1	PPI
IDI1	PPI
RCN3	PPI
KHDRBS1	PPI
CALR	PPI
ANXA7	PPI
HSPA1L	PPI
TUBA1A	PPI
HBB-B1	PPI
