gene	node_type
RRM1	gene
RRM2	gene
RRM2B	gene
TYMS	gene
DTYMK	gene
NDK3	gene
NME3	gene
NME2	gene
GM20390	gene
NME6	gene
NME4	gene
NME1	gene
NME7	gene
RRM1	PPI
RRM2	PPI
RRM2B	PPI
TYMS	PPI
DTYMK	PPI
NDK3	PPI
NME3	PPI
NME2	PPI
GM20390	PPI
NME6	PPI
NME4	PPI
NME1	PPI
NME7	PPI
KAT5	PPI
EED	PPI
CDH1	PPI
FZR1.L	PPI
FZR1	PPI
RYR1	PPI
FOXP3	PPI
UBC	PPI
RORA	PPI
ITGB1	PPI
MAPK14	PPI
IKBKB	PPI
RORB	PPI
PPP2CA	PPI
PIK3R1	PPI
UVRAG	PPI
RARA	PPI
NFE2L2	PPI
CTNNB1	PPI
IRS1	PPI
EZH2	PPI
IKBKG	PPI
PIK3CA	PPI
TRP53	PPI
SUZ12	PPI
RIPK1	PPI
VCP	PPI
ATF2	PPI
CDC27	PPI
STAT1	PPI
NFKBIA	PPI
SKIL	PPI
SQSTM1	PPI
ITGA5	PPI
ITGA3	PPI
NRIP1	PPI
HDAC1	PPI
DNMT1	PPI
IGF1R	PPI
ITPR1	PPI
UCHL1	PPI
PSMD4	PPI
NFKBIA	PPI
GAB1	PPI
IRS2	PPI
PIK3CB	PPI
BECN1	PPI
PITX2	PPI
JARID2	PPI
EZH1	PPI
PHF19	PPI
NUMB	PPI
PSEN1	PPI
CTNND1	PPI
SKP2	PPI
CTNNA1	PPI
TCF3	PPI
FKBP1A	PPI
NFATC2	PPI
TBK1	PPI
PSMD2	PPI
RNF123	PPI
PLEC	PPI
CBLB	PPI
KEAP1	PPI
RELA	PPI
UBE2K	PPI
GATA4	PPI
USP9X	PPI
TAX1BP1	PPI
PPARG	PPI
PSMC2	PPI
HSPA8	PPI
BIRC3	PPI
VIM	PPI
FCHO2	PPI
UIMC1	PPI
SMAD3	PPI
VPS36	PPI
PTEN	PPI
STAM2	PPI
TRAF2	PPI
HUWE1	PPI
OTUB1	PPI
MCL1	PPI
TAB3	PPI
USP8	PPI
RPS3	PPI
FANCD2	PPI
PARP1	PPI
POLI	PPI
TNFAIP3	PPI
UCHL3	PPI
PSMD3	PPI
SMAD2	PPI
AGO2	PPI
UCHL5	PPI
NR3C2	PPI
PSMC1	PPI
MYSM1	PPI
HSP90AA1	PPI
TAB2	PPI
HTT	PPI
HGS	PPI
UFD1	PPI
ARHGEF2	PPI
CYLD	PPI
USP4	PPI
NBR1	PPI
TARDBP	PPI
MYOG	PPI
TNK2	PPI
HDAC6	PPI
PSMC6	PPI
RFC1	PPI
SMAD1	PPI
TRIM32	PPI
MYOD1	PPI
FANCI	PPI
PKD2	PPI
UBE2N	PPI
ADRM1	PPI
MDM2	PPI
NCSTN	PPI
ITGA6	PPI
FERMT2	PPI
ITGA2	PPI
ZAP70	PPI
TAB1	PPI
NFKBIB	PPI
AKT1	PPI
TRAPPC9	PPI
MAP3K7	PPI
TNFRSF1A	PPI
PPP2R1A	PPI
IGBP1	PPI
AXIN1	PPI
CSF1R	PPI
CD28	PPI
PTK2	PPI
KIT	PPI
BTK	PPI
FYN	PPI
IRS1	PPI
PDGFRB	PPI
JAK2	PPI
THRB	PPI
TLR2	PPI
MED1	PPI
ATXN1	PPI
SLY	PPI
BRD8	PPI
SPTAN1	PPI
STAT2	PPI
FLNA	PPI
RAB5C	PPI
TPR	PPI
RUVBL1	PPI
ING3	PPI
RPS18	PPI
1700013H16RIK	PPI
RUVBL2	PPI
RANGAP1	PPI
FLII	PPI
ARID1B	PPI
TBRG1	PPI
MEAF6	PPI
MORF4L1	PPI
H2AFV	PPI
HDX	PPI
TRIM28	PPI
DMAP1	PPI
SETX	PPI
GM20850	PPI
GM20845	PPI
SUN2	PPI
TUBA1A	PPI
SPTBN1	PPI
YEATS4	PPI
ACTB	PPI
ATM	PPI
ACTG1	PPI
EPC1	PPI
TUBB5	PPI
MRGBP	PPI
ABL1	PPI
HNRNPF	PPI
HIST2H2BB	PPI
MBTD1	PPI
LRRFIP2	PPI
ACTL6A	PPI
SF3B1	PPI
SFPQ	PPI
VPS72	PPI
PLA2G4A	PPI
EP400	PPI
EPC2	PPI
ACTA1	PPI
TRRAP	PPI
STK38	PPI
MORF4L2	PPI
BMI1	PPI
EIF3E	PPI
EPRS	PPI
SLC25A12	PPI
WDR12	PPI
SMARCA1	PPI
DNMT3B	PPI
PRPF19	PPI
XPO1	PPI
BOP1	PPI
ATP5C1	PPI
METTL16	PPI
MYADM	PPI
POLR2A	PPI
KPNA2	PPI
RPL23A	PPI
AHCTF1	PPI
UTP6	PPI
PBRM1	PPI
PFN1	PPI
HCFC1	PPI
SLC25A13	PPI
POLD1	PPI
CPSF6	PPI
NUP188	PPI
DDX51	PPI
MCM7	PPI
HNRNPH1	PPI
CFL1	PPI
RPL10A	PPI
RPL11	PPI
EFHD2	PPI
KRT10	PPI
COL4A2	PPI
PSMD1	PPI
FYTTD1	PPI
