gene1	gene	score
Txnrd1	Cav1	0.111111111111111
Txnrd2	Pcbp1	0.111111111111111
Txnrd3	Rabl2	0.111111111111111
Cav1	Cav2	0.0246913580246914
Cav1	Pla2g4a	0.0246913580246914
Cav1	Csk	0.0246913580246914
Cav1	SCP2	0.0123456790123457
Cav1	Scp2	0.0123456790123457
Cav1	MCL1	0.0123456790123457
Cav1	Src	0.0123456790123457
Cav1	Actb	0.0123456790123457
Cav1	Cavin1	0.0123456790123457
Cav1	Txnrd1	0.0123456790123457
Cav1	Ncf1	0.0123456790123457
Cav1	Cdc42	0.0123456790123457
Cav1	Trpc4	0.0123456790123457
Cav1	Rhoa	0.0123456790123457
Cav1	Insr	0.0123456790123457
Cav1	CAVIN2	0.0123456790123457
Cav1	Tlr4	0.0123456790123457
Cav1	Nos3	0.0123456790123457
Cav1	Trpc1	0.0123456790123457
Cav1	Dnm1	0.0123456790123457
Cav1	Stoml3	0.0123456790123457
Cav1	Tgfbr1	0.0123456790123457
Cav1	Rac1	0.0123456790123457
Cav1	Nf1	0.0123456790123457
Cav1	MLC1	0.0123456790123457
Cav1	Itpr3	0.0123456790123457
Cav1	Pparg	0.0123456790123457
Cav1	Jak2	0.0123456790123457
Cav1	Bmpr2	0.0123456790123457
Cav1	Flot1	0.0123456790123457
Cav1	Park2	0.0123456790123457
Cav1	Adcy3	0.0123456790123457
Pcbp1	Fbxo32	0.0123456790123457
Pcbp1	Gnb2	0.0123456790123457
Pcbp1	Fryl	0.0123456790123457
Pcbp1	Hdac9	0.0123456790123457
Pcbp1	Iqcb1	0.0123456790123457
Pcbp1	Stat3	0.0123456790123457
Pcbp1	Otx2	0.0123456790123457
Pcbp1	Txnrd2	0.0123456790123457
Pcbp1	Eed	0.0123456790123457
Rabl2	Psmd2	0.0123456790123457
Rabl2	Paip1	0.0123456790123457
Rabl2	Cse1l	0.0123456790123457
Rabl2	Cul3	0.0123456790123457
Rabl2	Tsnax	0.0123456790123457
Rabl2	Ift172	0.0123456790123457
Rabl2	Gsn	0.0123456790123457
Rabl2	Erp44	0.0123456790123457
Rabl2	Cul5	0.0123456790123457
Rabl2	Hsp90aa1	0.0123456790123457
Rabl2	Hspa2	0.0123456790123457
Rabl2	Hk1	0.0123456790123457
Rabl2	Kpnb1	0.0123456790123457
Rabl2	Clu	0.0123456790123457
Rabl2	Serpina3k	0.0123456790123457
Rabl2	Tardbp	0.0123456790123457
Rabl2	Lta4h	0.0123456790123457
Rabl2	Tnpo2	0.0123456790123457
Rabl2	Aars	0.0123456790123457
Rabl2	Actn4	0.0123456790123457
Rabl2	Shcbp1l	0.0123456790123457
Rabl2	Slc44a2	0.0123456790123457
Rabl2	Atp6v1e1	0.0123456790123457
Rabl2	Flna	0.0123456790123457
Rabl2	Ift81	0.0123456790123457
Rabl2	Usp5	0.0123456790123457
Rabl2	Cct6a	0.0123456790123457
Rabl2	Spesp1	0.0123456790123457
Rabl2	Xpo1	0.0123456790123457
Rabl2	Hspa5	0.0123456790123457
Rabl2	Cfap36	0.0123456790123457
Rabl2	Vcp	0.0123456790123457
Rabl2	Uso1	0.0123456790123457
Rabl2	Uba1	0.0123456790123457
Rabl2	Hsp90b1	0.0123456790123457
Rabl2	Ado	0.0123456790123457
Rabl2	Tnpo1	0.0123456790123457
Rabl2	Cct3	0.0123456790123457
Rabl2	Trf	0.0123456790123457
Rabl2	Entpd2	0.0123456790123457
Rabl2	Ipo5	0.0123456790123457
Rabl2	Fam49b	0.0123456790123457
Rabl2	Sfpq	0.0123456790123457
Rabl2	Psmd11	0.0123456790123457
Rabl2	Psmd3	0.0123456790123457
Rabl2	Ipo7	0.0123456790123457
Rabl2	Apoa1	0.0123456790123457
Rabl2	Cand1	0.0123456790123457
Rabl2	Hsp90ab1	0.0123456790123457
Rabl2	Tbcb	0.0123456790123457
Rabl2	Wdr77	0.0123456790123457
Rabl2	Spata20	0.0123456790123457
Rabl2	Txnrd3	0.0123456790123457
Rabl2	Nsfl1c	0.0123456790123457
Rabl2	Ckb	0.0123456790123457
Rabl2	Apoe	0.0123456790123457
Rabl2	Ywhae	0.0123456790123457
Rabl2	Ldhc	0.0123456790123457
Rabl2	Alpl	0.0123456790123457
Rabl2	Hspa8	0.0123456790123457
Rabl2	Tpm3	0.0123456790123457
Rabl2	Eef1b2	0.0123456790123457
Rabl2	Rdx	0.0123456790123457
Rabl2	Vcl	0.0123456790123457
Rabl2	Slc3a2	0.0123456790123457
Rabl2	Tomm34	0.0123456790123457
Rabl2	Rrbp1	0.0123456790123457
Rabl2	Dlgap4	0.0123456790123457
Rabl2	Vps35	0.0123456790123457
Rabl2	Dpep3	0.0123456790123457
Rabl2	Ppm1g	0.0123456790123457
Rabl2	Ift27	0.0123456790123457
Rabl2	Nudc	0.0123456790123457
Rabl2	Nasp	0.0123456790123457
Rabl2	Xpo7	0.0123456790123457
Rabl2	Stip1	0.0123456790123457
Rabl2	Tkfc	0.0123456790123457
Rabl2	Ppp2r1a	0.0123456790123457
Rabl2	Ace	0.0123456790123457
Rabl2	Cyb5r3	0.0123456790123457
Rabl2	Eef2	0.0123456790123457
Rabl2	Acta2	0.0123456790123457
Rabl2	Mapre1	0.0123456790123457
Rabl2	Plcd1	0.0123456790123457
Rabl2	Hspa4l	0.0123456790123457
Rabl2	Cul4a	0.0123456790123457
Rabl2	Aldh1l1	0.0123456790123457
Rabl2	Me1	0.0123456790123457
