gene1	gene	score
CYS3	CYS3	0.222222222222222
CYS3	SSA1	0.222222222222222
CYS3	SSB1	0.222222222222222
SSB1	SSE1	0.222222222222222
SSA1	SUP35	0.197530864197531
SSA1	HSP82	0.148148148148148
SSA1	FES1	0.148148148148148
SSA1	STI1	0.148148148148148
SSA1	SSB1	0.123456790123457
SSA1	SGT2	0.123456790123457
SSB1	FES1	0.123456790123457
SSB1	SSA1	0.123456790123457
CYS3	ULP1	0.111111111111111
CYS3	SSB2	0.111111111111111
CYS3	UBA1	0.111111111111111
CYS3	HRD1	0.111111111111111
CYS3	HSP82	0.111111111111111
CYS3	MMS22	0.111111111111111
CYS3	DHH1	0.111111111111111
CYS3	CYS3	0.111111111111111
CYS3	DJP1	0.111111111111111
CYS3	HSP78	0.111111111111111
CYS3	SRT1	0.111111111111111
CYS3	JSN1	0.111111111111111
CYS3	SPO12	0.111111111111111
CYS3	TOM1	0.111111111111111
CYS3	RVB1	0.111111111111111
CYS3	RNA1	0.111111111111111
CYS3	SWA2	0.111111111111111
CYS3	ULP2	0.111111111111111
CYS3	UBC	0.111111111111111
CYS3	VAM6	0.111111111111111
CYS3	ADE4	0.111111111111111
CYS3	ATG5	0.111111111111111
CYS3	SSC1	0.111111111111111
CYS3	SSA2	0.111111111111111
CYS3	BNI1	0.111111111111111
CYS3	BRE5	0.111111111111111
CYS3	PRP6	0.111111111111111
CYS3	SEC63	0.111111111111111
HRD1	CDC48	0.111111111111111
HSP82	TAH1	0.111111111111111
DHH1	EDC3	0.111111111111111
VAM6	PEP5	0.111111111111111
ATG5	ATG16	0.111111111111111
SSC1	TIM23	0.111111111111111
SEC63	SEC72	0.111111111111111
SSA1	SSA2	0.0987654320987654
SSA1	HSP104	0.0987654320987654
SSA1	RPN11	0.0987654320987654
SSA1	CPR7	0.0987654320987654
SSA1	CPR6	0.0987654320987654
SSA1	HSC82	0.0987654320987654
SSB1	BUD27	0.0987654320987654
SSB1	RPN11	0.0987654320987654
