gene	node_type
SAM2	gene
SAM1	gene
RPN11	PPI
ACS2	PPI
SSB2	PPI
LCB2	PPI
PFK2	PPI
MKK2	PPI
CDC28	PPI
TRP2	PPI
HHF1	PPI
CDC19	PPI
RPN2	PPI
UBI4	PPI
SEC7	PPI
RPN1	PPI
URA7	PPI
DBP8	PPI
TOM6	PPI
CDC9	PPI
TSC13	PPI
PER1	PPI
SSA3	PPI
CCT8	PPI
RVB1	PPI
RPT5	PPI
KSS1	PPI
SEN15	PPI
ECM10	PPI
GIS2	PPI
UBP3	PPI
MMS22	PPI
YLF2	PPI
SSB1	PPI
SIR3	PPI
DHH1	PPI
ULP1	PPI
APP1	PPI
CDC20	PPI
CAF40	PPI
MUK1	PPI
ELA1	PPI
HSC82	PPI
RPC40	PPI
UBC7	PPI
RFA3	PPI
SSE2	PPI
TEM1	PPI
VAM6	PPI
ATG12	PPI
SLT2	PPI
KAP95	PPI
SSA1	PPI
SSZ1	PPI
ESS1	PPI
SSE1	PPI
MUS81	PPI
RAD10	PPI
RAD24	PPI
HAP3	PPI
TFB4	PPI
CCT4	PPI
PWP2	PPI
KAP120	PPI
YPL150W	PPI
HSH49	PPI
GRR1	PPI
CTK1	PPI
SKP1	PPI
SSA2	PPI
CCT3	PPI
RFC2	PPI
MOT2	PPI
HRT1	PPI
RLP7	PPI
RPN10	PPI
RAD3	PPI
HSP82	PPI
KIN2	PPI
STE12	PPI
OTU1	PPI
MAE1	PPI
GFA1	PPI
RPL10	PPI
FAS1	PPI
RPC82	PPI
SER3	PPI
SET1	PPI
ERG13	PPI
KGD2	PPI
MYO2	PPI
YGK3	PPI
CDC36	PPI
IPI3	PPI
APM1	PPI
BUD32	PPI
CHK1	PPI
LCD1	PPI
MLH3	PPI
PSO2	PPI
TDP1	PPI
HEL2	PPI
YGL081W	PPI
EMG1	PPI
MLP2	PPI
TUB3	PPI
RPS0B	PPI
ARO1	PPI
ACO1	PPI
HSP78	PPI
ENP1	PPI
CDC55	PPI
DBF20	PPI
MDH2	PPI
MGT1	PPI
RAD59	PPI
RPT3	PPI
SIN4	PPI
SPS1	PPI
TEP1	PPI
YCK1	PPI
FCF1	PPI
HSP31	PPI
TRP3	PPI
NUP2	PPI
SUP35	PPI
HIS4	PPI
CCR4	PPI
RVS167	PPI
SIT4	PPI
STE4	PPI
MOH1	PPI
DHR2	PPI
ENV7	PPI
YDJ1	PPI
SGF29	PPI
GCN1	PPI
TUB1	PPI
DED81	PPI
EFT1	PPI
URA2	PPI
PFK1	PPI
SHM2	PPI
PIM1	PPI
RET2	PPI
CDC10	PPI
MOB1	PPI
PSK2	PPI
CMP2	PPI
IME2	PPI
PRE1	PPI
RBG2	PPI
BUB2	PPI
UTP15	PPI
PSA1	PPI
RPA135	PPI
COP1	PPI
MEC3	PPI
CLU1	PPI
CIK1	PPI
KIC1	PPI
URN1	PPI
RGT2	PPI
SMC6	PPI
BRE2	PPI
RIX7	PPI
DBF2	PPI
RAD7	PPI
MSH1	PPI
SER1	PPI
YAK1	PPI
FAP7	PPI
VPS13	PPI
YKU70	PPI
YHR020W	PPI
MEC1	PPI
ALD6	PPI
YDR131C	PPI
MET30	PPI
APM3	PPI
NOT3	PPI
UTP7	PPI
GPM1	PPI
UBC13	PPI
CMR1	PPI
SER33	PPI
YKU80	PPI
MDN1	PPI
AIM4	PPI
SNF1	PPI
RPB2	PPI
BRE5	PPI
CDC31	PPI
KDX1	PPI
MYO1	PPI
SEC27	PPI
TOM1	PPI
SWM1	PPI
MEK1	PPI
CRM1	PPI
SCL1	PPI
RAD23	PPI
PRE5	PPI
RPN13	PPI
PRE8	PPI
PRE9	PPI
PRE6	PPI
PUP2	PPI
PRE4	PPI
PUP1	PPI
PRE7	PPI
PRE2	PPI
PUP3	PPI
PRE3	PPI
DSK2	PPI
CDH1	PPI
HAT1	PPI
DDI1	PPI
UBP6	PPI
RPT4	PPI
RPN5	PPI
SWE1	PPI
STB1	PPI
HTZ1	PPI
HAT2	PPI
RPT1	PPI
CDC48	PPI
ECM29	PPI
NAS6	PPI
WHI5	PPI
GCN5	PPI
ESA1	PPI
BDF1	PPI
PSH1	PPI
VPS27	PPI
DOA1	PPI
RPN6	PPI
RPN3	PPI
RPN14	PPI
LCB1	PPI
CLB4	PPI
ORC6	PPI
RTT106	PPI
SPT16	PPI
SIR2	PPI
HTB1	PPI
RPN8	PPI
RPN9	PPI
RPN7	PPI
RPN12	PPI
