gene1	gene	score
INO1	INO1	0.555555555555556
INO1	INO1	0.308641975308642
INO1	ADE17	0.222222222222222
INO1	SSL2	0.222222222222222
SSL2	RAD3	0.148148148148148
INO1	ADE17	0.123456790123457
INO1	SSL2	0.123456790123457
INO1	INO2	0.111111111111111
INO1	INO4	0.111111111111111
INO1	GET3	0.111111111111111
INO1	EFT1	0.111111111111111
INO1	VMA8	0.111111111111111
INO1	SEC27	0.111111111111111
INO1	CHC1	0.111111111111111
INO1	CDC55	0.111111111111111
INO1	ATG18	0.111111111111111
INO1	SSB2	0.111111111111111
INO1	FUS1	0.111111111111111
INO1	NMD2	0.111111111111111
INO1	CMR1	0.111111111111111
INO1	ADK1	0.111111111111111
INO1	BNA3	0.111111111111111
INO1	GCY1	0.111111111111111
INO1	HUG1	0.111111111111111
INO1	ALO1	0.111111111111111
INO1	DRS2	0.111111111111111
INO1	GLC7	0.111111111111111
INO1	MEK1	0.111111111111111
INO1	RSP5	0.111111111111111
INO1	EHT1	0.111111111111111
INO1	ARP2	0.111111111111111
INO1	SSD1	0.111111111111111
INO1	AAT2	0.111111111111111
INO1	STE4	0.111111111111111
INO1	CIA1	0.111111111111111
INO1	RPS22A	0.111111111111111
INO1	UBC	0.111111111111111
INO1	MMS22	0.111111111111111
INO1	CDC53	0.111111111111111
INO1	RVS167	0.111111111111111
INO1	CDC25	0.111111111111111
INO1	SRV2	0.111111111111111
INO1	SSA1	0.111111111111111
INM1	SSB2	0.111111111111111
INM1	POL2	0.111111111111111
INM1	HSP82	0.111111111111111
INM1	YPR015C	0.111111111111111
INM1	SSZ1	0.111111111111111
INM2	SOL3	0.111111111111111
INM2	YNL035C	0.111111111111111
INO2	INO4	0.111111111111111
INO4	INO2	0.111111111111111
SEC27	COP1	0.111111111111111
GLC7	REF2	0.111111111111111
RSP5	RSP5	0.111111111111111
STE4	STE5	0.111111111111111
CDC25	RAS2	0.111111111111111
HSP82	TAH1	0.111111111111111
SEC27	SEC28	0.0987654320987654
CDC55	ZDS1	0.0987654320987654
CDC55	ZDS2	0.0987654320987654
GLC7	GAC1	0.0987654320987654
GLC7	YPI1	0.0987654320987654
GLC7	GLC8	0.0987654320987654
RSP5	SPT23	0.0987654320987654
RSP5	ALY2	0.0987654320987654
RSP5	UBC1	0.0987654320987654
ARP2	ARC19	0.0987654320987654
ARP2	ARC35	0.0987654320987654
ARP2	LAS17	0.0987654320987654
CDC53	MET30	0.0987654320987654
RVS167	ABP1	0.0987654320987654
SSA1	SUP35	0.0987654320987654
HSP82	CNS1	0.0987654320987654
GET3	MDY2	0.0864197530864198
GET3	GET4	0.0864197530864198
GET3	GET2	0.0864197530864198
VMA8	VMA1	0.0864197530864198
ADK1	ADK1	0.0864197530864198
DRS2	CDC50	0.0864197530864198
GLC7	SCD5	0.0864197530864198
GLC7	BNI4	0.0864197530864198
RSP5	ROD1	0.0864197530864198
CDC53	UFO1	0.0864197530864198
RVS167	RVS167	0.0864197530864198
RVS167	ACF2	0.0864197530864198
RVS167	APP1	0.0864197530864198
RVS167	AIM3	0.0864197530864198
SRV2	SRV2	0.0864197530864198
HSP82	HSP82	0.0864197530864198
HSP82	PPT1	0.0864197530864198
SSL2	TFB6	0.0740740740740741
SSL2	TFB3	0.0740740740740741
VMA8	VMA4	0.0740740740740741
