gene	node_type
IDI1	gene
TFC7	PPI
RPN1	PPI
SSA3	PPI
MDM31	PPI
CST6	PPI
COX7	PPI
RPN11	PPI
TAF6	PPI
TOS3	PPI
ENT3	PPI
RFT1	PPI
USO1	PPI
NOP6	PPI
PRP40	PPI
PHO85	PPI
SSE1	PPI
RSC58	PPI
SSB1	PPI
RSP5	PPI
CAJ1	PPI
SSA1	PPI
ULP1	PPI
NUT2	PPI
CMR1	PPI
ULP2	PPI
SSB2	PPI
ESS1	PPI
UBP6	PPI
RPT4	PPI
RPN5	PPI
SCL1	PPI
RAD23	PPI
PRE5	PPI
RPN13	PPI
PRE8	PPI
PRE9	PPI
PRE6	PPI
PUP2	PPI
SPT3	PPI
PCL7	PPI
PCL6	PPI
PRE4	PPI
PUP1	PPI
TAF11	PPI
PCL10	PPI
PCL8	PPI
PCL1	PPI
SPT23	PPI
ALY2	PPI
UBC1	PPI
SUP35	PPI
TFC1	PPI
RPN6	PPI
RPN3	PPI
UBI4	PPI
PRE7	PPI
PRE2	PPI
PUP3	PPI
PRE3	PPI
SGF29	PPI
TAF4	PPI
TAF7	PPI
UBP8	PPI
ROD1	PPI
SRP1	PPI
PSE1	PPI
RGR1	PPI
SRB7	PPI
RPN8	PPI
RPN9	PPI
RPN7	PPI
RPN12	PPI
DSK2	PPI
TRA1	PPI
SGF73	PPI
SNU71	PPI
PAH1	PPI
PCL2	PPI
SSA2	PPI
STH1	PPI
ART5	PPI
UBP2	PPI
MGA2	PPI
HSP82	PPI
FES1	PPI
STI1	PPI
KAP95	PPI
SMT3	PPI
MED7	PPI
PRE1	PPI
NAS6	PPI
SEM1	PPI
HSM3	PPI
ECM29	PPI
GAL4	PPI
TAF8	PPI
SGF11	PPI
TAF13	PPI
TAF2	PPI
NAM8	PPI
SNP1	PPI
MUD1	PPI
PCL5	PPI
PCL9	PPI
GSY2	PPI
RSC2	PPI
EAR1	PPI
UBC5	PPI
ART10	PPI
LSB1	PPI
LDB19	PPI
DIA1	PPI
RVS167	PPI
ALY1	PPI
SGT2	PPI
SRB5	PPI
TFC4	PPI
DDI1	PPI
RPN14	PPI
URA7	PPI
TAF3	PPI
SUS1	PPI
GGA2	PPI
VTI1	PPI
RRP5	PPI
LUC7	PPI
GLC8	PPI
CLG1	PPI
RSC3	PPI
RSC9	PPI
NPL6	PPI
RSC8	PPI
ARP9	PPI
RSC6	PPI
RSC4	PPI
ARP7	PPI
RTT102	PPI
BUD27	PPI
SSE2	PPI
RUP1	PPI
RPB2	PPI
BSD2	PPI
ECM21	PPI
ACK1	PPI
UBE2D1	PPI
BUL2	PPI
ROG3	PPI
CSR2	PPI
RCR1	PPI
HSP104	PPI
CPR7	PPI
CPR6	PPI
HSC82	PPI
MED4	PPI
SOH1	PPI
RPN10	PPI
TFC3	PPI
PRE10	PPI
MTC5	PPI
OLA1	PPI
HEF3	PPI
ENO2	PPI
TIF1	PPI
FBA1	PPI
ACT1	PPI
ADH1	PPI
THS1	PPI
KRS1	PPI
RPS5	PPI
YEF3	PPI
ERG20	PPI
TEF1	PPI
EFT1	PPI
CDC19	PPI
ASN1	PPI
TEF4	PPI
RPL5	PPI
RPS2	PPI
LEU1	PPI
SEC18	PPI
ENO1	PPI
YHB1	PPI
LYS21	PPI
FAS2	PPI
HTS1	PPI
GND1	PPI
KAP123	PPI
RPS11A	PPI
FAS1	PPI
PAB1	PPI
PDC1	PPI
ALD6	PPI
RPS0A	PPI
PGK1	PPI
TAL1	PPI
TSA1	PPI
PMA1	PPI
DPS1	PPI
SAM1	PPI
BMH1	PPI
SER1	PPI
SAH1	PPI
TDH1	PPI
SEC53	PPI
CDC60	PPI
VAS1	PPI
APL4	PPI
GAR1	PPI
KRR1	PPI
UTP20	PPI
UTP10	PPI
SNU56	PPI
PRP42	PPI
STO1	PPI
YHC1	PPI
CBC2	PPI
PRP39	PPI
SMB1	PPI
HOC1	PPI
DMA1	PPI
GCN4	PPI
NCP1	PPI
CHC1	PPI
HTA2	PPI
SFH1	PPI
RSC1	PPI
SSZ1	PPI
TRX2	PPI
SNF1	PPI
SNF4	PPI
NPL3	PPI
BLM10	PPI
TDH3	PPI
NUP60	PPI
GLC7	PPI
PGI1	PPI
CSN9	PPI
SEC27	PPI
REG1	PPI
CRM1	PPI
NMD3	PPI
TOM1	PPI
HUA1	PPI
YHR131C	PPI
RIM4	PPI
TRE1	PPI
UBC6	PPI
SIC1	PPI
SEC7	PPI
