gene	node_type
ARO3	gene
ARO4	gene
SSB1	PPI
SSA2	PPI
ULP1	PPI
TPK1	PPI
RPN11	PPI
SSA3	PPI
SSB2	PPI
SSZ1	PPI
ILV5	PPI
SCJ1	PPI
WTM1	PPI
SSA1	PPI
SSE1	PPI
CMR1	PPI
HSP78	PPI
RPC82	PPI
MDJ1	PPI
HSP104	PPI
SER3	PPI
MMS22	PPI
BRE5	PPI
RPC40	PPI
SMT3	PPI
PHO4	PPI
RTT102	PPI
FRD1	PPI
TMA19	PPI
PDS5	PPI
YPL150W	PPI
ULP2	PPI
SPB4	PPI
SPC25	PPI
HSP82	PPI
FES1	PPI
STI1	PPI
SCL1	PPI
RAD23	PPI
PRE5	PPI
RPN13	PPI
PRE8	PPI
PRE9	PPI
PRE6	PPI
PUP2	PPI
RPA190	PPI
BUD27	PPI
SSE2	PPI
PRE4	PPI
PUP1	PPI
SUP35	PPI
RPO31	PPI
RPA135	PPI
SLX5	PPI
DSN1	PPI
SRP1	PPI
PSE1	PPI
UBI4	PPI
PRE7	PPI
PRE2	PPI
PUP3	PPI
PRE3	PPI
MAF1	PPI
SER33	PPI
RET1	PPI
SRS2	PPI
PHO80	PPI
ARP9	PPI
STH1	PPI
TRX2	PPI
CPR6	PPI
SNF1	PPI
SNF4	PPI
TIF1	PPI
NPL3	PPI
BLM10	PPI
NCP1	PPI
TDH3	PPI
NUP60	PPI
GLC7	PPI
BMH1	PPI
PGI1	PPI
HSC82	PPI
CSN9	PPI
SEC27	PPI
REG1	PPI
CRM1	PPI
NMD3	PPI
TOM1	PPI
UBP10	PPI
NUP57	PPI
NUP116	PPI
MLP1	PPI
NSP1	PPI
GPI8	PPI
ESS1	PPI
KAP95	PPI
DSK2	PPI
RTT107	PPI
SIZ1	PPI
MCD1	PPI
NTH1	PPI
ECM29	PPI
NAS6	PPI
SGT2	PPI
RPC31	PPI
RTT101	PPI
RPB5	PPI
RPA49	PPI
NSE5	PPI
NFI1	PPI
ELG1	PPI
WSS1	PPI
SNF6	PPI
ARP7	PPI
SNF2	PPI
RSC8	PPI
RSC2	PPI
NUF2	PPI
CNN1	PPI
POL12	PPI
HCH1	PPI
RVB1	PPI
PRP2	PPI
YHR202W	PPI
HTZ1	PPI
SVP26	PPI
SMY2	PPI
CPR7	PPI
PAU12	PPI
NUP2	PPI
ESA1	PPI
YBT1	PPI
MLP2	PPI
CDC28	PPI
PTC4	PPI
EFB1	PPI
EGD1	PPI
PFK1	PPI
GPM1	PPI
THS1	PPI
ASN1	PPI
ASN2	PPI
GLN1	PPI
IMD3	PPI
URA7	PPI
ABF1	PPI
NSR1	PPI
RPS8A	PPI
TDA3	PPI
GSF2	PPI
RPT5	PPI
ORC1	PPI
GIS2	PPI
FLC2	PPI
YBR287W	PPI
PER1	PPI
TSC13	PPI
CDC48	PPI
TSC11	PPI
CDC43	PPI
VAM7	PPI
HOC1	PPI
ORM2	PPI
UBX2	PPI
RBD2	PPI
YPR114W	PPI
CDC33	PPI
GCN3	PPI
HAT2	PPI
MED4	PPI
PHO85	PPI
PRP6	PPI
SIT4	PPI
YSH1	PPI
FRK1	PPI
BSD2	PPI
ECM16	PPI
ACK1	PPI
MRD1	PPI
PDH1	PPI
EXO1	PPI
CHL1	PPI
NOP14	PPI
CFT1	PPI
YMR111C	PPI
ATF1	PPI
RKM3	PPI
ARO1	PPI
YRA1	PPI
ZUO1	PPI
ATG19	PPI
PEX29	PPI
SAP185	PPI
EFT1	PPI
TEF4	PPI
ENO2	PPI
TSL1	PPI
TKL1	PPI
DPS1	PPI
GLY1	PPI
CRN1	PPI
TUB3	PPI
SPT6	PPI
RPS7A	PPI
RPS16A	PPI
RPL3	PPI
RPL20A	PPI
YFR016C	PPI
MCA1	PPI
BMS1	PPI
RSC6	PPI
CST26	PPI
PMP1	PPI
YCR043C	PPI
SEC5	PPI
YPQ2	PPI
MNN1	PPI
FET5	PPI
LSB3	PPI
EMP24	PPI
ERV29	PPI
PAN5	PPI
GGA2	PPI
TOM71	PPI
SYG1	PPI
PMT4	PPI
SPT23	PPI
SEC10	PPI
YNR048W	PPI
YIG1	PPI
YMR102C	PPI
MEK1	PPI
PEX7	PPI
PFK26	PPI
BUD3	PPI
PGK1	PPI
AHA1	PPI
LMO1	PPI
IML1	PPI
SLX9	PPI
RTK1	PPI
MIG1	PPI
APL4	PPI
RPN1	PPI
NUP159	PPI
NUP1	PPI
NAP1	PPI
OTU1	PPI
YEF3	PPI
