gene1	gene	score
RNR1	RNR1	0.888888888888889
RNR1	RNR1	0.790123456790124
RNR1	SML1	0.777777777777778
ADK1	ADK1	0.777777777777778
RNR1	SML1	0.691358024691358
YNK1	YNK1	0.666666666666667
SML1	RNR1	0.604938271604938
ADK1	ADK1	0.604938271604938
SML1	DUN1	0.518518518518519
YNK1	YNK1	0.444444444444445
RNR4	WTM2	0.444444444444444
RNR4	WTM1	0.444444444444444
RNR1	RNR1	0.444444444444444
FAP7	RPS14A	0.444444444444444
RNR1	RNR1	0.395061728395062
RNR3	RNR1	0.333333333333333
RNR4	SSA1	0.333333333333333
RNR2	RNR2	0.333333333333333
RNR2	WTM1	0.333333333333333
RNR2	RNR1	0.333333333333333
RNR2	WTM2	0.333333333333333
RNR1	RNR2	0.333333333333333
RNR1	RNR3	0.333333333333333
YNK1	YNK1	0.333333333333333
RNR1	RNR2	0.296296296296296
RNR1	RNR3	0.296296296296296
SSA1	SUP35	0.296296296296296
YNK1	YNK1	0.222222222222222
SSA1	HSP82	0.222222222222222
SSA1	FES1	0.222222222222222
SSA1	STI1	0.222222222222222
RNR3	YDJ1	0.222222222222222
RNR4	HSP82	0.222222222222222
RNR4	RNR4	0.222222222222222
RNR4	SSB1	0.222222222222222
RNR4	RPN11	0.222222222222222
RNR2	RNR2	0.222222222222222
RNR2	SSB1	0.222222222222222
RNR2	HSP104	0.222222222222222
RNR2	SSA1	0.222222222222222
RNR1	HSP26	0.222222222222222
RNR1	DBP8	0.222222222222222
RNR1	SSB2	0.222222222222222
RNR1	RPN11	0.222222222222222
ADE13	RPN11	0.222222222222222
YNK1	RPA135	0.222222222222222
YNK1	TEM1	0.222222222222222
YNK1	HHF1	0.222222222222222
ADE12	RSP5	0.222222222222222
FAP7	RPS14B	0.222222222222222
FAP7	KRR1	0.222222222222222
ADK1	RPN11	0.222222222222222
ADK1	DBF2	0.222222222222222
HSP82	TAH1	0.222222222222222
SSB1	SSE1	0.222222222222222
RPN11	SCL1	0.222222222222222
RPN11	RAD23	0.222222222222222
RPN11	PRE5	0.222222222222222
RPN11	RPN13	0.222222222222222
RPN11	PRE8	0.222222222222222
RPN11	PRE9	0.222222222222222
RPN11	PRE6	0.222222222222222
RPN11	PUP2	0.222222222222222
RPA135	RPA12	0.222222222222222
HHF1	HAT1	0.222222222222222
RSP5	RSP5	0.222222222222222
