gene	node_type
ALT2	gene
ALT1	gene
ECM10	PPI
HSP60	PPI
RRP1	PPI
AMN1	PPI
SSB2	PPI
HSK3	PPI
UBP15	PPI
SOG2	PPI
SSB1	PPI
SCC4	PPI
SSA1	PPI
SRP54	PPI
PFK26	PPI
GIM4	PPI
ATG17	PPI
HHT1	PPI
YKE2	PPI
SSC1	PPI
PEX29	PPI
GIM3	PPI
PAC10	PPI
MYO1	PPI
GIM5	PPI
ATG11	PPI
SSE1	PPI
RLF2	PPI
TIM23	PPI
HSP10	PPI
SCC2	PPI
SUP35	PPI
ATG13	PPI
HTZ1	PPI
ZIM17	PPI
ATG32	PPI
SPC34	PPI
ATG31	PPI
CAC2	PPI
DOT1	PPI
SET2	PPI
HIF1	PPI
SPT16	PPI
BUD27	PPI
MSS51	PPI
ILV1	PPI
MKT1	PPI
MMS22	PPI
CDC28	PPI
KIC1	PPI
HSP82	PPI
FES1	PPI
STI1	PPI
SEC65	PPI
HTB1	PPI
YNG1	PPI
MLC1	PPI
MLC2	PPI
ATG19	PPI
RPN11	PPI
ECM30	PPI
SGT2	PPI
SIR2	PPI
POB3	PPI
SET1	PPI
PAM18	PPI
MGE1	PPI
RAD50	PPI
TIF1	PPI
SCJ1	PPI
CNS1	PPI
SML1	PPI
RFA1	PPI
CLN2	PPI
DPH2	PPI
HEM13	PPI
FUS3	PPI
ARP6	PPI
SDD3	PPI
BAT2	PPI
ERV14	PPI
PPH21	PPI
SEC28	PPI
SWD2	PPI
GLC7	PPI
RPG1	PPI
TPK1	PPI
TAF5	PPI
PPH22	PPI
YPL247C	PPI
PTK2	PPI
PPH3	PPI
SLM3	PPI
CDH1	PPI
NOP2	PPI
RPF2	PPI
SSE2	PPI
RPN10	PPI
ASK1	PPI
SPC19	PPI
DAD2	PPI
SSA2	PPI
HSP104	PPI
CPR7	PPI
CPR6	PPI
HSC82	PPI
SRP14	PPI
IPL1	PPI
EAF3	PPI
PSH1	PPI
HTA2	PPI
RCO1	PPI
ARP4	PPI
ESA1	PPI
RPD3	PPI
HAT1	PPI
HAT2	PPI
SPP1	PPI
ARP8	PPI
TIM17	PPI
ACT1	PPI
APE1	PPI
CIC1	PPI
NOG1	PPI
NOP7	PPI
RPL3	PPI
TPS1	PPI
TYR1	PPI
DHH1	PPI
EFT1	PPI
RPC40	PPI
NOC4	PPI
TPD3	PPI
RBG1	PPI
CKS1	PPI
ARX1	PPI
ZUO1	PPI
SDO1	PPI
RPT5	PPI
ENP1	PPI
MRT4	PPI
SSZ1	PPI
BMH2	PPI
ARD1	PPI
NAP1	PPI
AHP1	PPI
RGP1	PPI
UTP4	PPI
UTP6	PPI
DBP2	PPI
LSM12	PPI
ANR2	PPI
ILV2	PPI
DAD4	PPI
DAM1	PPI
DSN1	PPI
TRX2	PPI
SNF1	PPI
SNF4	PPI
NPL3	PPI
BLM10	PPI
NCP1	PPI
TDH3	PPI
NUP60	PPI
SMT3	PPI
BMH1	PPI
PGI1	PPI
CSN9	PPI
SEC27	PPI
REG1	PPI
CRM1	PPI
NMD3	PPI
TOM1	PPI
TOM71	PPI
URA2	PPI
RVB1	PPI
NPL6	PPI
AHA1	PPI
PGK1	PPI
PRE1	PPI
GET4	PPI
RPA135	PPI
RTN1	PPI
NSP1	PPI
BSD2	PPI
FPR3	PPI
URE2	PPI
CLN3	PPI
CDC48	PPI
BRE5	PPI
UBP3	PPI
RPN1	PPI
SNL1	PPI
CAR2	PPI
TOM70	PPI
PRB1	PPI
RNR4	PPI
EGD2	PPI
SRP21	PPI
COG2	PPI
SNX4	PPI
PSE1	PPI
FPR4	PPI
SWI3	PPI
RSC2	PPI
STH1	PPI
CHD1	PPI
HIR1	PPI
SNF5	PPI
TAF14	PPI
UME1	PPI
IOC4	PPI
CKA2	PPI
RSC8	PPI
YNG2	PPI
JHD2	PPI
INO80	PPI
SIN3	PPI
SNF2	PPI
SIR4	PPI
BDF1	PPI
CKA1	PPI
ISW1	PPI
PHO23	PPI
YTA7	PPI
MSI1	PPI
NIP100	PPI
PEX30	PPI
SSD1	PPI
CLA4	PPI
BBC1	PPI
CIN8	PPI
BNI5	PPI
MYO2	PPI
SMY1	PPI
ATG34	PPI
ATG29	PPI
ATG9	PPI
ATG36	PPI
RAD59	PPI
DPH1	PPI
ERG3	PPI
KEL3	PPI
RPR2	PPI
VID30	PPI
YBR219C	PPI
GGA2	PPI
PAM1	PPI
ROD1	PPI
RPT3	PPI
