gene1	gene	score
CPA1	CPA2	0.444444444444444
CPA2	CPA1	0.444444444444444
ARG3	CAR1	0.222222222222222
ARG3	RPN11	0.222222222222222
ARG4	HSP82	0.222222222222222
ARG1	RPN11	0.222222222222222
CPA1	SSB2	0.222222222222222
CPA1	RPN11	0.222222222222222
CPA2	RPN11	0.222222222222222
CPA2	RAD51	0.222222222222222
RPN11	SCL1	0.222222222222222
RPN11	RAD23	0.222222222222222
RPN11	PRE5	0.222222222222222
RPN11	RPN13	0.222222222222222
RPN11	PRE8	0.222222222222222
RPN11	PRE9	0.222222222222222
RPN11	PRE6	0.222222222222222
RPN11	PUP2	0.222222222222222
HSP82	TAH1	0.222222222222222
RAD51	RAD55	0.222222222222222
RAD51	SRS2	0.222222222222222
CPA2	CPA1	0.197530864197531
CPA1	CPA2	0.197530864197531
RPN11	PRE4	0.197530864197531
RPN11	PUP1	0.197530864197531
HSP82	CNS1	0.197530864197531
RPN11	UBI4	0.17283950617284
RPN11	PRE7	0.17283950617284
RPN11	PRE2	0.17283950617284
RPN11	PUP3	0.17283950617284
RPN11	PRE3	0.17283950617284
HSP82	HSP82	0.17283950617284
HSP82	PPT1	0.17283950617284
RPN11	DSK2	0.148148148148148
HSP82	YDJ1	0.148148148148148
HSP82	SSA2	0.148148148148148
HSP82	SGT1	0.148148148148148
HSP82	SSA1	0.148148148148148
RPN11	ECM29	0.123456790123457
RPN11	SSB2	0.123456790123457
RPN11	NAS6	0.123456790123457
HSP82	STE11	0.123456790123457
HSP82	HCH1	0.123456790123457
HSP82	SLT2	0.123456790123457
SSB2	RPN11	0.123456790123457
SSB2	SSE1	0.123456790123457
RAD51	RAD57	0.123456790123457
ARG3	PSO2	0.111111111111111
ARG3	BUB3	0.111111111111111
ARG3	CWC24	0.111111111111111
ARG3	PWP1	0.111111111111111
ARG3	RFC2	0.111111111111111
ARG3	SSB1	0.111111111111111
ARG3	ITT1	0.111111111111111
ARG3	RIE1	0.111111111111111
ARG3	FRQ1	0.111111111111111
ARG3	RAD57	0.111111111111111
ARG3	PTC3	0.111111111111111
ARG3	RAD1	0.111111111111111
ARG3	SRS2	0.111111111111111
ARG3	RAD30	0.111111111111111
ARG3	POL30	0.111111111111111
ARG3	MLH1	0.111111111111111
ARG3	SSB2	0.111111111111111
ARG3	RAD2	0.111111111111111
ARG3	MMS4	0.111111111111111
ARG3	SCL1	0.111111111111111
ARG3	RAD50	0.111111111111111
ARG3	MUS81	0.111111111111111
ARG3	RPC40	0.111111111111111
ARG3	SML1	0.111111111111111
ARG3	SIR4	0.111111111111111
ARG3	PRK1	0.111111111111111
ARG3	HSP82	0.111111111111111
ARG3	SKP2	0.111111111111111
ARG3	SMC6	0.111111111111111
ARG3	PTK2	0.111111111111111
ARG3	APE1	0.111111111111111
ARG3	YKU80	0.111111111111111
ARG3	MKK1	0.111111111111111
ARG3	BBC1	0.111111111111111
ARG3	DDC1	0.111111111111111
ARG3	RAD14	0.111111111111111
ARG3	MMS22	0.111111111111111
ARG3	SLD2	0.111111111111111
ARG3	RPN10	0.111111111111111
ARG3	MMS2	0.111111111111111
ARG3	MAG1	0.111111111111111
ARG3	TOP2	0.111111111111111
ARG3	PWP2	0.111111111111111
ARG3	FHL1	0.111111111111111
ARG3	RAD59	0.111111111111111
ARG3	TDP1	0.111111111111111
ARG3	UBC13	0.111111111111111
ARG3	HSP104	0.111111111111111
ARG3	DBF2	0.111111111111111
ARG3	MTC5	0.111111111111111
ARG3	RAD7	0.111111111111111
ARG3	SAT4	0.111111111111111
ARG3	RPT5	0.111111111111111
ARG3	IRC20	0.111111111111111
ARG3	SHE3	0.111111111111111
ARG3	SEC13	0.111111111111111
ARG3	FAR10	0.111111111111111
ARG3	ARP2	0.111111111111111
ARG3	CDC7	0.111111111111111
ARG3	MGT1	0.111111111111111
ARG3	RPN1	0.111111111111111
ARG3	PIB1	0.111111111111111
ARG3	PSH1	0.111111111111111
ARG3	PBS2	0.111111111111111
ARG3	MEC3	0.111111111111111
ARG3	RFA1	0.111111111111111
ARG3	APP1	0.111111111111111
ARG3	FAP1	0.111111111111111
ARG3	NTG1	0.111111111111111
ARG8	SSC1	0.111111111111111
ARG8	COX20	0.111111111111111
ARG8	SWA2	0.111111111111111
ARG8	SSZ1	0.111111111111111
ARG8	mug82	0.111111111111111
ARG8	LSM8	0.111111111111111
ARG2	GLK1	0.111111111111111
ARG2	SSC1	0.111111111111111
ARG2	SSA1	0.111111111111111
ARG2	SHE3	0.111111111111111
ARG2	ARG5,6	0.111111111111111
ARG4	SRP1	0.111111111111111
ARG4	SUI1	0.111111111111111
ARG4	SSB2	0.111111111111111
ARG4	UBC	0.111111111111111
ARG4	SEC27	0.111111111111111
ARG4	YDJ1	0.111111111111111
ARG4	SSA2	0.111111111111111
ARG4	MMS22	0.111111111111111
ARG4	DJP1	0.111111111111111
ARG4	SSE1	0.111111111111111
ARG1	VAM6	0.111111111111111
ARG1	RPT5	0.111111111111111
ARG1	SSA1	0.111111111111111
ARG1	SRP1	0.111111111111111
ARG1	SSB2	0.111111111111111
ARG1	UBC	0.111111111111111
ARG1	MMS22	0.111111111111111
ARG1	RSA3	0.111111111111111
ARG1	RPN1	0.111111111111111
ARG1	RVS167	0.111111111111111
ARG1	CDC28	0.111111111111111
ARG1	RPN10	0.111111111111111
CPA1	JSN1	0.111111111111111
CPA1	NOP56	0.111111111111111
CPA1	RPN10	0.111111111111111
CPA1	RPT5	0.111111111111111
CPA1	CKB2	0.111111111111111
CPA1	SRB4	0.111111111111111
CPA1	NCE103	0.111111111111111
CPA1	HHF1	0.111111111111111
CPA1	RPN1	0.111111111111111
CPA1	SWM1	0.111111111111111
CPA1	UBC7	0.111111111111111
CPA1	SSB1	0.111111111111111
CPA1	SSC1	0.111111111111111
CPA1	TCP1	0.111111111111111
CPA1	SSA1	0.111111111111111
CPA1	ESC1	0.111111111111111
CPA1	ERG29	0.111111111111111
CPA2	URA2	0.111111111111111
CPA2	FAS1	0.111111111111111
CPA2	MMS22	0.111111111111111
CPA2	RFC2	0.111111111111111
CPA2	YGK3	0.111111111111111
CPA2	CDC3	0.111111111111111
CPA2	ARP2	0.111111111111111
CPA2	MEK1	0.111111111111111
CPA2	PHO85	0.111111111111111
CPA2	SNF1	0.111111111111111
CPA2	RPN1	0.111111111111111
CPA2	RPN10	0.111111111111111
CPA2	RPT5	0.111111111111111
