gene	node_type
ARG3	gene
ARG8	gene
ARG2	gene
ARG4	gene
ARG1	gene
CPA1	gene
CPA2	gene
CAR1	PPI
RPN11	PPI
HSP82	PPI
SSB2	PPI
RAD51	PPI
PSO2	PPI
BUB3	PPI
CWC24	PPI
PWP1	PPI
RFC2	PPI
SSB1	PPI
ITT1	PPI
RIE1	PPI
FRQ1	PPI
RAD57	PPI
PTC3	PPI
RAD1	PPI
SRS2	PPI
RAD30	PPI
POL30	PPI
MLH1	PPI
RAD2	PPI
MMS4	PPI
SCL1	PPI
RAD50	PPI
MUS81	PPI
RPC40	PPI
SML1	PPI
SIR4	PPI
PRK1	PPI
SKP2	PPI
SMC6	PPI
PTK2	PPI
APE1	PPI
YKU80	PPI
MKK1	PPI
BBC1	PPI
DDC1	PPI
RAD14	PPI
MMS22	PPI
SLD2	PPI
RPN10	PPI
MMS2	PPI
MAG1	PPI
TOP2	PPI
PWP2	PPI
FHL1	PPI
RAD59	PPI
TDP1	PPI
UBC13	PPI
HSP104	PPI
DBF2	PPI
MTC5	PPI
RAD7	PPI
SAT4	PPI
RPT5	PPI
IRC20	PPI
SHE3	PPI
SEC13	PPI
FAR10	PPI
ARP2	PPI
CDC7	PPI
MGT1	PPI
RPN1	PPI
PIB1	PPI
PSH1	PPI
PBS2	PPI
MEC3	PPI
RFA1	PPI
APP1	PPI
FAP1	PPI
NTG1	PPI
SSC1	PPI
COX20	PPI
SWA2	PPI
SSZ1	PPI
MUG82	PPI
LSM8	PPI
GLK1	PPI
SSA1	PPI
ARG5,6	PPI
SRP1	PPI
SUI1	PPI
UBC	PPI
SEC27	PPI
YDJ1	PPI
SSA2	PPI
DJP1	PPI
SSE1	PPI
VAM6	PPI
RSA3	PPI
RVS167	PPI
CDC28	PPI
JSN1	PPI
NOP56	PPI
CKB2	PPI
SRB4	PPI
NCE103	PPI
HHF1	PPI
SWM1	PPI
UBC7	PPI
TCP1	PPI
ESC1	PPI
ERG29	PPI
URA2	PPI
FAS1	PPI
YGK3	PPI
CDC3	PPI
MEK1	PPI
PHO85	PPI
SNF1	PPI
ILV1	PPI
RPT3	PPI
GFA1	PPI
YOR302W	PPI
PSA1	PPI
GCD7	PPI
URA7	PPI
DBP8	PPI
HRR25	PPI
SIT4	PPI
RVB2	PPI
ATG12	PPI
CMR1	PPI
RAD23	PPI
PRE5	PPI
RPN13	PPI
PRE8	PPI
PRE9	PPI
PRE6	PPI
PUP2	PPI
TAH1	PPI
RAD55	PPI
PRE4	PPI
PUP1	PPI
CNS1	PPI
UBI4	PPI
PRE7	PPI
PRE2	PPI
PUP3	PPI
PRE3	PPI
PPT1	PPI
DSK2	PPI
SGT1	PPI
ECM29	PPI
NAS6	PPI
STE11	PPI
HCH1	PPI
SLT2	PPI
MLH3	PPI
XRS2	PPI
RPA190	PPI
RPN9	PPI
RPT1	PPI
UTP18	PPI
NUP84	PPI
UBP6	PPI
RPT4	PPI
RPN5	PPI
MEC1	PPI
RAD52	PPI
TIM23	PPI
TIF5	PPI
COP1	PPI
PEP5	PPI
CDH1	PPI
RGR1	PPI
HAT1	PPI
PCL7	PPI
PCL6	PPI
RPT6	PPI
GCD2	PPI
SAP190	PPI
SAP185	PPI
PIH1	PPI
RPN14	PPI
TDH3	PPI
HAP1	PPI
LSM12	PPI
HSC82	PPI
SSE2	PPI
CSM2	PPI
PAA1	PPI
SAW1	PPI
RAD18	PPI
MSH2	PPI
EXO1	PPI
RPA135	PPI
RPN12	PPI
UTP13	PPI
NUP85	PPI
SEH1	PPI
ARC19	PPI
ARC35	PPI
LAS17	PPI
CSE4	PPI
DNA2	PPI
ZIM17	PPI
BRR2	PPI
LSM4	PPI
LSM2	PPI
SUP35	PPI
CSE1	PPI
PRT1	PPI
SEC28	PPI
YPT7	PPI
VPS16	PPI
ABP1	PPI
SWE1	PPI
STB1	PPI
GAL11	PPI
HTZ1	PPI
HAT2	PPI
SHS1	PPI
PCL10	PPI
PCL8	PPI
PCL1	PPI
SAK1	PPI
MAD3	PPI
RFC1	PPI
RFC4	PPI
SGN1	PPI
PIK1	PPI
SMT3	PPI
RAD27	PPI
REV1	PPI
MLH2	PPI
RET1	PPI
RNR1	PPI
RAP1	PPI
RPN6	PPI
DIP2	PPI
RAD5	PPI
RAD16	PPI
NAS2	PPI
HSM3	PPI
MCM4	PPI
RPN3	PPI
MSS51	PPI
CBC2	PPI
ULP1	PPI
TIF34	PPI
PEP3	PPI
