gene	node_type
ASP3-1	gene
ASP3-2	gene
ASP3-3	gene
ASP3-4	gene
ASP1	gene
SWA2	PPI
CIA2	PPI
SSA2	PPI
TOM7	PPI
FRQ1	PPI
MSH4	PPI
TMT1	PPI
ATP14	PPI
SSB1	PPI
HSP82	PPI
SBA1	PPI
TIF3	PPI
NSE5	PPI
BRE5	PPI
NAF1	PPI
SSB2	PPI
SIS1	PPI
VPS45	PPI
RPN11	PPI
UBP3	PPI
MUK1	PPI
TEM1	PPI
KAP95	PPI
HSP104	PPI
HMT1	PPI
SSE1	PPI
TAH1	PPI
TLG2	PPI
SCL1	PPI
RAD23	PPI
PRE5	PPI
RPN13	PPI
PRE8	PPI
PRE9	PPI
PRE6	PPI
PUP2	PPI
CNS1	PPI
PRE4	PPI
PUP1	PPI
CDC15	PPI
BUB2	PPI
PIK1	PPI
PPT1	PPI
KRE29	PPI
NHP2	PPI
UBI4	PPI
PRE7	PPI
PRE2	PPI
PUP3	PPI
PRE3	PPI
ATP2	PPI
YDJ1	PPI
SGT1	PPI
SSA1	PPI
HSC82	PPI
DSK2	PPI
NUP42	PPI
NSP1	PPI
ULP1	PPI
HRP1	PPI
CIA1	PPI
MET18	PPI
STI1	PPI
FES1	PPI
STE11	PPI
HCH1	PPI
SLT2	PPI
SMT3	PPI
PEP7	PPI
ECM29	PPI
NAS6	PPI
NUP57	PPI
CBC2	PPI
NUP145	PPI
NUP49	PPI
SGT2	PPI
CHC1	PPI
TOM22	PPI
BUD27	PPI
SSE2	PPI
TDH3	PPI
HAP1	PPI
PIH1	PPI
LSM12	PPI
NOP10	PPI
RPN10	PPI
RNQ1	PPI
RPN14	PPI
URA7	PPI
GCD7	PPI
NUP159	PPI
RRP6	PPI
NCP1	PPI
UBP10	PPI
NUP116	PPI
MLP1	PPI
SUP35	PPI
GPI8	PPI
TOM1	PPI
ESS1	PPI
TOM40	PPI
PEX14	PPI
MSH5	PPI
SSZ1	PPI
TRX2	PPI
CPR6	PPI
SNF1	PPI
SNF4	PPI
TIF1	PPI
NPL3	PPI
BLM10	PPI
NUP60	PPI
GLC7	PPI
BMH1	PPI
PGI1	PPI
CSN9	PPI
SEC27	PPI
REG1	PPI
CRM1	PPI
NMD3	PPI
CDC25	PPI
MOT3	PPI
CBF5	PPI
MSB1	PPI
GCN2	PPI
RPS7B	PPI
SMK1	PPI
PGK1	PPI
BEM2	PPI
PWP1	PPI
YDL199C	PPI
VMA4	PPI
RPL19A	PPI
CDC19	PPI
ARC1	PPI
SSC1	PPI
CUE5	PPI
FPR3	PPI
PHO88	PPI
GAL1	PPI
UFD2	PPI
SMC5	PPI
RTT107	PPI
MMS21	PPI
GAR1	PPI
SHQ1	PPI
TPS1	PPI
TYR1	PPI
DHH1	PPI
EFT1	PPI
RPC40	PPI
NOC4	PPI
TPD3	PPI
RBG1	PPI
CKS1	PPI
ARX1	PPI
ZUO1	PPI
SDO1	PPI
RPT5	PPI
ENP1	PPI
MRT4	PPI
BMH2	PPI
ARD1	PPI
NAP1	PPI
AHP1	PPI
RGP1	PPI
UTP4	PPI
UTP6	PPI
DBP2	PPI
ANR2	PPI
ILV2	PPI
RPF2	PPI
PEP12	PPI
TLG1	PPI
OLA1	PPI
HEF3	PPI
ENO2	PPI
FBA1	PPI
ACT1	PPI
ADH1	PPI
THS1	PPI
KRS1	PPI
RPS5	PPI
YEF3	PPI
ERG20	PPI
TEF1	PPI
ASN1	PPI
TEF4	PPI
RPL5	PPI
RPS2	PPI
LEU1	PPI
SEC18	PPI
ENO1	PPI
YHB1	PPI
LYS21	PPI
CAJ1	PPI
FAS2	PPI
HTS1	PPI
GND1	PPI
KAP123	PPI
RPS11A	PPI
FAS1	PPI
PAB1	PPI
PDC1	PPI
ALD6	PPI
RPS0A	PPI
TAL1	PPI
TSA1	PPI
PMA1	PPI
DPS1	PPI
SAM1	PPI
SER1	PPI
SAH1	PPI
TDH1	PPI
DDI1	PPI
SEC53	PPI
CDC60	PPI
VAS1	PPI
RPO21	PPI
SIR4	PPI
ADY3	PPI
PSE1	PPI
ASM4	PPI
RFA1	PPI
NUP53	PPI
HTA1	PPI
HHF1	PPI
NAB2	PPI
RPN5	PPI
RIC1	PPI
YPT6	PPI
THP3	PPI
CLC1	PPI
HSP78	PPI
DNA2	PPI
ADE1	PPI
NUG1	PPI
ARB1	PPI
CLN3	PPI
MLH1	PPI
NUP192	PPI
SKP1	PPI
VAC14	PPI
SLY1	PPI
YFR016C	PPI
