gene	node_type
PYC1	gene
PYC2	gene
AAT1	gene
AAT2	gene
BCY1	PPI
SPS1	PPI
RPC40	PPI
PHO85	PPI
KSS1	PPI
SBA1	PPI
WWM1	PPI
PRP40	PPI
VPS21	PPI
ARP2	PPI
RIM15	PPI
ENT3	PPI
SSB2	PPI
APE1	PPI
ATG5	PPI
ULP1	PPI
SIT4	PPI
VAM6	PPI
CDH1	PPI
MMS22	PPI
PTC6	PPI
SSM4	PPI
ICL1	PPI
MLS1	PPI
RSP5	PPI
SSA2	PPI
FPR1	PPI
SML1	PPI
CDC12	PPI
ESS1	PPI
SRS2	PPI
SSB1	PPI
DMC1	PPI
SMC6	PPI
UBP10	PPI
MLC1	PPI
YCK1	PPI
HSP82	PPI
TPM1	PPI
HSP42	PPI
CMD1	PPI
HSP104	PPI
RVB1	PPI
RHO4	PPI
SSE1	PPI
PAM18	PPI
SSA1	PPI
CCT3	PPI
SEN1	PPI
VMA6	PPI
RVB2	PPI
LEU2	PPI
RPN11	PPI
SEN15	PPI
VID30	PPI
EFT1	PPI
LSP1	PPI
CDC3	PPI
HLJ1	PPI
SUI1	PPI
RPN10	PPI
PFD1	PPI
URA7	PPI
ADE16	PPI
CDC11	PPI
JJJ1	PPI
INO1	PPI
SSQ1	PPI
FUN30	PPI
ULP2	PPI
TDH2	PPI
RPN1	PPI
LHS1	PPI
GDH2	PPI
PEX11	PPI
