gene	node_type
MDH2	gene
MDH1	gene
MDH3	gene
AAT1	gene
AAT2	gene
PEX5	PPI
SSB1	PPI
GET3	PPI
SSB2	PPI
MGA2	PPI
ACT1	PPI
PDI1	PPI
CDC48	PPI
MET10	PPI
PFK1	PPI
FAA4	PPI
MMS22	PPI
RFC2	PPI
FBP1	PPI
MET18	PPI
HSP60	PPI
SAM1	PPI
RPN5	PPI
ADE5,7	PPI
SSC1	PPI
EXG1	PPI
TUB1	PPI
ILV2	PPI
HSC82	PPI
SCJ1	PPI
HSP82	PPI
GFA1	PPI
PYK2	PPI
LST8	PPI
LEU2	PPI
TCO89	PPI
GTT1	PPI
TOR1	PPI
KAR2	PPI
CHC1	PPI
YHR020W	PPI
UBI4	PPI
YIL108W	PPI
PMA1	PPI
KOG1	PPI
URA7	PPI
SSA1	PPI
RBG2	PPI
NAT1	PPI
SLD2	PPI
GLC7	PPI
HSP78	PPI
CIT1	PPI
RPC40	PPI
MIC60	PPI
HRR25	PPI
SAC6	PPI
RAD26	PPI
BUD20	PPI
PRP6	PPI
RAD53	PPI
GIP2	PPI
APP1	PPI
SBP1	PPI
CDC20	PPI
MEC1	PPI
RAD3	PPI
GND1	PPI
RAD54	PPI
HMT1	PPI
CAR1	PPI
SSA2	PPI
CCP1	PPI
YGK3	PPI
NTA1	PPI
YDR306C	PPI
APE2	PPI
BUD31	PPI
COX20	PPI
PTC6	PPI
TRZ1	PPI
CIT2	PPI
RPC82	PPI
TFC3	PPI
CPR5	PPI
RPB3	PPI
TMA108	PPI
SCP160	PPI
TMA46	PPI
PEX11	PPI
RSP5	PPI
PRP40	PPI
PEX14	PPI
SIS1	PPI
RPC37	PPI
YPT7	PPI
IPL1	PPI
SBA1	PPI
WWM1	PPI
ESS1	PPI
SEC65	PPI
RET1	PPI
PTK2	PPI
RPL16A	PPI
SSE1	PPI
LSM12	PPI
RPC19	PPI
VMA6	PPI
RVB2	PPI
RPN11	PPI
SEN15	PPI
VID30	PPI
EFT1	PPI
LSP1	PPI
PHO85	PPI
CDC3	PPI
HLJ1	PPI
SUI1	PPI
RPN10	PPI
PFD1	PPI
ADE16	PPI
CDC11	PPI
JJJ1	PPI
INO1	PPI
SSQ1	PPI
FUN30	PPI
ULP2	PPI
TDH2	PPI
SSM4	PPI
RPN1	PPI
LHS1	PPI
GDH2	PPI
PEX17	PPI
PEX12	PPI
PEX7	PPI
PEX8	PPI
MDY2	PPI
GET4	PPI
GET2	PPI
PEX6	PPI
PEX10	PPI
PEX1	PPI
FES1	PPI
SEC22	PPI
LAS17	PPI
HRD1	PPI
VMS1	PPI
RPN3	PPI
RPN7	PPI
RPN12	PPI
TIM23	PPI
TAH1	PPI
DDI1	PPI
GIR2	PPI
REF2	PPI
RPA190	PPI
RFA1	PPI
SSL1	PPI
VPH1	PPI
PIH1	PPI
SCL1	PPI
RAD23	PPI
PRE5	PPI
RPN13	PPI
PRE8	PPI
PRE9	PPI
PRE6	PPI
PUP2	PPI
PCL7	PPI
PCL6	PPI
TIF5	PPI
RPN9	PPI
RPT1	PPI
UBP6	PPI
RPT4	PPI
CAT2	PPI
PEX2	PPI
PEX18	PPI
BUD27	PPI
SSE2	PPI
ZIM17	PPI
CPR6	PPI
AHA1	PPI
CNS1	PPI
TOR2	PPI
SUP35	PPI
GAC1	PPI
YPI1	PPI
GLC8	PPI
RPA135	PPI
BRR2	PPI
MAD3	PPI
RFA2	PPI
TFB1	PPI
TFB3	PPI
RPO31	PPI
SPT23	PPI
ALY2	PPI
UBC1	PPI
VAM6	PPI
PRE4	PPI
PUP1	PPI
PCL10	PPI
PCL8	PPI
PCL1	PPI
SHS1	PPI
PRT1	PPI
ESA1	PPI
RFC1	PPI
RFC4	PPI
PRE1	PPI
MSS51	PPI
TUB2	PPI
PPT1	PPI
VPS27	PPI
DOA1	PPI
SCD5	PPI
BNI4	PPI
DUN1	PPI
ABP1	PPI
RVS167	PPI
MAF1	PPI
TFG2	PPI
TFG1	PPI
SPT5	PPI
RBG1	PPI
ROD1	PPI
GDI1	PPI
DAM1	PPI
BIR1	PPI
PRE7	PPI
PRE2	PPI
PUP3	PPI
PRE3	PPI
PIL1	PPI
TIF34	PPI
RPN6	PPI
SSZ1	PPI
TRX2	PPI
SNF1	PPI
SNF4	PPI
TIF1	PPI
NPL3	PPI
BLM10	PPI
NCP1	PPI
TDH3	PPI
NUP60	PPI
SMT3	PPI
BMH1	PPI
PGI1	PPI
