gene1	gene	score
UGP1	UGP1	0.333333333333333
UGP1	HSP82	0.222222222222222
UGP1	GLC7	0.222222222222222
UGP1	PSK2	0.222222222222222
UGP1	RPN11	0.222222222222222
UGP1	PSK1	0.222222222222222
UGP1	SSB1	0.222222222222222
UGP1	UGP1	0.222222222222222
UGP1	SSA1	0.222222222222222
PGM2	HUG1	0.222222222222222
ALG5	WBP1	0.222222222222222
ALG5	ERG25	0.222222222222222
HSP82	TAH1	0.222222222222222
GLC7	REF2	0.222222222222222
RPN11	SCL1	0.222222222222222
RPN11	RAD23	0.222222222222222
RPN11	PRE5	0.222222222222222
RPN11	RPN13	0.222222222222222
RPN11	PRE8	0.222222222222222
RPN11	PRE9	0.222222222222222
RPN11	PRE6	0.222222222222222
RPN11	PUP2	0.222222222222222
SSB1	SSE1	0.222222222222222
WBP1	STT3	0.222222222222222
HSP82	CNS1	0.197530864197531
GLC7	GAC1	0.197530864197531
GLC7	YPI1	0.197530864197531
GLC7	GLC8	0.197530864197531
RPN11	PRE4	0.197530864197531
RPN11	PUP1	0.197530864197531
SSA1	SUP35	0.197530864197531
HSP82	HSP82	0.17283950617284
HSP82	PPT1	0.17283950617284
GLC7	SCD5	0.17283950617284
GLC7	BNI4	0.17283950617284
RPN11	UBI4	0.17283950617284
RPN11	PRE7	0.17283950617284
RPN11	PRE2	0.17283950617284
RPN11	PUP3	0.17283950617284
RPN11	PRE3	0.17283950617284
HSP82	YDJ1	0.148148148148148
HSP82	SSA2	0.148148148148148
HSP82	SGT1	0.148148148148148
HSP82	SSA1	0.148148148148148
GLC7	BUD14	0.148148148148148
GLC7	GIP2	0.148148148148148
GLC7	SWD2	0.148148148148148
GLC7	GIP1	0.148148148148148
RPN11	DSK2	0.148148148148148
SSA1	HSP82	0.148148148148148
SSA1	FES1	0.148148148148148
SSA1	STI1	0.148148148148148
HSP82	STE11	0.123456790123457
HSP82	HCH1	0.123456790123457
HSP82	SLT2	0.123456790123457
GLC7	PTI1	0.123456790123457
GLC7	CFT1	0.123456790123457
RPN11	ECM29	0.123456790123457
RPN11	SSB2	0.123456790123457
RPN11	NAS6	0.123456790123457
SSB1	FES1	0.123456790123457
SSB1	SSA1	0.123456790123457
SSA1	SSB1	0.123456790123457
SSA1	SGT2	0.123456790123457
WBP1	OST4	0.123456790123457
UGP1	UGP1	0.111111111111111
UGP1	CDC28	0.111111111111111
UGP1	ESC1	0.111111111111111
UGP1	YGL242C	0.111111111111111
UGP1	PHO85	0.111111111111111
UGP1	PCL1	0.111111111111111
UGP1	HRR25	0.111111111111111
UGP1	LAS17	0.111111111111111
UGP1	PDS1	0.111111111111111
UGP1	RAD26	0.111111111111111
UGP1	PRP6	0.111111111111111
UGP1	AIR2	0.111111111111111
UGP1	JEM1	0.111111111111111
UGP1	PFD1	0.111111111111111
UGP1	TEM1	0.111111111111111
UGP1	SSB2	0.111111111111111
UGP1	NOP14	0.111111111111111
UGP1	MMS22	0.111111111111111
UGP1	HSP104	0.111111111111111
UGP1	RPC82	0.111111111111111
UGP1	DHH1	0.111111111111111
UGP1	PTC7	0.111111111111111
UGP1	ATG5	0.111111111111111
UGP1	RFA3	0.111111111111111
UGP1	RNR3	0.111111111111111
UGP1	RVS167	0.111111111111111
UGP1	RPC40	0.111111111111111
UGP1	SIW14	0.111111111111111
UGP1	YPL150W	0.111111111111111
UGP1	UBC	0.111111111111111
UGP1	BNI1	0.111111111111111
UGP1	VAM6	0.111111111111111
UGP1	COQ9	0.111111111111111
UGP1	UBP3	0.111111111111111
UGP1	ROM2	0.111111111111111
UGP1	SSD1	0.111111111111111
UGP1	AFG3	0.111111111111111
UGP1	KSS1	0.111111111111111
UGP1	PHR1	0.111111111111111
UGP1	RAD54	0.111111111111111
UGP1	SAP185	0.111111111111111
UGP1	SWD1	0.111111111111111
UGP1	CCT8	0.111111111111111
UGP1	HSP78	0.111111111111111
UGP1	HSP26	0.111111111111111
UGP1	RLP7	0.111111111111111
