gene	node_type
ERG4	gene
ERG6	gene
ERG28	PPI
STE20	PPI
SSB1	PPI
SSE1	PPI
SSA1	PPI
DYN1	PPI
RPN11	PPI
SSA2	PPI
ERG26	PPI
ERG27	PPI
ERG25	PPI
BSD2	PPI
PSA1	PPI
ERG24	PPI
ERG1	PPI
VMA2	PPI
YDJ1	PPI
CCT2	PPI
HSP78	PPI
ERG5	PPI
ERG11	PPI
GAS3	PPI
CCT5	PPI
NSG1	PPI
FMP25	PPI
FAT1	PPI
SSB2	PPI
UBC	PPI
MTF1	PPI
TSC22D1	PPI
RPN1	PPI
RPN10	PPI
RPT5	PPI
SPC1	PPI
SEC72	PPI
TCD1	PPI
OM14	PPI
MSP1	PPI
ATP3	PPI
OAC1	PPI
INP1	PPI
PEX13	PPI
PEX2	PPI
PEX12	PPI
IML2	PPI
DIC1	PPI
DAP1	PPI
FIS1	PPI
PEX29	PPI
DSL1	PPI
SSA4	PPI
PFD1	PPI
BZZ1	PPI
PIS1	PPI
ERG3	PPI
FOL1	PPI
PEX19	PPI
DJP1	PPI
ERG2	PPI
ERG7	PPI
ERG9	PPI
SEN15	PPI
MCR1	PPI
PTH2	PPI
PET8	PPI
COX7	PPI
MMM1	PPI
PEX5	PPI
PEX25	PPI
JSN1	PPI
CBR1	PPI
GSF2	PPI
DPM1	PPI
YTP1	PPI
PEX31	PPI
PEX32	PPI
KAP123	PPI
NUR1	PPI
ULP1	PPI
YOR097C	PPI
LAM6	PPI
RTN1	PPI
QCR9	PPI
MDM34	PPI
TOM71	PPI
PEX30	PPI
PEX10	PPI
ARC15	PPI
TOM22	PPI
AYR1	PPI
FMP52	PPI
GET1	PPI
HSP26	PPI
MDV1	PPI
TIM54	PPI
SCL1	PPI
RAD23	PPI
PRE5	PPI
RPN13	PPI
PRE8	PPI
PRE9	PPI
PRE6	PPI
PUP2	PPI
SUP35	PPI
PRE4	PPI
PUP1	PPI
UBI4	PPI
PRE7	PPI
PRE2	PPI
PUP3	PPI
PRE3	PPI
NBP2	PPI
HSP82	PPI
FES1	PPI
STI1	PPI
DSK2	PPI
SGT2	PPI
ECM29	PPI
NAS6	PPI
VMA4	PPI
UBP6	PPI
RPT4	PPI
RPN5	PPI
RPN9	PPI
RPT1	PPI
SEC63	PPI
TIP20	PPI
MDM12	PPI
BUD27	PPI
SSE2	PPI
HSP104	PPI
CPR7	PPI
CPR6	PPI
HSC82	PPI
PAC1	PPI
BNI1	PPI
TUB2	PPI
RPN14	PPI
URA7	PPI
VPH1	PPI
RPN12	PPI
SEC39	PPI
LAS17	PPI
RPO41	PPI
RPN6	PPI
RPN3	PPI
NAS2	PPI
HSM3	PPI
MDM10	PPI
SRP1	PPI
PSE1	PPI
TIM18	PPI
CLN2	PPI
CDC28	PPI
STE11	PPI
SSZ1	PPI
TRX2	PPI
SNF1	PPI
SNF4	PPI
TIF1	PPI
NPL3	PPI
BLM10	PPI
NCP1	PPI
TDH3	PPI
NUP60	PPI
SMT3	PPI
GLC7	PPI
BMH1	PPI
PGI1	PPI
CSN9	PPI
SEC27	PPI
REG1	PPI
CRM1	PPI
NMD3	PPI
TOM1	PPI
CHC1	PPI
URA2	PPI
RVB1	PPI
NPL6	PPI
AHA1	PPI
PGK1	PPI
PRE1	PPI
GET4	PPI
SSC1	PPI
RPA135	PPI
NSP1	PPI
FPR3	PPI
CNS1	PPI
URE2	PPI
CLN3	PPI
CDC48	PPI
BRE5	PPI
UBP3	PPI
ILV1	PPI
SNL1	PPI
CAR2	PPI
TOM70	PPI
PRB1	PPI
RNR4	PPI
DYN3	PPI
KAR3	PPI
BIM1	PPI
TUB1	PPI
MYO2	PPI
OLA1	PPI
HEF3	PPI
ENO2	PPI
FBA1	PPI
ACT1	PPI
ADH1	PPI
THS1	PPI
KRS1	PPI
RPS5	PPI
YEF3	PPI
ERG20	PPI
TEF1	PPI
EFT1	PPI
CDC19	PPI
ASN1	PPI
TEF4	PPI
RPL5	PPI
RPS2	PPI
LEU1	PPI
SEC18	PPI
ENO1	PPI
YHB1	PPI
LYS21	PPI
CAJ1	PPI
FAS2	PPI
HTS1	PPI
GND1	PPI
RPS11A	PPI
FAS1	PPI
PAB1	PPI
PDC1	PPI
ALD6	PPI
RPS0A	PPI
TAL1	PPI
TSA1	PPI
PMA1	PPI
DPS1	PPI
SAM1	PPI
SER1	PPI
SAH1	PPI
TDH1	PPI
DDI1	PPI
SEC53	PPI
CDC60	PPI
