gene1	gene	score
SOD1	CCS1	0.666666666666667
SOD1	SOD1	0.555555555555556
CCS1	SOD1	0.444444444444445
SOD1	CCS1	0.37037037037037
SOD1	SOD1	0.308641975308642
SOD2	SOD2	0.222222222222222
SOD1	SMT3	0.222222222222222
SOD1	YCK1	0.222222222222222
SOD1	CMD1	0.222222222222222
SOD1	BSD2	0.222222222222222
SOD1	KAR2	0.222222222222222
SOD1	DUN1	0.222222222222222
CMD1	CNA1	0.222222222222222
SMT3	SLX5	0.197530864197531
CMD1	MYO2	0.197530864197531
SMT3	SRS2	0.17283950617284
CMD1	CMK1	0.17283950617284
DUN1	RAD53	0.17283950617284
CCS1	MIA40	0.148148148148148
CCS1	CCS1	0.148148148148148
SMT3	SIZ1	0.148148148148148
SMT3	ULP1	0.148148148148148
CMD1	MYO5	0.148148148148148
CMD1	CMK2	0.148148148148148
KAR2	SIL1	0.148148148148148
KAR2	LHS1	0.148148148148148
KAR2	IRE1	0.148148148148148
DUN1	SML1	0.148148148148148
SOD1	SMT3	0.123456790123457
SOD1	YCK1	0.123456790123457
SOD1	CMD1	0.123456790123457
SOD1	BSD2	0.123456790123457
SOD1	KAR2	0.123456790123457
SOD1	DUN1	0.123456790123457
SMT3	SMT3	0.123456790123457
SMT3	NSE5	0.123456790123457
SMT3	NFI1	0.123456790123457
SMT3	ELG1	0.123456790123457
SMT3	WSS1	0.123456790123457
CMD1	CMP2	0.123456790123457
KAR2	SEC63	0.123456790123457
SOD2	BNI1	0.111111111111111
SOD2	SSC1	0.111111111111111
SOD2	CCP1	0.111111111111111
SOD2	MIC60	0.111111111111111
SOD2	SSB1	0.111111111111111
SOD2	TRM7	0.111111111111111
SOD2	SSB2	0.111111111111111
SOD2	GCN5	0.111111111111111
SOD2	MMS22	0.111111111111111
SOD2	PEX29	0.111111111111111
SOD2	RAD10	0.111111111111111
SOD2	SGF29	0.111111111111111
SOD2	MIC10	0.111111111111111
SOD2	GSY1	0.111111111111111
SOD2	MRX6	0.111111111111111
SOD2	SOD2	0.111111111111111
SOD2	RRM3	0.111111111111111
SOD2	PHO4	0.111111111111111
SOD2	RSC9	0.111111111111111
SOD2	RVB1	0.111111111111111
SOD2	CMK2	0.111111111111111
SOD2	CAJ1	0.111111111111111
SOD2	SSA1	0.111111111111111
SOD2	YKU80	0.111111111111111
SOD1	BNI1	0.111111111111111
SOD1	YDL176W	0.111111111111111
SOD1	LTE1	0.111111111111111
SOD1	RAD24	0.111111111111111
SOD1	SEN15	0.111111111111111
SOD1	RAD27	0.111111111111111
SOD1	KAR3	0.111111111111111
SOD1	MIA40	0.111111111111111
SOD1	PHO85	0.111111111111111
SOD1	SGS1	0.111111111111111
SOD1	PXA2	0.111111111111111
SOD1	RPN11	0.111111111111111
SOD1	PRP6	0.111111111111111
SOD1	RTT107	0.111111111111111
SOD1	SSA2	0.111111111111111
SOD1	RPN10	0.111111111111111
SOD1	FPR1	0.111111111111111
SOD1	CDC45	0.111111111111111
SOD1	NFS1	0.111111111111111
SOD1	SSQ1	0.111111111111111
SOD1	SSB2	0.111111111111111
SOD1	CMR1	0.111111111111111
SOD1	TOM1	0.111111111111111
SOD1	SSE1	0.111111111111111
SOD1	YCF1	0.111111111111111
SOD1	CTF4	0.111111111111111
SOD1	SSA1	0.111111111111111
SOD1	SSB1	0.111111111111111
SOD1	CCP1	0.111111111111111
SOD1	ULP1	0.111111111111111
SOD1	RPN1	0.111111111111111
SOD1	YJU2	0.111111111111111
SOD1	ARK1	0.111111111111111
SOD1	JAC1	0.111111111111111
FRE8	SIS1	0.111111111111111
FRE8	SSB1	0.111111111111111
FRE8	UBC7	0.111111111111111
FRE8	MEK1	0.111111111111111
FRE8	SSE1	0.111111111111111
FRE8	SSA1	0.111111111111111
SSC1	TIM23	0.111111111111111
SSB1	SSE1	0.111111111111111
GCN5	SGF73	0.111111111111111
SGF29	SPT7	0.111111111111111
RSC9	RSC2	0.111111111111111
PHO85	PCL7	0.111111111111111
PHO85	PCL6	0.111111111111111
RPN11	SCL1	0.111111111111111
RPN11	RAD23	0.111111111111111
RPN11	PRE5	0.111111111111111
RPN11	RPN13	0.111111111111111
RPN11	PRE8	0.111111111111111
RPN11	PRE9	0.111111111111111
RPN11	PRE6	0.111111111111111
RPN11	PUP2	0.111111111111111
RPN10	RPN9	0.111111111111111
RPN10	RPT1	0.111111111111111
CDC45	MCM5	0.111111111111111
SSE1	SSB1	0.111111111111111
RPN1	UBP6	0.111111111111111
RPN1	RPT4	0.111111111111111
RPN1	RPN5	0.111111111111111
SMT3	ULS1	0.0987654320987654
SMT3	POL30	0.0987654320987654
SMT3	RAD52	0.0987654320987654
SMT3	SMC5	0.0987654320987654
BSD2	RSP5	0.0987654320987654
KAR2	PRC1	0.0987654320987654
KAR2	SCJ1	0.0987654320987654
BNI1	BUD6	0.0987654320987654
SSC1	ZIM17	0.0987654320987654
CCP1	CCP1	0.0987654320987654
GCN5	SPT3	0.0987654320987654
GCN5	TAF9	0.0987654320987654
GCN5	TAF5	0.0987654320987654
SSA1	SUP35	0.0987654320987654
PHO85	PCL10	0.0987654320987654
PHO85	PCL8	0.0987654320987654
PHO85	PCL1	0.0987654320987654
RPN11	PRE4	0.0987654320987654
RPN11	PUP1	0.0987654320987654
PRP6	BRR2	0.0987654320987654
RTT107	SLX4	0.0987654320987654
RPN10	RPN12	0.0987654320987654
CDC45	MCM3	0.0987654320987654
CDC45	MCM7	0.0987654320987654
CDC45	SLD3	0.0987654320987654
NFS1	ISD11	0.0987654320987654
SSC1	MSS51	0.0864197530864198
GCN5	HHF1	0.0864197530864198
GCN5	SGF11	0.0864197530864198
GCN5	TAF12	0.0864197530864198
SGF29	TAF6	0.0864197530864198
PHO4	PHO80	0.0864197530864198
LTE1	KEL1	0.0864197530864198
RAD27	POL30	0.0864197530864198
KAR3	VIK1	0.0864197530864198
RPN11	UBI4	0.0864197530864198
RPN11	PRE7	0.0864197530864198
RPN11	PRE2	0.0864197530864198
RPN11	PUP3	0.0864197530864198
RPN11	PRE3	0.0864197530864198
RPN10	RPN6	0.0864197530864198
RPN10	RAD23	0.0864197530864198
ULP1	SRP1	0.0864197530864198
ULP1	PSE1	0.0864197530864198
RPN1	RPN6	0.0864197530864198
RPN1	RPN3	0.0864197530864198
UBC7	CUE1	0.0864197530864198
CCS1	SIS1	0.0740740740740741
CCS1	CPR1	0.0740740740740741
CCS1	CCS1	0.0740740740740741
CCS1	PBY1	0.0740740740740741
CCS1	CTF18	0.0740740740740741
CCS1	DDC1	0.0740740740740741
CCS1	DCC1	0.0740740740740741
CCS1	RAD27	0.0740740740740741
CCS1	CDC73	0.0740740740740741
CCS1	GET2	0.0740740740740741
CCS1	PTC5	0.0740740740740741
CCS1	RAD52	0.0740740740740741
CCS1	SMI1	0.0740740740740741
CCS1	SSB2	0.0740740740740741
CCS1	RAD50	0.0740740740740741
CCS1	CTF8	0.0740740740740741
CCS1	CAT2	0.0740740740740741
CCS1	SSB1	0.0740740740740741
CCS1	CTF4	0.0740740740740741
CCS1	SSA1	0.0740740740740741
SMT3	ZIP1	0.0740740740740741
SMT3	SMT3	0.0740740740740741
SMT3	CDC48	0.0740740740740741
SMT3	SLX8	0.0740740740740741
SMT3	RAP1	0.0740740740740741
SMT3	SGS1	0.0740740740740741
SMT3	FIR1	0.0740740740740741
SMT3	TOP2	0.0740740740740741
SMT3	ULP2	0.0740740740740741
SMT3	UBA2	0.0740740740740741
SMT3	HMO1	0.0740740740740741
SMT3	CDC11	0.0740740740740741
SMT3	RED1	0.0740740740740741
SMT3	SSB1	0.0740740740740741
SMT3	NIS1	0.0740740740740741
SMT3	ECM11	0.0740740740740741
CMD1	MLP2	0.0740740740740741
CMD1	ARC35	0.0740740740740741
CMD1	IQG1	0.0740740740740741
CMD1	MLC1	0.0740740740740741
BSD2	SSA1	0.0740740740740741
BNI1	BNI1	0.0740740740740741
BNI1	ACT1	0.0740740740740741
BNI1	CDC42	0.0740740740740741
MIC60	MIC10	0.0740740740740741
GCN5	SGF29	0.0740740740740741
MMS22	RTT107	0.0740740740740741
SGF29	GCN5	0.0740740740740741
SGF29	NGG1	0.0740740740740741
SGF29	SPT20	0.0740740740740741
SGF29	UBP8	0.0740740740740741
SGF29	HFI1	0.0740740740740741
MIC10	MIC60	0.0740740740740741
RSC9	RSC8	0.0740740740740741
RVB1	HTZ1	0.0740740740740741
CMK2	CMD1	0.0740740740740741
SSA1	HSP82	0.0740740740740741
SSA1	FES1	0.0740740740740741
SSA1	STI1	0.0740740740740741
RAD24	RFC5	0.0740740740740741
PHO85	PAH1	0.0740740740740741
PHO85	PCL2	0.0740740740740741
RPN11	DSK2	0.0740740740740741
RTT107	MMS22	0.0740740740740741
SSA2	HSP82	0.0740740740740741
SSA2	SSE1	0.0740740740740741
RPN10	RPT3	0.0740740740740741
RPN10	RPN7	0.0740740740740741
RPN10	NAS6	0.0740740740740741
RPN10	RPT6	0.0740740740740741
RPN10	RPN5	0.0740740740740741
RPN10	DSK2	0.0740740740740741
CDC45	MCM6	0.0740740740740741
NFS1	ISU1	0.0740740740740741
SSE1	SSA2	0.0740740740740741
ULP1	KAP95	0.0740740740740741
ULP1	SMT3	0.0740740740740741
RPN1	RPN8	0.0740740740740741
RPN1	RPN9	0.0740740740740741
RPN1	RPN7	0.0740740740740741
RPN1	RPN12	0.0740740740740741
UBC7	SSM4	0.0740740740740741
SOD1	BNI1	0.0617283950617284
SOD1	YDL176W	0.0617283950617284
