gene	node_type
FAA4	gene
FAA2	gene
FAA3	gene
FAA1	gene
FAT1	PPI
RPN11	PPI
PDR12	PPI
TOP2	PPI
GCN1	PPI
RVB1	PPI
SUP35	PPI
GCD7	PPI
MDH2	PPI
HHT1	PPI
NMT1	PPI
CNA1	PPI
PTC3	PPI
ADA2	PPI
PEX19	PPI
URA2	PPI
RPC82	PPI
UTP5	PPI
DSS4	PPI
SAC6	PPI
CSE4	PPI
GCN5	PPI
SGF73	PPI
OM14	PPI
PDC1	PPI
SGF29	PPI
ACO1	PPI
PSR2	PPI
SIT4	PPI
SPT7	PPI
HHF1	PPI
BRE5	PPI
UBI4	PPI
TAF5	PPI
DSN1	PPI
TEM1	PPI
VAM6	PPI
NFI1	PPI
NMD2	PPI
CLU1	PPI
RVB2	PPI
TAF9	PPI
SPL2	PPI
PEX17	PPI
URN1	PPI
PGC1	PPI
SSE1	PPI
CDC33	PPI
HRT1	PPI
RLP7	PPI
HSC82	PPI
RPN1	PPI
SSB2	PPI
CMR1	PPI
AIM4	PPI
MMS22	PPI
RPN10	PPI
GTR1	PPI
LEU2	PPI
MET6	PPI
YPK3	PPI
CHA4	PPI
RNR1	PPI
SSA1	PPI
SWI5	PPI
BCK1	PPI
CDC25	PPI
TPO3	PPI
FRK1	PPI
RPS0A	PPI
SNU71	PPI
GIM3	PPI
ALR1	PPI
SSB1	PPI
ALO1	PPI
COX20	PPI
MIC60	PPI
BNI1	PPI
RPT5	PPI
VID22	PPI
SSC1	PPI
LAS17	PPI
KAP104	PPI
PTC6	PPI
GCN3	PPI
ERT1	PPI
JSN1	PPI
NMA111	PPI
DBF2	PPI
SCL1	PPI
RAD23	PPI
PRE5	PPI
RPN13	PPI
PRE8	PPI
PRE9	PPI
PRE6	PPI
PUP2	PPI
PRE4	PPI
PUP1	PPI
PRE7	PPI
PRE2	PPI
PUP3	PPI
PRE3	PPI
DSK2	PPI
ECM29	PPI
NAS6	PPI
GCD2	PPI
RLF2	PPI
CMD1	PPI
SAP190	PPI
SAP185	PPI
SGF11	PPI
HAT1	PPI
DDI1	PPI
TAF11	PPI
MIF2	PPI
NDC80	PPI
PEP5	PPI
UBC9	PPI
PIH1	PPI
SPT20	PPI
NGG1	PPI
PEX14	PPI
CAF20	PPI
UBP6	PPI
RPT4	PPI
RPN5	PPI
RPN9	PPI
RPT1	PPI
RAS2	PPI
TIM23	PPI
ACT1	PPI
HRP1	PPI
GCD6	PPI
GCD1	PPI
RPN14	PPI
URA7	PPI
SSA2	PPI
GCN20	PPI
HTZ1	PPI
PAA1	PPI
RPO31	PPI
PSH1	PPI
SPT3	PPI
HAT2	PPI
CDC48	PPI
NUF2	PPI
SPC25	PPI
CDC15	PPI
BUB2	PPI
YPT7	PPI
VPS16	PPI
HFI1	PPI
CDC4	PPI
CPR6	PPI
AHA1	PPI
RPN12	PPI
BUD6	PPI
ZIM17	PPI
LSB3	PPI
BZZ1	PPI
YSC84	PPI
ARP2	PPI
GCN2	PPI
PAB1	PPI
CAC2	PPI
DOT1	PPI
SET2	PPI
HIF1	PPI
SPT16	PPI
CNB1	PPI
MAF1	PPI
TAF12	PPI
TAF6	PPI
ESA1	PPI
BDF1	PPI
VPS27	PPI
DOA1	PPI
UBP8	PPI
AME1	PPI
KRE28	PPI
SPC24	PPI
PEP3	PPI
TRA1	PPI
TAF4	PPI
NOP7	PPI
RPN6	PPI
RPN3	PPI
SML1	PPI
MUD1	PPI
NAM8	PPI
NAS2	PPI
HSM3	PPI
MSS51	PPI
MYO3	PPI
OLA1	PPI
HEF3	PPI
ENO2	PPI
TIF1	PPI
FBA1	PPI
ADH1	PPI
THS1	PPI
KRS1	PPI
RPS5	PPI
HSP104	PPI
YEF3	PPI
ERG20	PPI
TEF1	PPI
EFT1	PPI
CDC19	PPI
ASN1	PPI
TEF4	PPI
RPL5	PPI
RPS2	PPI
LEU1	PPI
SEC18	PPI
HSP82	PPI
ENO1	PPI
YHB1	PPI
LYS21	PPI
CAJ1	PPI
FAS2	PPI
HTS1	PPI
GND1	PPI
KAP123	PPI
RPS11A	PPI
FAS1	PPI
ALD6	PPI
PGK1	PPI
TAL1	PPI
TSA1	PPI
PMA1	PPI
DPS1	PPI
SAM1	PPI
BMH1	PPI
SER1	PPI
SAH1	PPI
TDH1	PPI
SEC53	PPI
CDC60	PPI
VAS1	PPI
GCD11	PPI
HTB1	PPI
YNG1	PPI
SUS1	PPI
PEX3	PPI
