gene	node_type
CDC21	gene
SHM1	gene
SHM2	gene
DFR1	gene
MET12	gene
MET13	gene
MTD1	gene
NOG1	PPI
YDJ1	PPI
APJ1	PPI
PFD1	PPI
HSP12	PPI
SUA7	PPI
SSB2	PPI
SSB1	PPI
TCA17	PPI
RTF1	PPI
SSA1	PPI
SSA3	PPI
GTT2	PPI
ECM10	PPI
HSP82	PPI
YKE2	PPI
NAP1	PPI
MMS22	PPI
RPL16A	PPI
TMA46	PPI
UBP3	PPI
DSN1	PPI
SSQ1	PPI
RQC1	PPI
ASF1	PPI
UBC	PPI
COX4	PPI
RPL2A	PPI
COX20	PPI
TMA108	PPI
SCP160	PPI
SSC1	PPI
MIC60	PPI
SSA2	PPI
SSE1	PPI
YML018C	PPI
TOM1	PPI
PRP11	PPI
RPT5	PPI
ACS2	PPI
SEH1	PPI
RPN10	PPI
SEG1	PPI
LSM5	PPI
TGL5	PPI
CBF5	PPI
RPN1	PPI
GFA1	PPI
RFC3	PPI
BRE2	PPI
SUI1	PPI
SET1	PPI
IRC20	PPI
SIS1	PPI
ULP1	PPI
LTE1	PPI
PHO4	PPI
ESC1	PPI
ARP6	PPI
FRD1	PPI
GCN20	PPI
SKP1	PPI
CAJ1	PPI
LYS4	PPI
PBS2	PPI
SER33	PPI
DBF2	PPI
SRP1	PPI
RPN11	PPI
BUD3	PPI
RPC40	PPI
DHH1	PPI
STE4	PPI
PSH1	PPI
PRE1	PPI
CDC19	PPI
SAM1	PPI
BAS1	PPI
CDC12	PPI
ULP2	PPI
CIA2	PPI
WWM1	PPI
CNE1	PPI
TIM23	PPI
SSE2	PPI
CAP1	PPI
RSP5	PPI
UBR1	PPI
DCC1	PPI
PHO85	PPI
HSP78	PPI
PRP40	PPI
HSP104	PPI
SWE1	PPI
ZUO1	PPI
HSC82	PPI
JEM1	PPI
PRP16	PPI
TPK1	PPI
SSM4	PPI
SSZ1	PPI
KAR2	PPI
HSP42	PPI
LYS14	PPI
CDC28	PPI
SKS1	PPI
HRR25	PPI
FUS3	PPI
ARO80	PPI
SMD3	PPI
