gene	node_type
EMI2	gene
GLK1	gene
SSA1	PPI
MMS22	PPI
SSB1	PPI
RPN11	PPI
LTE1	PPI
SIW14	PPI
CHK1	PPI
ECM10	PPI
ENT3	PPI
SKS1	PPI
VPH1	PPI
SIP1	PPI
SBA1	PPI
NPA3	PPI
YDJ1	PPI
WSS1	PPI
SSE1	PPI
YPL150W	PPI
DBF2	PPI
JSN1	PPI
SSA2	PPI
YCK3	PPI
HSP82	PPI
SSB2	PPI
NAS6	PPI
PUS6	PPI
RSP5	PPI
HHF1	PPI
GLC7	PPI
PRP6	PPI
YGL081W	PPI
ACT1	PPI
SWA2	PPI
RPP0	PPI
RVS167	PPI
TPS1	PPI
CDC9	PPI
YTA6	PPI
HRR25	PPI
SPT2	PPI
CDC14	PPI
CWC22	PPI
ARG81	PPI
RIM11	PPI
RPN10	PPI
ARG2	PPI
BNI1	PPI
RPN1	PPI
RFA3	PPI
SKP2	PPI
CAF20	PPI
YBL036C	PPI
FIG1	PPI
HAP2	PPI
YKU80	PPI
SHE3	PPI
NAN1	PPI
POL30	PPI
SEN15	PPI
RAD59	PPI
SRP1	PPI
MOB2	PPI
CSE2	PPI
RPT5	PPI
PEX7	PPI
NOP58	PPI
YPT10	PPI
SWD1	PPI
SRS2	PPI
RAD30	PPI
ERB1	PPI
PHO4	PPI
AFG3	PPI
TEM1	PPI
MLH3	PPI
PPZ2	PPI
RCK1	PPI
CDC10	PPI
CDC28	PPI
TMA19	PPI
PPT1	PPI
SIS1	PPI
SIR3	PPI
GYP6	PPI
RFC4	PPI
SLT2	PPI
RAD16	PPI
ESA1	PPI
ATG5	PPI
SCL1	PPI
RAD23	PPI
PRE5	PPI
RPN13	PPI
PRE8	PPI
PRE9	PPI
PRE6	PPI
PUP2	PPI
SUP35	PPI
PRE4	PPI
PUP1	PPI
UBI4	PPI
PRE7	PPI
PRE2	PPI
PUP3	PPI
PRE3	PPI
FES1	PPI
STI1	PPI
RTT107	PPI
DSK2	PPI
SGT2	PPI
RTT101	PPI
ECM29	PPI
VMA13	PPI
VMA6	PPI
TAH1	PPI
RPT1	PPI
HAT1	PPI
REF2	PPI
LAS17	PPI
RPN9	PPI
UBP6	PPI
RPT4	PPI
RPN5	PPI
RFA2	PPI
CDC33	PPI
HAP5	PPI
RAD51	PPI
YTM1	PPI
MLH1	PPI
CDH1	PPI
EAF1	PPI
YAF9	PPI
ATG16	PPI
HSP104	PPI
CPR7	PPI
CPR6	PPI
HSC82	PPI
CTF4	PPI
BUD27	PPI
SSE2	PPI
RPN14	PPI
URA7	PPI
VMA2	PPI
CNS1	PPI
SPT23	PPI
ALY2	PPI
UBC1	PPI
HTZ1	PPI
HAT2	PPI
GAC1	PPI
YPI1	PPI
GLC8	PPI
BRR2	PPI
ABP1	PPI
IME1	PPI
RPN12	PPI
BUD6	PPI
HAP3	PPI
RAD18	PPI
MSH2	PPI
CSE1	PPI
CBK1	PPI
MED4	PPI
PEX21	PPI
PEX14	PPI
YTA12	PPI
CDC15	PPI
BUB2	PPI
SHS1	PPI
SWE1	PPI
STB1	PPI
RAP1	PPI
ELG1	PPI
MSG5	PPI
SWC4	PPI
EAF3	PPI
KEL1	PPI
SNF4	PPI
ROD1	PPI
GCN5	PPI
BDF1	PPI
PSH1	PPI
SCD5	PPI
BNI4	PPI
LSG1	PPI
ACF2	PPI
APP1	PPI
AIM3	PPI
RPN6	PPI
RPN3	PPI
UTP8	PPI
RAD27	PPI
REV1	PPI
CBC2	PPI
ULP1	PPI
RGR1	PPI
SRB4	PPI
SRB5	PPI
NAS2	PPI
HSM3	PPI
SWD3	PPI
SMT3	PPI
PHO80	PPI
WHI5	PPI
CTF18	PPI
RFC2	PPI
MKK2	PPI
MKK1	PPI
RAD7	PPI
YNG2	PPI
TIF1	PPI
NUP60	PPI
SNF1	PPI
TOM71	PPI
URA2	PPI
RVB1	PPI
NPL6	PPI
AHA1	PPI
PGK1	PPI
PRE1	PPI
GET4	PPI
SSC1	PPI
RPA135	PPI
RTN1	PPI
NSP1	PPI
NCP1	PPI
BSD2	PPI
FPR3	PPI
TOM1	PPI
TDH3	PPI
URE2	PPI
CLN3	PPI
CDC48	PPI
BRE5	PPI
UBP3	PPI
ILV1	PPI
SNL1	PPI
CAR2	PPI
TOM70	PPI
PRB1	PPI
RNR4	PPI
HSP60	PPI
SSZ1	PPI
TRX2	PPI
NPL3	PPI
BLM10	PPI
BMH1	PPI
PGI1	PPI
