gene1	gene	score
GDH1	RPN11	0.222222222222222
GDH1	LSM1	0.222222222222222
RPN11	SCL1	0.222222222222222
RPN11	RAD23	0.222222222222222
RPN11	PRE5	0.222222222222222
RPN11	RPN13	0.222222222222222
RPN11	PRE8	0.222222222222222
RPN11	PRE9	0.222222222222222
RPN11	PRE6	0.222222222222222
RPN11	PUP2	0.222222222222222
RPN11	PRE4	0.197530864197531
RPN11	PUP1	0.197530864197531
RPN11	UBI4	0.17283950617284
RPN11	PRE7	0.17283950617284
RPN11	PRE2	0.17283950617284
RPN11	PUP3	0.17283950617284
RPN11	PRE3	0.17283950617284
RPN11	DSK2	0.148148148148148
LSM1	DHH1	0.148148148148148
RPN11	ECM29	0.123456790123457
RPN11	SSB2	0.123456790123457
RPN11	NAS6	0.123456790123457
LSM1	XRN1	0.123456790123457
GDH3	RVS167	0.111111111111111
GDH3	HTL1	0.111111111111111
GDH3	PRE10	0.111111111111111
GDH3	BOP2	0.111111111111111
GDH3	RVS161	0.111111111111111
GDH3	SGF29	0.111111111111111
GDH3	BCY1	0.111111111111111
GDH3	RPN10	0.111111111111111
GDH3	SSB1	0.111111111111111
GDH3	SRP1	0.111111111111111
GDH3	SSB2	0.111111111111111
GDH3	SSA1	0.111111111111111
GDH3	UBI4	0.111111111111111
GDH3	RPB9	0.111111111111111
GDH3	PHO11	0.111111111111111
GDH3	HFI1	0.111111111111111
GDH3	VAM6	0.111111111111111
GDH3	CDC60	0.111111111111111
GDH1	CEG1	0.111111111111111
GDH1	SEH1	0.111111111111111
GDH1	UTP5	0.111111111111111
GDH1	HSP78	0.111111111111111
GDH1	MRS6	0.111111111111111
GDH1	CET1	0.111111111111111
GDH1	RPT5	0.111111111111111
GDH1	DMC1	0.111111111111111
GDH1	SUI1	0.111111111111111
GDH1	GID7	0.111111111111111
GDH1	SAM35	0.111111111111111
GDH1	GDH1	0.111111111111111
GDH1	ARO1	0.111111111111111
GDH1	CCT8	0.111111111111111
GDH1	RVB1	0.111111111111111
GDH1	DHH1	0.111111111111111
GDH1	PRP6	0.111111111111111
GDH1	SIT4	0.111111111111111
GDH1	VPS21	0.111111111111111
GDH1	OTU1	0.111111111111111
GDH1	GCN3	0.111111111111111
GDH1	RVS167	0.111111111111111
GDH1	TPK1	0.111111111111111
GDH1	UBC7	0.111111111111111
GDH1	RVB2	0.111111111111111
GDH1	RVS161	0.111111111111111
GDH1	SSA1	0.111111111111111
GDH1	SSE1	0.111111111111111
GDH1	HRD1	0.111111111111111
GDH1	SSB1	0.111111111111111
GDH1	UBI4	0.111111111111111
GDH1	RPN1	0.111111111111111
GDH1	YPT52	0.111111111111111
GDH1	DSN1	0.111111111111111
GDH1	SSB2	0.111111111111111
GDH1	SSK2	0.111111111111111
GDH1	RSP5	0.111111111111111
GDH1	HKR1	0.111111111111111
GDH1	RPN10	0.111111111111111
GDH1	VAM6	0.111111111111111
GDH1	SMC6	0.111111111111111
GDH1	KAP104	0.111111111111111
GDH1	UBP3	0.111111111111111
GDH1	PBS2	0.111111111111111
GDH1	COP1	0.111111111111111
GDH1	CMR1	0.111111111111111
GDH1	SPB4	0.111111111111111
PRE10	PRE4	0.111111111111111
SGF29	SPT7	0.111111111111111
RPN10	RPN9	0.111111111111111
RPN10	RPT1	0.111111111111111
SSB1	SSE1	0.111111111111111
UBI4	DDI1	0.111111111111111
VAM6	PEP5	0.111111111111111
RPT5	RAD23	0.111111111111111
SUI1	TIF5	0.111111111111111
DHH1	EDC3	0.111111111111111
SIT4	SAP190	0.111111111111111
SIT4	SAP185	0.111111111111111
GCN3	GCD6	0.111111111111111
GCN3	GCD1	0.111111111111111
RVB2	PIH1	0.111111111111111
SSE1	SSB1	0.111111111111111
HRD1	CDC48	0.111111111111111
RPN1	UBP6	0.111111111111111
RPN1	RPT4	0.111111111111111
RPN1	RPN5	0.111111111111111
DSN1	CSE4	0.111111111111111
DSN1	MIF2	0.111111111111111
DSN1	NDC80	0.111111111111111
SSK2	SSK1	0.111111111111111
RSP5	RSP5	0.111111111111111
KAP104	HRP1	0.111111111111111
COP1	SEC27	0.111111111111111
RPN11	RPN14	0.0987654320987654
RPN11	URA7	0.0987654320987654
RPN11	SSB1	0.0987654320987654
RPN11	SSA1	0.0987654320987654
RPN11	SSA2	0.0987654320987654
RPN11	SSE1	0.0987654320987654
LSM1	DCP2	0.0987654320987654
RVS167	ABP1	0.0987654320987654
PRE10	PRE9	0.0987654320987654
RPN10	RPN12	0.0987654320987654
SRP1	CSE1	0.0987654320987654
SSA1	SUP35	0.0987654320987654
UBI4	CDC48	0.0987654320987654
HFI1	UBP8	0.0987654320987654
HFI1	TAF9	0.0987654320987654
VAM6	YPT7	0.0987654320987654
VAM6	VPS16	0.0987654320987654
SEH1	NUP120	0.0987654320987654
SEH1	SEC13	0.0987654320987654
SUI1	PRT1	0.0987654320987654
PRP6	BRR2	0.0987654320987654
DSN1	NUF2	0.0987654320987654
DSN1	SPC25	0.0987654320987654
RSP5	SPT23	0.0987654320987654
RSP5	ALY2	0.0987654320987654
RSP5	UBC1	0.0987654320987654
COP1	SEC26	0.0987654320987654
RVS167	RVS167	0.0864197530864198
RVS167	ACF2	0.0864197530864198
RVS167	APP1	0.0864197530864198
RVS167	AIM3	0.0864197530864198
PRE10	PRE2	0.0864197530864198
PRE10	PRE3	0.0864197530864198
RVS161	FUS2	0.0864197530864198
SGF29	TAF6	0.0864197530864198
RPN10	RPN6	0.0864197530864198
RPN10	RAD23	0.0864197530864198
SRP1	CBC2	0.0864197530864198
SRP1	ULP1	0.0864197530864198
UBI4	VPS27	0.0864197530864198
UBI4	RPN11	0.0864197530864198
UBI4	DOA1	0.0864197530864198
RPB9	RPB7	0.0864197530864198
RPB9	RPB8	0.0864197530864198
RPB9	RPB4	0.0864197530864198
HFI1	TAF10	0.0864197530864198
VAM6	PEP3	0.0864197530864198
CEG1	RPO21	0.0864197530864198
RPT5	NAS2	0.0864197530864198
RPT5	HSM3	0.0864197530864198
SUI1	TIF34	0.0864197530864198
VPS21	GDI1	0.0864197530864198
GCN3	GCD2	0.0864197530864198
UBC7	CUE1	0.0864197530864198
HRD1	UBX2	0.0864197530864198
RPN1	RPN6	0.0864197530864198
RPN1	RPN3	0.0864197530864198
DSN1	AME1	0.0864197530864198
DSN1	KRE28	0.0864197530864198
DSN1	SPC24	0.0864197530864198
RSP5	ROD1	0.0864197530864198
RPN11	RPN11	0.0740740740740741
RPN11	OLA1	0.0740740740740741
RPN11	HEF3	0.0740740740740741
RPN11	ENO2	0.0740740740740741
RPN11	TIF1	0.0740740740740741
