gene	node_type
GDH2	gene
SRP54	PPI
MRP13	PPI
HSP42	PPI
PGI1	PPI
TAH18	PPI
GLN3	PPI
SNU56	PPI
AAT2	PPI
MMS22	PPI
ILV2	PPI
RPC82	PPI
IMD3	PPI
DNM1	PPI
UBP15	PPI
HSC82	PPI
SRB5	PPI
NNK1	PPI
PEX11	PPI
CDC34	PPI
YML131W	PPI
RPN6	PPI
SGT1	PPI
VAM6	PPI
SMC5	PPI
SSB2	PPI
URE2	PPI
NUT1	PPI
MED2	PPI
MED6	PPI
MED1	PPI
RPN7	PPI
RPN8	PPI
PEP5	PPI
RPO31	PPI
CPR6	PPI
AHA1	PPI
MED4	PPI
RPO21	PPI
SIN4	PPI
RPN3	PPI
YPT7	PPI
VPS16	PPI
MAF1	PPI
SRB6	PPI
PGD1	PPI
MED11	PPI
CSE2	PPI
RPN10	PPI
RPN1	PPI
RPN12	PPI
PEP3	PPI
MMS21	PPI
SEC65	PPI
DRE2	PPI
RTT107	PPI
IMD4	PPI
SBA1	PPI
ROX3	PPI
PEX19	PPI
SKP1	PPI
RPT1	PPI
HSP82	PPI
MUD1	PPI
CBC2	PPI
SNP1	PPI
NAM8	PPI
SNU71	PPI
RTT101	PPI
RET1	PPI
RPC31	PPI
RPC40	PPI
ECM30	PPI
NUT2	PPI
PEX14	PPI
RPT3	PPI
RPT5	PPI
NSE4	PPI
RPN11	PPI
SSE1	PPI
SRP14	PPI
CTF4	PPI
RPC25	PPI
RPC53	PPI
CDH1	PPI
ARO1	PPI
CPR7	PPI
HCH1	PPI
CDC37	PPI
PPT1	PPI
CNS1	PPI
TOM1	PPI
SSA1	PPI
SSN3	PPI
TFG2	PPI
SOH1	PPI
SSN2	PPI
SRB7	PPI
PEX13	PPI
UBI4	PPI
RPT6	PPI
RPN2	PPI
HSM3	PPI
KRE29	PPI
MPH1	PPI
SMT3	PPI
NSE3	PPI
SSE2	PPI
EGD2	PPI
SRP21	PPI
MRP4	PPI
GLN1	PPI
RSP5	PPI
SSB1	PPI
TOR1	PPI
PRP39	PPI
PRP40	PPI
STO1	PPI
YHC1	PPI
SMD1	PPI
SMB1	PPI
HSP60	PPI
RPC17	PPI
RPC37	PPI
HTB2	PPI
IMD2	PPI
FIS1	PPI
CAF4	PPI
BET3	PPI
PAT1	PPI
HTZ1	PPI
YPT6	PPI
SEC23	PPI
BUD3	PPI
SUP35	PPI
SGT2	PPI
SEA4	PPI
UBP10	PPI
ILV1	PPI
RVB1	PPI
RPB3	PPI
SGF73	PPI
SSK2	PPI
RCO1	PPI
SRB8	PPI
UBA1	PPI
SIC1	PPI
RPT4	PPI
SEM1	PPI
RPN13	PPI
PRE1	PPI
RPT2	PPI
ECM29	PPI
UBP6	PPI
NAS6	PPI
VAM7	PPI
NSE5	PPI
SPC24	PPI
SMC6	PPI
TPS1	PPI
TYR1	PPI
DHH1	PPI
EFT1	PPI
NOC4	PPI
TPD3	PPI
RBG1	PPI
CKS1	PPI
ARX1	PPI
ZUO1	PPI
SDO1	PPI
SSC1	PPI
FES1	PPI
ENP1	PPI
MRT4	PPI
SSZ1	PPI
BMH2	PPI
ARD1	PPI
NAP1	PPI
AHP1	PPI
RGP1	PPI
UTP4	PPI
UTP6	PPI
DBP2	PPI
LSM12	PPI
ANR2	PPI
RPF2	PPI
SRP72	PPI
LHP1	PPI
SRP68	PPI
BEM2	PPI
EHD3	PPI
MRPS5	PPI
ACO1	PPI
PEX7	PPI
BAT2	PPI
ERB1	PPI
CDC14	PPI
LAS17	PPI
URA2	PPI
SRS2	PPI
KIN2	PPI
VPS8	PPI
NTH2	PPI
MLC1	PPI
SIS1	PPI
RVS161	PPI
CYM1	PPI
DBF2	PPI
FUS3	PPI
CCR4	PPI
RFC5	PPI
RPA135	PPI
SSA2	PPI
SEC1	PPI
SRP1	PPI
CRM1	PPI
SMD3	PPI
MER1	PPI
MUD2	PPI
PRP42	PPI
KAP95	PPI
LUC7	PPI
NPL3	PPI
LEA1	PPI
NOP56	PPI
POR1	PPI
HSP26	PPI
PSF1	PPI
SSA3	PPI
HHT1	PPI
GLK1	PPI
HHF1	PPI
CIT1	PPI
HSP104	PPI
MMS1	PPI
STM1	PPI
PSF2	PPI
HMO1	PPI
BFR1	PPI
ILV6	PPI
DIS3	PPI
RPB10	PPI
RPB5	PPI
HTA1	PPI
TAF5	PPI
RPC19	PPI
HTA2	PPI
RPO26	PPI
RPB8	PPI
TOP1	PPI
