gene	node_type
GLN1	gene
HSP42	PPI
SSB1	PPI
HYR1	PPI
RPN11	PPI
TPS1	PPI
KSS1	PPI
SIS1	PPI
RPN10	PPI
TAF9	PPI
RPN1	PPI
PHO85	PPI
CMK1	PPI
RPT5	PPI
RPS0B	PPI
SSB2	PPI
CTK2	PPI
GLN3	PPI
MEK1	PPI
KKQ8	PPI
UBP3	PPI
MMS22	PPI
BRE5	PPI
UBI4	PPI
SSM4	PPI
VAM6	PPI
CAF40	PPI
TOS3	PPI
DHH1	PPI
ENT3	PPI
PSK2	PPI
SSA1	PPI
RSP5	PPI
SSE1	PPI
SCL1	PPI
RAD23	PPI
PRE5	PPI
RPN13	PPI
PRE8	PPI
PRE9	PPI
PRE6	PPI
PUP2	PPI
PRE4	PPI
PUP1	PPI
PRE7	PPI
PRE2	PPI
PUP3	PPI
PRE3	PPI
DSK2	PPI
TPS2	PPI
FES1	PPI
ECM29	PPI
NAS6	PPI
TSL1	PPI
TPS3	PPI
STE12	PPI
RPN9	PPI
RPT1	PPI
SPT20	PPI
NGG1	PPI
ADA2	PPI
UBP6	PPI
RPT4	PPI
RPN5	PPI
PCL7	PPI
PCL6	PPI
URE2	PPI
DDI1	PPI
PEP5	PPI
CCR4	PPI
MOT2	PPI
EDC3	PPI
BUD27	PPI
SSE2	PPI
YAP1	PPI
RPN14	PPI
URA7	PPI
SSA2	PPI
DIG1	PPI
RPN12	PPI
GCN5	PPI
HFI1	PPI
PCL10	PPI
PCL8	PPI
PCL1	PPI
CDC48	PPI
YPT7	PPI
VPS16	PPI
SUP35	PPI
SPT23	PPI
ALY2	PPI
UBC1	PPI
DIG2	PPI
RPN6	PPI
TRA1	PPI
TAF11	PPI
TAF4	PPI
RPN3	PPI
CMD1	PPI
NAS2	PPI
HSM3	PPI
CTK3	PPI
VPS27	PPI
DOA1	PPI
PEP3	PPI
CDC36	PPI
NOT5	PPI
ROD1	PPI
ACO1	PPI
CAF4	PPI
PEX7	PPI
SMT3	PPI
BAT2	PPI
SGT2	PPI
ERB1	PPI
CDC14	PPI
LAS17	PPI
URA2	PPI
SRS2	PPI
KIN2	PPI
VPS8	PPI
NTH2	PPI
NOC4	PPI
MLC1	PPI
RVS161	PPI
CYM1	PPI
DBF2	PPI
FUS3	PPI
HSP82	PPI
RFC5	PPI
RPA135	PPI
TOM1	PPI
SSZ1	PPI
TRX2	PPI
CPR6	PPI
SNF1	PPI
SNF4	PPI
TIF1	PPI
NPL3	PPI
BLM10	PPI
NCP1	PPI
TDH3	PPI
NUP60	PPI
GLC7	PPI
BMH1	PPI
PGI1	PPI
HSC82	PPI
STI1	PPI
CSN9	PPI
SEC27	PPI
REG1	PPI
CRM1	PPI
NMD3	PPI
OLA1	PPI
HEF3	PPI
ENO2	PPI
FBA1	PPI
ACT1	PPI
ADH1	PPI
THS1	PPI
KRS1	PPI
RPS5	PPI
HSP104	PPI
YEF3	PPI
ERG20	PPI
TEF1	PPI
EFT1	PPI
CDC19	PPI
ASN1	PPI
TEF4	PPI
RPL5	PPI
RPS2	PPI
LEU1	PPI
SEC18	PPI
ENO1	PPI
YHB1	PPI
LYS21	PPI
CAJ1	PPI
FAS2	PPI
HTS1	PPI
GND1	PPI
KAP123	PPI
RPS11A	PPI
FAS1	PPI
PAB1	PPI
PDC1	PPI
ALD6	PPI
RPS0A	PPI
PGK1	PPI
TAL1	PPI
TSA1	PPI
PMA1	PPI
DPS1	PPI
SAM1	PPI
SER1	PPI
SAH1	PPI
TDH1	PPI
SEC53	PPI
CDC60	PPI
VAS1	PPI
RPT3	PPI
RPN7	PPI
RPT6	PPI
TAF13	PPI
RPN8	PPI
PAH1	PPI
PCL2	PPI
PRE1	PPI
RTT107	PPI
UBC7	PPI
CAF130	PPI
NOT3	PPI
LSM1	PPI
ART5	PPI
UBP2	PPI
MGA2	PPI
STE11	PPI
STE5	PPI
RPN2	PPI
SPT8	PPI
SGF73	PPI
UBP8	PPI
SEM1	PPI
PCL5	PPI
PCL9	PPI
GSY2	PPI
RTT101	PPI
UFD2	PPI
EDE1	PPI
VPS9	PPI
UBX2	PPI
DCP2	PPI
LSM7	PPI
DCP1	PPI
EAR1	PPI
UBC5	PPI
ART10	PPI
LSB1	PPI
LDB19	PPI
DIA1	PPI
RVS167	PPI
ALY1	PPI
POL12	PPI
HCH1	PPI
RVB1	PPI
PRP2	PPI
YHR202W	PPI
HTZ1	PPI
SVP26	PPI
SMY2	PPI
