gene	node_type
GPP2	gene
GPP1	gene
GPD1	gene
GPD2	gene
YIG1	PPI
RAD3	PPI
NPL6	PPI
HCH1	PPI
ENT3	PPI
RPN1	PPI
RPN10	PPI
GUT1	PPI
APJ1	PPI
SSB2	PPI
YKL069W	PPI
RPN11	PPI
ULP1	PPI
LIF1	PPI
PIG2	PPI
SKP1	PPI
RFA3	PPI
RAD59	PPI
URN1	PPI
SMT3	PPI
YBR139W	PPI
ENT5	PPI
SML1	PPI
SSB1	PPI
HOT1	PPI
SMP1	PPI
CRM1	PPI
SPO12	PPI
MMS22	PPI
RAD26	PPI
SEH1	PPI
SSA2	PPI
ERJ5	PPI
SIS1	PPI
HAP2	PPI
CMK2	PPI
GCD2	PPI
HSP82	PPI
CCT6	PPI
UBP13	PPI
UBC	PPI
PRK1	PPI
RPT5	PPI
PHO85	PPI
AIM4	PPI
VPS21	PPI
PFD1	PPI
PTP2	PPI
ATP14	PPI
RLP7	PPI
DHH1	PPI
BRE5	PPI
UBP3	PPI
DJP1	PPI
GIM3	PPI
SCJ1	PPI
SSE1	PPI
SSK2	PPI
SSA1	PPI
TOM1	PPI
SPB4	PPI
MCX1	PPI
CMK1	PPI
RAD1	PPI
SSC1	PPI
PEX7	PPI
PMT1	PPI
SPT10	PPI
HHT1	PPI
PNC1	PPI
YPK1	PPI
RVB1	PPI
YCK1	PPI
SIZ1	PPI
ZUO1	PPI
HSP104	PPI
VMA2	PPI
ECM10	PPI
HSP26	PPI
YDJ1	PPI
MRP8	PPI
CHK1	PPI
RPC82	PPI
AHP1	PPI
HTA2	PPI
SNF1	PPI
SPT21	PPI
DBF2	PPI
HYP2	PPI
NAP1	PPI
GNA1	PPI
UBP14	PPI
RIM11	PPI
STM1	PPI
