gene	node_type
HEM14	gene
HEM12	gene
HEM13	gene
HEM15	gene
HHT1	PPI
SLA1	PPI
SSE1	PPI
SSB1	PPI
SRS2	PPI
CMR1	PPI
YDJ1	PPI
HMT1	PPI
HSP78	PPI
HSP104	PPI
HSP82	PPI
GIM3	PPI
SEC63	PPI
RSP5	PPI
SSB2	PPI
SEC27	PPI
PRT1	PPI
SSA3	PPI
WWM1	PPI
CMR2	PPI
WSS1	PPI
RVB1	PPI
HHF1	PPI
PDI1	PPI
EFT1	PPI
ECM10	PPI
PRP40	PPI
YAR010C	PPI
PDC6	PPI
TAF6	PPI
ARD1	PPI
HTB2	PPI
HMO1	PPI
HTA2	PPI
SSA2	PPI
SET2	PPI
SRP1	PPI
SED1	PPI
ESS1	PPI
PIL1	PPI
CDC31	PPI
SSA1	PPI
SAT4	PPI
TDA2	PPI
NUP85	PPI
BMH2	PPI
PPH21	PPI
MIC60	PPI
SSC1	PPI
LCD1	PPI
PET9	PPI
BNI1	PPI
SUP45	PPI
COX20	PPI
PWP1	PPI
RPP1	PPI
ADK1	PPI
SUP35	PPI
KAP104	PPI
RLI1	PPI
BMH1	PPI
PPT1	PPI
RPN10	PPI
YFH1	PPI
