gene	node_type
HEM14	gene
HEM12	gene
HEM13	gene
HEM15	gene
YFH1	PPI
RSP5	PPI
SSA3	PPI
ECM10	PPI
TAF6	PPI
HHT1	PPI
SLA1	PPI
SSE1	PPI
SSB1	PPI
SRS2	PPI
CMR1	PPI
YDJ1	PPI
HMT1	PPI
HSP78	PPI
HSP104	PPI
HSP82	PPI
GIM3	PPI
SEC63	PPI
SSB2	PPI
SEC27	PPI
PRT1	PPI
WWM1	PPI
CMR2	PPI
WSS1	PPI
RVB1	PPI
HHF1	PPI
PDI1	PPI
EFT1	PPI
PRP40	PPI
YAR010C	PPI
PDC6	PPI
ARD1	PPI
HTB2	PPI
HMO1	PPI
HTA2	PPI
SSA2	PPI
SET2	PPI
SRP1	PPI
SED1	PPI
ESS1	PPI
PIL1	PPI
CDC31	PPI
SSA1	PPI
SAT4	PPI
TDA2	PPI
NUP85	PPI
BMH2	PPI
PPH21	PPI
MIC60	PPI
SSC1	PPI
LCD1	PPI
PET9	PPI
BNI1	PPI
SUP45	PPI
COX20	PPI
PWP1	PPI
RPP1	PPI
ADK1	PPI
SUP35	PPI
KAP104	PPI
RLI1	PPI
BMH1	PPI
PPT1	PPI
RPN10	PPI
ISU1	PPI
SPT3	PPI
SPT23	PPI
ALY2	PPI
UBC1	PPI
TAF11	PPI
ROD1	PPI
SGF29	PPI
TAF4	PPI
TAF7	PPI
UBP8	PPI
ART5	PPI
UBP2	PPI
MGA2	PPI
TRA1	PPI
SGF73	PPI
EAR1	PPI
UBC5	PPI
ART10	PPI
LSB1	PPI
LDB19	PPI
DIA1	PPI
RVS167	PPI
ALY1	PPI
UBI4	PPI
GAL4	PPI
TAF8	PPI
SGF11	PPI
TAF13	PPI
TAF2	PPI
NFS1	PPI
RLF2	PPI
RAD51	PPI
TAH1	PPI
SEC72	PPI
COP1	PPI
HAT1	PPI
SAC3	PPI
TIM23	PPI
HRP1	PPI
RPN9	PPI
RPT1	PPI
RUP1	PPI
RPB2	PPI
BSD2	PPI
ECM21	PPI
ACK1	PPI
UBE2D1	PPI
BUL2	PPI
ROG3	PPI
CSR2	PPI
RCR1	PPI
TAF3	PPI
SUS1	PPI
HTZ1	PPI
CNS1	PPI
SEC28	PPI
SUI1	PPI
HCR1	PPI
HAT2	PPI
RPO21	PPI
CSE1	PPI
SEC13	PPI
ZIM17	PPI
BUD6	PPI
RPN12	PPI
CAC2	PPI
DOT1	PPI
HIF1	PPI
SPT16	PPI
LSB3	PPI
YSC84	PPI
SMT3	PPI
POL30	PPI
GCN5	PPI
ESA1	PPI
BDF1	PPI
PSH1	PPI
KAP114	PPI
CBC2	PPI
ULP1	PPI
LSP1	PPI
KAR1	PPI
NTH1	PPI
RTS1	PPI
MSS51	PPI
PAB1	PPI
REG1	PPI
RPN6	PPI
RAD23	PPI
ISD11	PPI
HUA1	PPI
YHR131C	PPI
RIM4	PPI
TRE1	PPI
PGI1	PPI
UBC6	PPI
SIC1	PPI
SEC7	PPI
SNA4	PPI
MTC5	PPI
HTB1	PPI
YNG1	PPI
SGT1	PPI
YKE2	PPI
PAC10	PPI
SEC21	PPI
SEC26	PPI
RTT106	PPI
SIR2	PPI
SNU71	PPI
HTA1	PPI
NAP1	PPI
RRP6	PPI
PKH1	PPI
MRP8	PPI
THP1	PPI
FES1	PPI
STI1	PPI
MIC10	PPI
ACT1	PPI
CDC42	PPI
POP4	PPI
GSP1	PPI
RPT3	PPI
RPN7	PPI
NAS6	PPI
RPT6	PPI
RPN5	PPI
DSK2	PPI
POB3	PPI
SET1	PPI
ABP1	PPI
BSP1	PPI
SGT2	PPI
STE11	PPI
HCH1	PPI
SLT2	PPI
SEC61	PPI
KAR2	PPI
RPN11	PPI
RET2	PPI
FUN12	PPI
SWC4	PPI
CSE4	PPI
MNL1	PPI
NAM8	PPI
SNP1	PPI
MUD1	PPI
NAT1	PPI
STO1	PPI
NUP116	PPI
NUP133	PPI
FIN1	PPI
MIC19	PPI
MIC12	PPI
MIC26	PPI
MIC27	PPI
PAM18	PPI
COR1	PPI
PFY1	PPI
POP7	PPI
NAM7	PPI
RPN13	PPI
RPN2	PPI
RPN3	PPI
CUE5	PPI
UBC8	PPI
SSH4	PPI
COS6	PPI
RCR2	PPI
BXI1	PPI
NPL3	PPI
RGM1	PPI
YPR084W	PPI
HSE1	PPI
ADE12	PPI
THI21	PPI
VPS9	PPI
COS5	PPI
GPM1	PPI
MDM34	PPI
