gene	node_type
CYS3	gene
CYS4	gene
SSA1	PPI
SSB1	PPI
SSC1	PPI
RPN11	PPI
SSB2	PPI
SSE1	PPI
ULP1	PPI
UBA1	PPI
HRD1	PPI
HSP82	PPI
MMS22	PPI
DHH1	PPI
DJP1	PPI
HSP78	PPI
SRT1	PPI
JSN1	PPI
SPO12	PPI
TOM1	PPI
RVB1	PPI
RNA1	PPI
SWA2	PPI
ULP2	PPI
UBC	PPI
VAM6	PPI
ADE4	PPI
ATG5	PPI
SSA2	PPI
BNI1	PPI
BRE5	PPI
PRP6	PPI
SEC63	PPI
CSM1	PPI
SMT3	PPI
TEF1	PPI
CDC28	PPI
KSS1	PPI
CCR4	PPI
SSZ1	PPI
VMA2	PPI
TUB2	PPI
SEC24	PPI
YDJ1	PPI
HSP104	PPI
SLD2	PPI
HRR25	PPI
YGL081W	PPI
HAP2	PPI
CDC10	PPI
ECM10	PPI
HSP42	PPI
PXA2	PPI
STH1	PPI
RPT5	PPI
SEN15	PPI
SPT2	PPI
YCK1	PPI
RVS167	PPI
SSA3	PPI
ERG11	PPI
CCT3	PPI
PFD1	PPI
RNR3	PPI
AFG3	PPI
RPB2	PPI
RPN10	PPI
SIR3	PPI
ALD6	PPI
JJJ3	PPI
APJ1	PPI
SKP1	PPI
PAC10	PPI
TCA17	PPI
TUB1	PPI
RFA3	PPI
POL30	PPI
TEM1	PPI
ERR3	PPI
SRP1	PPI
GIM3	PPI
GIM5	PPI
NMD3	PPI
GCN3	PPI
SMC6	PPI
WAR1	PPI
KAR2	PPI
TIM23	PPI
SCL1	PPI
RAD23	PPI
PRE5	PPI
RPN13	PPI
PRE8	PPI
PRE9	PPI
PRE6	PPI
PUP2	PPI
SUP35	PPI
ZIM17	PPI
PRE4	PPI
PUP1	PPI
MSS51	PPI
UBI4	PPI
PRE7	PPI
PRE2	PPI
PUP3	PPI
PRE3	PPI
FES1	PPI
STI1	PPI
DSK2	PPI
SGT2	PPI
PAM18	PPI
ECM29	PPI
NAS6	PPI
CDC48	PPI
TAH1	PPI
EDC3	PPI
PEP5	PPI
ATG16	PPI
SEC72	PPI
CDH1	PPI
STE12	PPI
CAF40	PPI
VMA4	PPI
HAP5	PPI
RSC4	PPI
RSC8	PPI
RPB7	PPI
RPC10	PPI
RPN9	PPI
RPT1	PPI
ROY1	PPI
UFO1	PPI
RFA2	PPI
GCD6	PPI
GCD1	PPI
CPR7	PPI
CPR6	PPI
HSC82	PPI
BUD27	PPI
SSE2	PPI
TIM17	PPI
RPN14	PPI
URA7	PPI
CNS1	PPI
YPT7	PPI
VPS16	PPI
BUD6	PPI
BRR2	PPI
MAM1	PPI
SLX5	PPI
EFB1	PPI
SWE1	PPI
STB1	PPI
DIG1	PPI
MOT2	PPI
VPH1	PPI
HAP3	PPI
SHS1	PPI
RSC6	PPI
ABP1	PPI
YTA12	PPI
RPB4	PPI
RPN12	PPI
RAP1	PPI
HRT3	PPI
RAD18	PPI
MSH2	PPI
CDC15	PPI
BUB2	PPI
CSE1	PPI
PSE1	PPI
UBX2	PPI
PPT1	PPI
PEP3	PPI
TOF2	PPI
SRS2	PPI
WHI5	PPI
DIG2	PPI
RBL2	PPI
BET1	PPI
RSC3	PPI
ARP7	PPI
RTT102	PPI
NAS2	PPI
HSM3	PPI
ACF2	PPI
APP1	PPI
AIM3	PPI
RPN6	PPI
RAV1	PPI
RCY1	PPI
RAD27	PPI
REV1	PPI
CBC2	PPI
GCD2	PPI
TIF1	PPI
NUP60	PPI
SNF1	PPI
TOM71	PPI
URA2	PPI
NPL6	PPI
AHA1	PPI
PGK1	PPI
PRE1	PPI
GET4	PPI
RPA135	PPI
RTN1	PPI
NSP1	PPI
NCP1	PPI
BSD2	PPI
FPR3	PPI
TDH3	PPI
URE2	PPI
CLN3	PPI
UBP3	PPI
ILV1	PPI
RPN1	PPI
SNL1	PPI
CAR2	PPI
TOM70	PPI
PRB1	PPI
RNR4	PPI
TRX2	PPI
SNF4	PPI
NPL3	PPI
BLM10	PPI
GLC7	PPI
BMH1	PPI
PGI1	PPI
CSN9	PPI
SEC27	PPI
REG1	PPI
CRM1	PPI
NAP1	PPI
OLA1	PPI
HEF3	PPI
ENO2	PPI
FBA1	PPI
ACT1	PPI
ADH1	PPI
THS1	PPI
KRS1	PPI
RPS5	PPI
YEF3	PPI
ERG20	PPI
EFT1	PPI
CDC19	PPI
ASN1	PPI
TEF4	PPI
RPL5	PPI
