gene	node_type
LIA1	gene
DYS1	gene
RPN11	PPI
HYP2	PPI
RVB1	PPI
RMD9	PPI
RTF1	PPI
PSK2	PPI
SIS1	PPI
TMA23	PPI
YNL092W	PPI
PHO85	PPI
UTP5	PPI
IKS1	PPI
KSS1	PPI
PKH2	PPI
CDC45	PPI
SHS1	PPI
MRK1	PPI
PRB1	PPI
TRP2	PPI
CTK1	PPI
SSB1	PPI
ULP1	PPI
CDC7	PPI
RPC82	PPI
AAH1	PPI
PRP16	PPI
SRO9	PPI
ARF1	PPI
SRB2	PPI
SSB2	PPI
CCT2	PPI
SOH1	PPI
SSA1	PPI
SSA2	PPI
SSE1	PPI
MMS22	PPI
HSL1	PPI
DJP1	PPI
SEC27	PPI
CTK2	PPI
MEK1	PPI
RPN1	PPI
SYT1	PPI
SRP1	PPI
SAT4	PPI
MUK1	PPI
APL2	PPI
ANB1	PPI
NUP1	PPI
SCL1	PPI
RAD23	PPI
PRE5	PPI
RPN13	PPI
PRE8	PPI
PRE9	PPI
PRE6	PPI
PUP2	PPI
PRE4	PPI
PUP1	PPI
UBI4	PPI
PRE7	PPI
PRE2	PPI
PUP3	PPI
PRE3	PPI
DSK2	PPI
ECM29	PPI
NAS6	PPI
PCL7	PPI
PCL6	PPI
STE12	PPI
MCM5	PPI
COP1	PPI
UBP6	PPI
RPT4	PPI
RPN5	PPI
RPN14	PPI
URA7	PPI
PCL10	PPI
PCL8	PPI
PCL1	PPI
DIG1	PPI
MCM3	PPI
MCM7	PPI
SLD3	PPI
CDC3	PPI
CDC10	PPI
RPO31	PPI
MED8	PPI
SUP35	PPI
SEC28	PPI
CSE1	PPI
DIG2	PPI
TRP3	PPI
PSE1	PPI
MCM4	PPI
MAF1	PPI
CTK3	PPI
RPN6	PPI
RPN3	PPI
CBC2	PPI
APM2	PPI
APL4	PPI
OLA1	PPI
HEF3	PPI
ENO2	PPI
TIF1	PPI
FBA1	PPI
ACT1	PPI
ADH1	PPI
THS1	PPI
KRS1	PPI
RPS5	PPI
HSP104	PPI
YEF3	PPI
ERG20	PPI
TEF1	PPI
EFT1	PPI
CDC19	PPI
ASN1	PPI
TEF4	PPI
RPL5	PPI
RPS2	PPI
LEU1	PPI
HSC82	PPI
SEC18	PPI
HSP82	PPI
ENO1	PPI
YHB1	PPI
LYS21	PPI
CAJ1	PPI
FAS2	PPI
HTS1	PPI
GND1	PPI
KAP123	PPI
RPS11A	PPI
FAS1	PPI
PAB1	PPI
PDC1	PPI
ALD6	PPI
RPS0A	PPI
PGK1	PPI
TAL1	PPI
TSA1	PPI
PMA1	PPI
DPS1	PPI
SAM1	PPI
BMH1	PPI
SER1	PPI
SAH1	PPI
TDH1	PPI
DDI1	PPI
SEC53	PPI
CDC60	PPI
VAS1	PPI
HTZ1	PPI
SPT16	PPI
PAH1	PPI
PCL2	PPI
MCM6	PPI
KAP95	PPI
SMT3	PPI
FES1	PPI
STI1	PPI
RTT107	PPI
SEC21	PPI
SEC26	PPI
RPN8	PPI
RPN9	PPI
RPN7	PPI
RPN12	PPI
RRP6	PPI
APS1	PPI
SWC4	PPI
PCL5	PPI
PCL9	PPI
GSY2	PPI
STE11	PPI
STE5	PPI
TOF1	PPI
GIN4	PPI
RET1	PPI
RPC31	PPI
RPC40	PPI
GCS1	PPI
RGR1	PPI
GAL11	PPI
CCT3	PPI
SGT2	PPI
RTT101	PPI
RET2	PPI
PRE1	PPI
SEM1	PPI
HSM3	PPI
STO1	PPI
RPL13A	PPI
SSA3	PPI
BUB3	PPI
SOK1	PPI
ARI1	PPI
YMR226C	PPI
SUB2	PPI
HXT3	PPI
TPS1	PPI
ZUO1	PPI
MIR1	PPI
GLY1	PPI
NEW1	PPI
ARB1	PPI
ARA1	PPI
FRD1	PPI
APA1	PPI
LEU4	PPI
ARP3	PPI
CIT1	PPI
RPL27B	PPI
RPT5	PPI
RPT6	PPI
LYS20	PPI
GLN1	PPI
CCT8	PPI
GPD1	PPI
TPS2	PPI
TUB2	PPI
ZPR1	PPI
ERG13	PPI
LAP3	PPI
RHO3	PPI
CPR1	PPI
RPS16A	PPI
MSC7	PPI
FUR1	PPI
TRX2	PPI
CMP2	PPI
NAT1	PPI
MET5	PPI
RPL19A	PPI
IDP1	PPI
SER3	PPI
RPA190	PPI
GLC7	PPI
URA5	PPI
YDJ1	PPI
TMA19	PPI
VMA2	PPI
PGI1	PPI
GLO3	PPI
GGA2	PPI
CCT7	PPI
