gene	node_type
ILV1	gene
ILV5	gene
ILV2	gene
ILV3	gene
BAT2	gene
BAT1	gene
HSP60	PPI
HSC82	PPI
SSA1	PPI
SSB2	PPI
TEF4	PPI
MUK1	PPI
RVB2	PPI
SSB1	PPI
RAD51	PPI
RPN11	PPI
ILV6	PPI
HSP42	PPI
CSM1	PPI
PSE1	PPI
NBP2	PPI
PEX13	PPI
SIZ1	PPI
TEF1	PPI
RVB1	PPI
TAE1	PPI
TFB1	PPI
MTF2	PPI
SSA2	PPI
SSE1	PPI
MTR10	PPI
TUB1	PPI
YDJ1	PPI
PSA1	PPI
SSZ1	PPI
SPB4	PPI
GCD7	PPI
SSC1	PPI
UBC9	PPI
CDC31	PPI
ADY3	PPI
RPL18A	PPI
CCT2	PPI
TDH1	PPI
MYO5	PPI
SEC63	PPI
RPC82	PPI
MRP4	PPI
CPA2	PPI
MAE1	PPI
NUP120	PPI
BBC1	PPI
TDH2	PPI
COX20	PPI
BRE5	PPI
PFD1	PPI
FIT3	PPI
HSP82	PPI
BCP1	PPI
DBP8	PPI
SAP155	PPI
TOS1	PPI
IRC20	PPI
UBC	PPI
YPT7	PPI
DHH1	PPI
LCD1	PPI
CDC3	PPI
GCD2	PPI
APE1	PPI
SIT4	PPI
APJ1	PPI
CCT8	PPI
SGF29	PPI
UBP13	PPI
ARO3	PPI
MMS22	PPI
TMA46	PPI
RPT5	PPI
UBP3	PPI
ORC1	PPI
YCK1	PPI
SIR3	PPI
MIC60	PPI
URA2	PPI
PDR12	PPI
CKA2	PPI
MED4	PPI
PEX7	PPI
RHO5	PPI
SEC27	PPI
BCY1	PPI
NUP1	PPI
CNS1	PPI
RVS167	PPI
ATG5	PPI
APM4	PPI
CDC13	PPI
SUI1	PPI
CCT4	PPI
OTU1	PPI
TOM1	PPI
RPN1	PPI
SPT8	PPI
GLC7	PPI
PHO85	PPI
PRP6	PPI
RPC40	PPI
TPK2	PPI
DJP1	PPI
RPF2	PPI
SLT2	PPI
KAR2	PPI
DUN1	PPI
REX2	PPI
KAP104	PPI
ABF2	PPI
MSH3	PPI
ARB1	PPI
RLP7	PPI
GDH2	PPI
YPL247C	PPI
SUP35	PPI
HAT2	PPI
PPZ1	PPI
SEH1	PPI
RVS161	PPI
CIA1	PPI
SIS1	PPI
MLP1	PPI
RPD3	PPI
PEX19	PPI
ARD1	PPI
RAD59	PPI
TEP1	PPI
ASC1	PPI
ARP2	PPI
CBF5	PPI
COP1	PPI
MTC5	PPI
YHR213W	PPI
ECM10	PPI
CDC10	PPI
DMC1	PPI
MDH2	PPI
MEK1	PPI
MKK2	PPI
SPC24	PPI
SKS1	PPI
MID1	PPI
SAN1	PPI
SLN1	PPI
SSE2	PPI
HSP104	PPI
YKU80	PPI
UBA1	PPI
SSK2	PPI
COQ8	PPI
RHO1	PPI
NFU1	PPI
BOL3	PPI
PTC7	PPI
SMC6	PPI
LAS1	PPI
SPO12	PPI
SRB4	PPI
KRE9	PPI
HSP78	PPI
CDC73	PPI
YBT1	PPI
ESS1	PPI
ACO1	PPI
LEU4	PPI
PDB1	PPI
LAT1	PPI
APE2	PPI
CPR6	PPI
AHA1	PPI
SBA1	PPI
FES1	PPI
STI1	PPI
PIH1	PPI
RAD55	PPI
SRS2	PPI
SCL1	PPI
RAD23	PPI
PRE5	PPI
RPN13	PPI
PRE8	PPI
PRE9	PPI
PRE6	PPI
PUP2	PPI
PRE4	PPI
PUP1	PPI
SGT2	PPI
UBI4	PPI
PRE7	PPI
PRE2	PPI
PUP3	PPI
PRE3	PPI
HSP10	PPI
ARO1	PPI
CPR7	PPI
HCH1	PPI
CDC37	PPI
SGT1	PPI
PPT1	PPI
RPN10	PPI
DSK2	PPI
ARP8	PPI
NHP10	PPI
HTZ1	PPI
RAD57	PPI
ECM29	PPI
NAS6	PPI
MKT1	PPI
CDC28	PPI
BET3	PPI
PAT1	PPI
YPT6	PPI
SEC23	PPI
BUD3	PPI
SEA4	PPI
UBP10	PPI
RPB3	PPI
SGF73	PPI
RCO1	PPI
TIF1	PPI
NUP60	PPI
SNF1	PPI
TOM71	PPI
NPL6	PPI
PGK1	PPI
PRE1	PPI
GET4	PPI
RPA135	PPI
RTN1	PPI
NSP1	PPI
NCP1	PPI
BSD2	PPI
FPR3	PPI
TDH3	PPI
URE2	PPI
CLN3	PPI
CDC48	PPI
SNL1	PPI
CAR2	PPI
TOM70	PPI
PRB1	PPI
RNR4	PPI
